"API Password","API пароль"
"API Signature","API подпись"
"Address","Адрес"
"Advanced Settings","Расширенные настройки"
"Allowed Credit Card Types","Разрешенные типы кредитных карт"
"Also affects mini-shopping cart.","Также влияет на мини-корзину."
"Authorization","Авторизация"
"Auto","Авто"
"Billing Information","Информация о плательщике"
"City","Город"
"Close","Закрыть"
"Company","Компания"
"Configure","Настроить"
"Continue","Продолжить"
"Country","Страна"
"Credit","Кредит"
"Custom","Выборочный"
"Daily","Ежедневно"
"Discount","Скидка"
"Display","Отобразить"
"Display on Shopping Cart","Показать в корзине"
"Dynamic","Динамический"
"Edit","Редактировать"
"Edit Shopping Cart","Редактировать корзину"
"Email Address","Адрес электронной почты"
"Enable SSL verification","Включить проверку SSL"
"Enable this Solution","Включить это решение"
"Enabled","Включено"
"Event","Событие"
"Every 10 days","Каждые 10 дней"
"Every 14 days","Каждые 14 дней"
"Every 3 days","Каждые 3 дня"
"Every 30 days","Каждые 30 дней"
"Every 40 days","Каждые 40 дней"
"Every 7 days","Каждые 7 дней"
"Fax","Факс"
"Help","Помощь"
"It is recommended to set this value to ""PayPal"" per store views.","Рекомендуется установить значение ""PayPal"" в магазине просмотров."
"Items in Your Shopping Cart","Товары в вашей корзине"
"Learn More","Подробнее"
"Login","Логин"
"N/A","Н/Д"
"Never","Никогда"
"No","Нет"
"Order","Заказ"
"Order ID","ID заказа"
"Page Style","Стиль страницы"
"Partner","Партнер"
"Password","Пароль"
"Payment Action","Тип платежа"
"Payment Method","Метод оплаты"
"Pending PayPal","В ожидании PayPal"
"Place Order","Оформить заказ"
"Please agree to all the terms and conditions before placing the order.","Пожалуйста, согласитесь со всеми условиями до размещения заказа."
"Please select a shipping method...","Выберите метод доставки ..."
"Please select region, state or province","Пожалуйста, выберите область"
"Position","Позиция"
"Price","Цена"
"Product","Товар"
"Product Name","Название товара"
"Proxy Host","Адрес прокси сервера"
"Proxy Port","Порт прокси сервера"
"Qty","Кол-во"
"Reports","Отчеты"
"Require Customer's Billing Address","Требуется платежный адрес клиента"
"Review Order","Просмотр заказа"
"Sale","Продажа"
"Sales","Продажи"
"Sandbox Mode","Режим песочницы"
"Schedule","Расписание"
"Shipping","Доставка"
"Shipping Address","Адрес доставки"
"Shipping Information","Информация о доставке"
"Shipping Method","Способ доставки"
"Size","Размер"
"Sorry, no quotes are available for this order at this time.","К сожалению, в данный момент отсутствуют цены для этого заказа"
"Sort Order","Порядок Сортировки"
"State/Province","Область"
"Static","Статический"
"Street Address","Адрес улицы"
"Submitting order information...","Отправление информации о заказе..."
"Subtotal","Промежуточный итог"
"Telephone","Телефон"
"Test Mode","Тестовый режим"
"There was an error processing your order. Please contact us or try again later.","Во время обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Эту функцию необходимо включить для учетной записи продавца через службу тех. поддержки PayPal."
"Title","Заголовок"
"Transaction ID","ID транзакции"
"Update Shipping Method","Обновить метод доставки"
"Use Proxy","Использовать прокси"
"User","Пользователь"
"VAT Number","Номер НДС"
"View","Просмотр"
"View Demo","Просмотреть демо"
"Void","Аннулировать"
"What is PayPal?","Что такое PayPal?"
"Yes","Да"
"Zip/Postal Code","Почтовый индекс"
