"%s's Wishlist","Лист пожеланий пользователя %s"
"* Required Fields","* Обязательные поля"
"Add All to Cart","Добавить всё в корзину"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить в сравнение"
"Add to Wishlist","Добавить в Список желаний"
"Added From","Добавлено из"
"Are you sure you want to remove this product from your wishlist?","Вы действительно хотите удалить этот товар из вашего листа пожеланий?"
"Are you sure you would like to remove this item from the wishlist?","Вы действительно хотите удалить этот товар из листа пожеланий?"
"Back","Назад"
"Can't save description %s","Невозможно сохранить описание %s"
"Cannot specify product.","Не удается указать товар."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Установите этот флажок, если хотите добавить ссылку на rss канал вашего листа пожеланий."
"Click for price","Нажмите чтобы узнать цену"
"Comment","Комментарий"
"Comment:","Комментарий:"
"Date Added","Добавлено"
"Days in Wishlist","Дней в листе пожеланий"
"Edit","Редактировать"
"Email Sender","Отправитель электронной почты"
"Email Template","Шаблон Письма"
"Email address can't be empty.","Адрес электронной почты (email) не может быть пустым."
"Email addresses, separated by commas","Адреса электронной почты, разделённые запятыми"
"Enabled","Включено"
"General Options","Общие параметры"
"Go to Wishlist","Перейти в лист пожеланий"
"In stock","В наличии"
"Last Added Items","Последние добавленные элементы"
"Message","Сообщение"
"My Wishlist","Мой лист пожеланий"
"My Wishlist (%d item)","Мой лист пожеланий (%d шт.)"
"My Wishlist (%d items)","Мой лист пожеланий (%d шт.)"
"Options Details","Параметры деталей"
"Out of stock","Нет в наличии"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Пожалуйста, введите правильные адреса электронной почты (emails), разделённые запятыми. Например: ivanivanov@domain.com, ivanpetrov@domain.com."
"Please, enter your comments...","Пожалуйста, введите ваши комментарии..."
"Price","Цена"
"Product","Товар"
"Product Details and Comment","Детали продукта и комменты"
"Qty","Кол-во"
"RSS Feed","Подписка RSS"
"RSS link to %s's wishlist","RSS ссылка на лист пожеланий (%s)"
"Remove Item","Удалить элемент"
"Remove This Item","Удалить этот элемент"
"Remove item","Удалить позицию"
"SKU","Артикул"
"Share Options","Опции раздачи"
"Share Wishlist","Опубликовать лист пожеланий"
"Share Your Wishlist","Опубликовать ваш лист пожеланий"
"Sharing Information","Обмен информацией"
"Update Wishlist","Сохранить изменения в листе пожеланий"
"User Description","Описание пользователя"
"View Details","Смотреть подробности"
"View Product","Просмотр продукта"
"What's this?","Что это?"
"Wishlist","Список желаний"
"Wishlist Sharing","Публикация листа пожеланий"
"Wishlist is empty now.","Лист пожеланий очищен."
"You have no items in your wishlist.","В вашем листе пожеланий нет товаров."
