"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Скопировать данные из: %s)"
"* Required Fields","* Обязательные поля"
"-- Please Select --","-- Выберите --"
"A group with the same name already exists.","Группа с таким именем уже существует."
"A name is required","Имя обязательно"
"A product type is not defined for the indexer.","Тип продукта не определен для индексатора."
"ALL GROUPS","ВСЕ ГРУППЫ"
"AM","Утра"
"Action","Действие"
"Actual Price","Фактическая цена"
"Add","Добавить"
"Add Attribute","Добавить атрибут"
"Add Design Change","Добавить изменение дизайна"
"Add Group","Добавить группу"
"Add New","Добавить новый"
"Add New Attribute","Добавить новый атрибут"
"Add New Attribute Set","Добавить новый набор атрибутов"
"Add New Group","Добавить новую группу"
"Add New Images","Добавить новые изображения"
"Add New Option","Добавить новую опцию"
"Add New Row","Добавить новую строку"
"Add New Search Term","Добавить новый поисковый запрос"
"Add New Set","Добавить новый набор"
"Add Product","Добавить товар"
"Add Product To Websites","Добавить продукт для веб-сайтов"
"Add Root Category","Добавить корневую категорию"
"Add Subcategory","Добавить подкатегорию"
"Add Tax","Добавить налог"
"Add Tier","Добавить уровень"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить в сравнение"
"Add to Wishlist","Добавить в Список желаний"
"Additional Information","Дополнительная информация"
"All","Все"
"All Product Types","Все виды продукции"
"All Websites","Все веб-сайты"
"All products","Все товары"
"All products - recently added products, New products - products marked as new","Все продукты - недавно добавленные продукты, Новые продукты - продукция, обозначенная как новая"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Все товары этого набора будут удалены! Вы уверены, что хотите удалить этот набор атрибутов?"
"Allow All Products per Page","Разрешить все продуктов на странице"
"Allowed File Extensions","Разрешённые расширения файлов"
"Allowed file extensions to upload","Разрешённые для закачивания расширения файлов"
"Amount","Количество"
"Anchor Custom Text","Якорь текст"
"Anchor Custom Title","Пользовательский заголовок якорь"
"Apply To","Применять к"
"Approved","Утвержден"
"Are you sure you want to delete this category?","Вы уверены, что вы хотите удалить эту категорию?"
"Are you sure you would like to remove all products from your comparison?","Вы действительно хотите очистить список товаров для сравнения?"
"Are you sure you would like to remove this item from the compare products?","Вы действительно хотите удалить этот товар из списка для сравнения?"
"Are you sure?","Вы уверены?"
"As low as:","Начиная с:"
"Assign","Назначить"
"Assign product link","Назначить ссылку на товар"
"Assign product to category","Назначить товар в категорию"
"Assigned Products","Назначенные товары"
"Associated Products","Связанные товары"
"Attrib. Set Name","Набор атрибутов"
"Attribute Information","Информация об атрибуте"
"Attribute Model","Модель атрибута"
"Attribute Name:","Название атрибута:"
"Attribute Set","Набор атрибутов"
"Attribute Sets","Набор атрибутов"
"Attribute with the same code already exists","Атрибут с таким кодом уже существует"
"Attributes","Атрибуты"
"Attrribute names can be specified per store.","Названия атрибутов могут быть определены для каждого магазина."
"Autogenerate","Автогенерация"
"Availability:","Наличие:"
"Back","Назад"
"Backend Model","Backend модель"
"Backend Table","Backend таблица"
"Backend Table Title","Название Backend таблицы"
"Backorders","Предзаказы"
"Based On","Основано на"
"Best Value","Лучшая оценка"
"Block after Info Column","Блок после столбца информация"
"Bottom/Left","Внизу/Слева"
"Bottom/Right","Снизу/Справа"
"Browse By","Просмотреть по"
"Bundle Items","Элементы комплекта"
"Buy %1$s for %2$s","Купи %1$s шт. по %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Купи %1$s шт. по %2$s (%3$s вкл. налог) каждый"
"Buy %1$s for %2$s each","Купи %1$s шт. по %2$s каждый"
"Cache Lifetime (Seconds)","Время жизни кэша (в секундах)"
"Can be used only with catalog input type Dropdown","Может быть использовано только с типом ввода 'выпадающий список'"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Может быть использовано только с типом ввода 'выпадающий список', 'множественный выбор' и 'цена'"
"Can't create image.","Невозможно создать изображение."
"Cancel","Отмена"
"Cart Item Attribute","Атрибут единицы корзины"
"Catalog","Каталог"
"Catalog Category Link","Категория ссылки каталога"
"Catalog New Products List","Каталог список новых продуктов"
"Catalog Price Scope","Каталог цен область"
"Catalog Product Link","Каталог продукта ссылка"
"Catalog, Search","Каталог, Поиск"
"Categories","Категории"
"Categories Sitemap","Карта категорий"
"Category","Категория"
"Category API","API категорий"
"Category Data","Данные категории"
"Category Flat Data","Плоский данные категории"
"Category Link Block Template","Категория ссылки блок шаблона"
"Category Link Inline Template","Категория ссылки встроенного шаблона"
"Category Products","Товары категории"
"Category Top Navigation","Верхняя навигация категории"
"Category URL Suffix","URL суффикс категории"
"Category attributes API","API атрибутов категорий"
"Category move error","Ошибка при перемещении категории"
"Center","По центру"
"Change","Изменить"
"Change or Retrieve attribute store view","Изменить/получить атрибута представления магазина"
"Change status","Изменить статус"
"Check items to add to the cart or","Проверьте продукты для добавления в корзину или"
"Choose an Option...","Выберите опцию..."
"Clear All","Очистить все"
"Clear Price","Четкая цена"
"Click for price","Нажмите чтобы узнать цену"
"Close Window","Закрыть окно"
"Collapse All","Свернуть все"
"Comma-separated.","Разделенные запятой."
"Comparable","Включить в сравнение"
"Comparable on Front-end","Сравнимый в пользовательской части"
"Compare","Сравнить"
"Compare Products","Сравнение продуктов"
"Conditions Combination","Сочетание условий"
"Configurable Product","Настраиваемый товар"
"Configurable Product Settings","Установки настраиваемого товара"
"Configure Product","Настроить продукт"
"Continue","Продолжить"
"Copy From Configurable","Скопировать из настраиваемого"
"Country/State","Страна/область"
"Create","Создать"
"Create (Upload)","Создать (Закачать)"
"Create Empty","Создать пустым"
"Create Permanent Redirect for old URL","Создание постоянного перенаправления для старого URL-адреса"
"Create Product Settings","Создать настройки товара"
"Create Simple Associated Product","Создать простой объединённый товар"
"Create new category","Создать новую категорию"
"Create new product","Создать новый товар"
"Cross-sells","Перекрёстные продажи"
"Custom Design","Индивидуальный дизайн"
"Custom Options","Пользовательские настройки"
"Customer Group","Группы клиентов"
"Customers Reviews","Отзывы клиентов"
"Customers Tagged Product","Помеченные клиентами товары"
"Data Type for Saving in Database","Тип данных для сохранения в базе данных"
"Date & Time Custom Options","Дата & время пользовательские параметры"
"Date Fields Order","Порядок полей Дата"
"Date Subscribed","Дата подписки"
"Datetime","Дата и время"
"Decimal","Десятичное число"
"Declare attribute value saving scope","Объявить диапазон действия сохраняемого значения атрибута"
"Default Price","Цена по умолчанию"
"Default Qty","Кол-во по умолчанию"
"Default Values","Значения по умолчанию"
"Delete","Удалить"
"Delete Attribute","Удалить атрибут"
"Delete Attribute Set","Удалить набор атрибутов"
"Delete Category","Удалить категорию"
"Delete Option","Удалить опцию"
"Delete Row","Удалить строку"
"Delete Search","Удалить Поиск"
"Delete Selected Group","Удалить выбранную группу"
"Delete Tier","Удалить уровень"
"Delete category","Удалить категорию"
"Delete product","Удалить товар"
"Depends on design theme","Зависит от темы дизайна"
"Description","Описание"
"Design","Дизайн"
"Details","Подробнее"
"Disabled","Отключено"
"Display Page Control","Контроль экранной страницы"
"Display Type","Тип дисплея"
"Display in Suggested Terms","Показать в предлагаемых условиях"
"Double click on a group to rename it","Двойной щелчок по группе для её переименования"
"Double click on above image to view full picture","Двойной щелчок по изображению для просмотра в полный размер"
"Downloadable Information","Загружаемая информация"
"Duplicate","Дублировать"
"Duplicate website tier price customer group and quantity.","Дублировать уровень цен сайта, группу пользователей и количество."
"Duplicate website, country and state tax found.","Обнаружен дубликат сайта, страны и ставки налогов."
"Edit","Редактировать"
"Edit Attribute Set '%s'","Редактировать набор атрибутов '%s'"
"Edit Product Attribute","Редактировать атрибут товара"
"Edit Product Attribute ""%s""","Редактировать атрибут товара ""%s"""
"Edit Search","Редактировать поиск"
"Edit Search '%s'","Редактировать поиск '%s'"
"Email","Электронная почта"
"Email to a Friend","Письмо другу"
"Empty","Пустой"
"Enable Qty Increments","Включение Qty с шагом"
"Enabled","Включено"
"Error during retrieval of option value: %s","Ошибка при выборе значения варианта: %s"
"Exclude","Исключить"
"Expand All","Развернуть всё"
"Failed","Ошибка"
"Failed to move file: %s","Не удалось переместить файл: %s"
"Feature Products","Рекомендуемые товары"
"File upload failed","Закачка файла не удалась"
"Filter","Фильтр"
"Filterable (no results)","Фильтруемый (нет результатов)"
"Filterable (with results)","Фильтруемый (с результатами)"
"First Name","Имя"
"Fixed","Исправлено"
"For the last time placed.","За последний размещенный раз."
"Frontend","Пользовательская часть"
"Frontend Model","Модель пользовательской части"
"Frontend Properties","Свойства пользовательской части"
"Gallery","Галерея"
"General Information","Общая информация"
"Get special price","Получить цену особого предложения"
"Global","Глобальнo"
"Globally Editable","Глобально редактируемые"
"Go to Home Page","Перейти на главную страницу"
"Grid","Сетка"
"Grouped Product","Сборный товар"
"Groups","Группы"
"Home","Главная"
"ID","Идентификатор"
"ID: %s","ИД: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Если вы не укажете значение варианта для представления магазина, тогда будет использовано значение по умолчанию."
"Image","Изображение"
"Image content is not valid base64 data.","Содержимое файла изображения не является корректными данными base64."
"Image type and information need to be specified for each store view.","Тип и информация изображения должны быть указаны для каждого представления магазина."
"In Stock","В наличии"
"In stock","В наличии"
"Incl. Tax","Включая налог"
"Index product prices","Цены на индекс товар"
"Indexed category/products association","Ассоциация индексированной категории/продукция"
