"* Required Fields","* Обязательные поля"
"Comment","Комментарий"
"Contact Form","Контактная форма"
"Contact Information","Контактная информация"
"Contact Us","Обратная связь"
"Contacts","Контакты"
"Email","Электронная почта"
"Email Options","Параметры E-mail"
"Email Sender","Отправитель электронной почты"
"Email Template","Шаблон Письма"
"Enable Contact Us","Включить форму обратной связи"
"Name","Название"
"Send Emails To","Отправить Email"
"Submit","Отправить"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","Невозможно отправить ваш запрос. Пожалуйста, повторите попытку позже"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ваше сообщение получено и мы ответим на него в ближайшее время. Спасибо за сообщение."
