"%s - Discounts and Coupons","%s — Скидки и купоны"
"%s RSS Feed","%s RSS канал"
"%s has reached a quantity of %s.","%s достиг значения %s."
"%s's Wishlist","Лист пожеланий пользователя %s"
"Cannot retrieve the wishlist","Невозможно получить лист пожеланий"
"Catalog","Каталог"
"Category Feeds","Потоки категории"
"Click for price","Нажмите чтобы узнать цену"
"Comment: %s<br/>","Комментарий: %s<br/>"
"Coupons/Discounts","Купоны/Скидки"
"Current Status: %s<br/>","Текущее состояние: %s<br/>"
"Customer Name: %s","Имя клиента: %s"
"Customer Order Status Notification","Уведомление о статусе заказа клиента"
"Details for %s #%s","Детали по %s #%s"
"Discount","Скидка"
"Discount (%s)","Скидка ( %s)"
"Enable RSS","Разрешить RSS"
"Error in processing xml. %s","Ошибка в обрабатываемом xml. %s"
"From:","От:"
"Get Feed","Получить поток"
"Gift Message","Подарочное сообщение"
"Grand Total","Общий итог"
"Low Stock Products","Продукты с низким запасом"
"Message:","Сообщение:"
"Miscellaneous Feeds","Различные потоки"
"New Orders","Новые заказы"
"New Products","Новые товары"
"New Products from %s","%s — Новые товары "
"Notified Date: %s<br/>","Дата уведомления: %s<br/>"
"Order","Заказ"
"Order # %s Notification(s)","Заказ # %s. Уведомления"
"Order #%s created at %s","Заказ #%s создан %s"
"Pending product review(s)","Отзывы ожидающие проверки"
"Product: ""%s"" review By: %s","Товар: ""%s"" отзыв от: %s"
"Product: <a href=""%s"">%s</a> <br/>","Товар: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Товары, помеченные %s"
"Purchased From: %s","Заказано с: %s"
"RSS Feeds","RSS потоки"
"Review: %s <br/>","Отзыв: %s <br/>"
"Rss Config","Конфигурация RSS"
"Shipping &amp; Handling","Доставка и обработка"
"Special Products","Специальные продукты"
"Store: %s <br/>","Магазин: %s <br/>"
"Subtotal","Промежуточный итог"
"Summary of review: %s <br/>","Название отзыва (основная мысль): %s <br/>"
"Tags Products","Метки товаров"
"Tax","Налог"
"There are no Rss Feeds","Нет доступных RSS каналов"
"To:","Кому:"
"Top Level Category","Топ категории"
"Total: %s<br/>","Всего: %s<br/>"
"Wishlist","Список желаний"
"click <a href=""%s"">here</a> to view the review","нажмите <a href=""%s"">сюда</a> для просмотра отзыва"
