" [deleted]"," [удален]"
" and "," и "
"(For US 2-letter state names)","(Для двухбуквенных названий штатов США)"
"(If left empty will be auto-generated)","(Будет сгенерировано автоматически, если оставить пустым)"
"(Leave empty for first spreadsheet)","(Оставьте пустым для первой таблицы)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Товар будет добавлен/обновлён для этого магазина, если столбец 'магазин' пустой или отсутствует в файле импорта.)"
"(Shift-)Click or drag to change value","(Shift+)Нажмите или тяните для изменения значения"
"(Starting with)","(Начиная с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Если выбрано 'Нет', будут импортированы только привязанные(mapped) поля. Когда привязываете поля, используйте 'column1', 'column2 'и т.д.)"
"(You have to increase php memory_limit before changing this value)","(Необходимо увеличить  php memory_limit перед изменением этого значения)"
"(\t for tab)","(t для tab)"
"* Required Fields","* Обязательные поля"
"- Click on any of the time parts to increase it","- Нажмите на любую часть времени для её увеличения"
"- Hold mouse button on any of the above buttons for faster selection.","- Держите кнопку мышки нажатой на любой из этих кнопок для более быстрого выбора."
"- Use the %s buttons to select month","- Используйте кнопки %s  для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s для выбора года"
"- or Shift-click to decrease it","- или Shift+щелчок мышки для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для быстрого выделения."
"-- Please Select --","-- Выберите --"
"-- Please Select a Category --","-- Выберите категорию --"
"-- Please select --","-- Выберите --"
"--Please Select--","-- Выберите --"
"1 Hour","1 час"
"12 Hours","12 часов"
"12h AM/PM","12 часовой AM/PM"
"2 Hours","2 часа"
"24 Hours","24 часа"
"24h","24 часовой"
"2YTD","С начала прошлого года"
"6 Hours","6 часов"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> Ошибка 404</h1> <p>Страница не найдена.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Внимание</strong>: Captcha чувствительна к регистру в полях ввода данных."
"About the calendar","О календаре"
"Account Created in:","Учетная запись, созданная в:"
"Account Created on (%s):","Учётная запись создана (%s):"
"Account Created on:","Учётная запись создана:"
"Account Information","Данные учётной записи"
"Account status","Статус учётной записи"
"Action","Действие"
"Actions","Действия"
"Actions XML","XML действия"
"Active","Активный"
"Add","Добавить"
"Add Exception","Добавить исключение"
"Add Field Mapping","Добавить привязку поля (mapping)"
"Add Field with URL:","Добавить поле с URL:"
"Add New","Добавить новый"
"Add New Block","Добавить новый блок"
"Add New Image","Добавить новое изображение"
"Add New Profile","Добавить новый профиль"
"Add New Role","Добавить новую роль"
"Add New Template","Добавить новый шаблон"
"Add New User","Создать пользователя"
"Add Products","Добавить товары"
"Add after","Добавить после"
"Additional Cache Management","Управление дополнительным кэшем"
"Address Type:","Тип адреса:"
"Admin","Администратор"
"Advanced Profiles","Расширенные профили"
"All","Все"
"All Allowed Countries","Все разрешенные страны"
"All Cache","Весь кэш"
"All Files","Все файлы"
"All Reviews","Все отзывы"
"All Store Views","Хранилище всех просмотров"
"All Tags","Все метки"
"All Websites","Все веб-сайты"
"All countries","Все страны"
"All fields","Все поля"
"Amounts","Сумма"
"An error occurred while clearing the JavaScript/CSS cache.","Произошла ошибка при очистке кэша JavaScript/CSS."
"An error occurred while clearing the image cache.","Произошла ошибка при очистке кэша изображений."
"An error occurred while saving account.","Произошла ошибка при сохранении учетной записи."
"Any","Любой"
"Any Attribute Set","Любой набор атрибутов"
"Any Group","Любая группа"
"Any Status","Любой статус"
"Any Store","Любой магазин"
"Any Type","Любой тип"
"Any Visibility","Любая видимость"
"Archive file name:","Название файла архива:"
"Are you sure that you want to delete this template?","Вы действительно хотите удалить этот шаблон?"
"Are you sure that you want to strip tags?","Вы действительно хотите убрать метки?"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Area","Зона"
"As low as:","Начиная с:"
"Assigned","Соответствует"
"Attribute Set Name:","Название набора атрибутов:"
"Attributes","Атрибуты"
"Authorize","Авторизировать"
"Automatic (equalize price ranges)","Автоматически (уравнять ценовые диапазоны)"
"Automatic (equalize product counts)","Автоматически (уравнять количество продукта)"
"Average Order Amount","Средняя сумма заказа"
"Average Orders","Средняя сумма заказа"
"Back","Назад"
"Back to Login","Вернуться на форму авторизации"
"Backup","Резервная копия"
"Backup Name","Название резервной копии"
"Backup options","Параметры резервного копирования"
"Backups","Резервные копии"
"Base currency","Базовая валюта"
"Bcc","Скрытая копия"
"Bestsellers","Лидеры продаж"
"Billing Address","Адрес для выставления счета"
"Billing Agreements","Правила оплаты"
"Block Information","Блок информации"
"Blocks","Блоки"
"Both (without and with tax)","Обе (с налогом и без)"
"Browse Files...","Выбрать файлы..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Набор с динамическими ценами не может содержать настраиваемые параметры. Параметры не будут сохранены."
"By Email","По Email"
"By IP","По IP"
"By IP and Email","По IP и Email"
"CRITICAL","КРИТИЧНО(Е)"
"CSV","CSV (разделитель - запятые)"
"CSV / Tab separated","CSV (разделитель - табуляция)"
"Cache Control","Управление кэшем"
"Cache Control (beta)","Управление кэшем (beta)"
"Cache Management","Управление кэшем"
"Cache Type","Тип кэша"
"Cancel","Отмена"
"Cannot add new comment.","Не удается добавить новый комментарий."
"Card Verification Number","Проверочный код карты"
"Catalog","Каталог"
"Catalog Price Rules","Правило цен каталога"
"Catalog Rewrites","Перезапись каталога"
"Categories","Категории"
"Category","Категория"
"Category:","Категория:"
"Checkbox","Кнопка-флажок"
"Choose Store View:","Название витрины магазина:"
"Choose an attribute","Выберите атрибут"
"Clear","Очистить"
"Close","Закрыть"
"Code","Код"
"Complete","Завершен"
"Configuration","Настройки"
"Confirm New Password","Введите пароль ещё раз"
"Confirmed email:","Подтвержденный email:"
"Continue","Продолжить"
"Convert to Plain Text","Конвертировать в текст"
"Cookie (unsafe)","Файлы cookie (небезопасно)"
"Country","Страна"
"Country:","Страна:"
"Coupons","Купоны"
"Create","Создать"
"Create DB Backup","Создайте резервную копию базы данных"
"Create New Attribute","Создать новый атрибут"
"Created At","Создано в"
"Credit Card Number","Номер кредитной карты"
"Credit Card Number: xxxx-%s","номер кредитной карты: xxxx-%s"
"Credit Card Type","Тип кредитной карты"
"Credit Card Type: %s","Тип кредитной карты: %s"
"Credit Memo History","История возврата платежей"
"Credit Memo Totals","Сумма возврата"
"Credit Memos","Кредитовые авизо"
"Currency","Валюта"
"Currency Information","Информация о валюте"
"Current Configuration Scope:","Текущая область действия конфигурации:"
"Current Month","Текущий месяц"
