"%d Review(s)","Отзывы (%d)"
"%s Review(s)","Отзывы (%s)"
"(Posted on %s)","(Отзыв написан %s)"
"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звёзд"
"Add New Review","Добавить новый отзыв"
"Add Your Review","Добавьте ваш отзыв"
"Administrator","Администратор"
"All Reviews","Все отзывы"
"Allow Guests to Write Reviews","Разрешить гостям писать отзывы"
"Approved","Утвержден"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Are you sure?","Вы уверены?"
"Average Customer Rating","Средний рейтинг"
"Average Customer Rating:","Средний рейтинг"
"Back","Назад"
"Back to Main Product Info","Вернуться к основной информации товара"
"Back to My Reviews","Вернуться к моим отзывам"
"Back to Product Reviews","Вернуться к отзывам о товаре"
"Be the first to review this product","Оставьте отзыв о продукте первым"
"Created On","Создано"
"Customer","Клиент"
"Customer Reviews","Отзывы покупателей"
"Customers Reviews","Отзывы клиентов"
"Delete","Удалить"
"Delete Review","Удалить отзыв"
"Detailed Rating","Подробный рейтинг"
"Edit Review '%s'","Редактировать отзыв '%s'"
"Guest","Гость"
"How do you rate this product?","Как вы оцениваете этот товар?"
"ID","Идентификатор"
"My Product Reviews","Мои отзывы о товарах"
"My Recent Reviews","Моя последние отзывы"
"Name","Название"
"New Review","Новый отзыв"
"Nickname","Псевдоним"
"Not Approved","Не утвержден"
"Pending","В очереди"
"Pending Reviews","Ожидающие отзывы"
"Please select a product","Пожалуйста, выберите товар"
"Please select one of each of the ratings above","Пожалуйста, выберите значение для каждой оценки"
"Posted By","Создано"
"Price","Цена"
"Product","Товар"
"Product Name","Название товара"
"Product Rating","Рейтинг товара"
"Product Rating:","Рейтинг товара:"
"Product Review (submitted on %s):","Отзыв о товаре (написан %s):"
"Product Reviews","Обзор товара"
"Product SKU","Артикул товара"
"Products Reviews","Отзывы о товарах"
"Qty","Кол-во"
"Rating:","Рейтинг:"
"Review","Отзыв"
"Review Details","Подробности отзыва"
"Review by %s","Отзыв пользователя %s"
"Reviews","Отзывы"
"Reviews and Ratings","Отзывы и параметры оценки"
"SKU","Артикул"
"Save Review","Сохранить обзор"
"Status","Статус"
"Submit Review","Отправить рецензию"
"Summary Rating","Общий рейтинг"
"Summary of Review","Итог отзыва"
"Summary of Your Review","Название вашего отзыва (основная мысль)"
"Title","Заголовок"
"Type","Тип"
"Update Status","Обновить статус"
"View All Reviews","Просмотреть все отзывы"
"View Details","Смотреть подробности"
"Visible In","Отображается в"
"Websites","Веб-сайты"
"Write Your Own Review","Напишите свой собственный отзыв"
"You have submitted no reviews.","Вы не оставляли отзывы о товарах на этом сайте."
"Your Rating:","Ваш рейтинг:"
"Your Review (submitted on %s):","Ваш отзыв (написан %s):"
