"Actions","Действия"
"Active","Активный"
"Add New Rule","Добавить новое правило"
"Alphabetical","По алфавиту"
"Apply","Применить"
"Apply To","Применять к"
"Apply the rule only if the following conditions are met (leave blank for all products)","Применить правило только, если выполняются следующие условия (оставьте пустым для всех товаров)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Применить правило только для товаров в корзине, удовлетворяющим следующим условиям (оставьте пустым для всех товаров)"
"Apply the rule to cart items matching the following conditions","Применить правило к товарам в корзине, удовлетворяющим следующим условиям"
"Auto","Авто"
"Buy X get Y free (discount amount is Y)","Купи X получи Y бесплатно (сумма скидки Y)"
"By Fixed value","По фиксированному значению"
"By Percentage","На процент"
"Can't acquire coupon.","Не удается получить купон."
"Cart Attribute","Атрибут корзины"
"Catalog","Каталог"
"Code Format","Формат кода"
"Code Prefix","Префикс кода"
"Code Suffix","Суффикс кода"
"Conditions","Условия"
"Conditions combination","Комбинация условий"
"Coupon","Купон"
"Coupon Code","Код купона"
"Created On","Создано"
"Customer Groups","Группы покупателей"
"Date Expire","Дата окончания"
"Date Start","Дата начала"
"Default Label","Метка по умолчанию"
"Description","Описание"
"Discount Amount","Сумма скидки"
"Discount Qty Step (Buy X)","Шаг количества для скидки (купить X)"
"Edit Rule","Редактировать правило"
"Edit Rule '%s'","Изменить правило ' %s '"
"FOUND","НАЙДЕНО"
"Fixed amount discount","Фиксированная величина скидки"
"Fixed amount discount for whole cart","Фиксированная величина скидки на всю корзину"
"For matching items only","Только для соответствующих товаров"
"For shipment with matching items","Для доставки с соответствующими товарами"
"Free Shipping","Бесплатная доставка"
"From Date","С даты"
"General Information","Общая информация"
"Generate","Генерировать"
"ID","Идентификатор"
"Inactive","Неактивный"
"NOT FOUND","НЕ НАЙДЕНО"
"NOT LOGGED IN","НЕ ВОШЛИ В СИСТЕМУ"
"New Rule","Новое правило"
"No","Нет"
"Number of Uses","Количество использований"
"Numeric","Цифровой"
"Payment Method","Метод оплаты"
"Percent of product price discount","Скидка в процентах от цены товара"
"Period","Период"
"Price in cart","Цена в корзине"
"Priority","Приоритет"
"Product attribute combination","Комбинация атрибутов товара"
"Products subselection","Группа товаров с отдельными условиями"
"Promotions","Продвижение"
"Public In RSS Feed","Опубликовать в RSS канале"
"Quantity in cart","Количество в корзине"
"Row total in cart","Количество позиций в корзине"
"Rule Information","Информация о правилах"
"Rule Name","Имя Правила"
"Rule is not defined","Правило не определено"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Shipping Country","Страна доставки"
"Shipping Method","Способ доставки"
"Shipping Postcode","Почтовый индекс доставки"
"Shipping Region","Регион доставки"
"Shipping State/Province","Штат/Провинция доставки"
"Shopping Cart Price Rule","Ценовое правило для корзины"
"Shopping Cart Price Rules","Ценовые правила для корзины"
"Special Price","Специальная цена"
"Status","Статус"
"Subtotal","Промежуточный итог"
"Subtotal Amount","Предварительный итог"
"This rule no longer exists.","Это правило не существует."
"To Date","По дату"
"To Fixed Value","К фиксированному значению"
"To Percentage","К процентному значению"
"Total","Всего"
"Total Amount","Общая стоимость"
"Total Items Quantity","Общее количество товаров"
"Total Weight","Общий вес"
"Update prices using the following information","Обновить цены, используя следующую информацию"
"Update product's %s %s: %s","Обновить товару %s %s: %s"
"Update the Product","Обновление товара"
"Use Auto Generation","Использовать автогенерацию"
"Used","Используется"
"Website","Веб-сайт"
"Websites","Веб-сайты"
"Yes","Да"
"total quantity","общее количество"
