" Copy"," Копировать"
"Action","Действие"
"Add New Template","Добавить новый шаблон"
"Add to Queue","Добавить в очередь"
"Are you sure that you want to delete this template?","Вы действительно хотите удалить этот шаблон?"
"Are you sure that you want to strip all tags?","Вы действительно хотите убрать все теги?"
"Back","Назад"
"Cancel","Отмена"
"Cancelled","Отменено"
"Confirmation Email Sender","Отправитель письма о подтверждении"
"Confirmation Email Template","Шаблон письма о подтверждении"
"Convert to Plain Text","Конвертировать в текст"
"Create Newsletter Template","Создать шаблон письма"
"Customer","Клиент"
"Customer First Name","Имя клиента"
"Customer Last Name","Фамилия клиента"
"Date Added","Добавлено"
"Date Updated","Дата изменения"
"Delete","Удалить"
"Delete Selected Problems","Удалить выбранные проблемы"
"Delete Template","Удалить шаблон"
"Do you really want to cancel the queue?","Вы действительно хотите отменить очередь?"
"Edit Newsletter","Изменить письмо"
"Edit Newsletter Template","Изменить шаблон письма"
"Edit Queue","Редактировать очередь писем"
"Edit Template","Редактировать шаблон"
"Email","Электронная почта"
"Enter your email address","Введите адрес электронной почты (email)"
"Error Code","Код ошибки"
"Error Text","Текст ошибки"
"Guest","Гость"
"ID","Идентификатор"
"Message","Сообщение"
"Need to Confirm","Требуется подтверждение"
"New Newsletter Template","Новый шаблон письма"
"New Template","Новый шаблон"
"Newsletter","Новостная рассылка"
"Newsletter Message Preview","Предпросмотр новостного письма"
"Newsletter Problem Reports","Отчеты проблем с письмами"
"Newsletter Queue","Очередь рассылки"
"Newsletter Section","Раздел рассылки"
"Newsletter Subscribers","Подписчики рассылки"
"Newsletter Subscription","Подписка на рассылку"
"Newsletter Subscriptions","Подписки рассылки"
"Newsletter Templates","Шаблоны рассылок"
"Newsletter subscription confirmation","Информационный бюллетень подтверждения подписки"
"Newsletter subscription success","Информационный бюллетень подписки успеха"
"Newsletter unsubscription success","Отмена подписки на новости успеха"
"No Templates Found","Шаблоны не найдены"
"Not Sent","Не отправлено"
"Pause","Пауза"
"Paused","Приостановлено"
"Please enter a valid email address.","Введите допустимый адрес электронной почты."
"Please enter new template name","Введите имя нового шаблона"
"Please select subscriber(s)","Выберите абонента (ов)"
"Preview","Предварительный просмотр"
"Preview Template","Предварительный просмотр шаблона"
"Processed","Обработано"
"Queue Date Start","Дата запуска очереди"
"Queue Finish","Очередь готова"
"Queue Information","Информация очереди"
"Queue Start","Старт очереди"
"Queue Subject","Тема очереди"
"Recipients","Получатели"
"Reset","Сбросить"
"Resume","Продолжить"
"Save As","Сохранить как"
"Save Newsletter","Сохранить письмо"
"Save Template","Сохранить шаблон"
"Sender","Отправитель"
"Sender Email","Электронная почта отправителя"
"Sender Name","Имя отправителя"
"Sending","Отправка"
"Sent","Отправлено"
"Sign up for our newsletter","Подписаться на нашу рассылку"
"Start","Старт"
"Status","Статус"
"Store","Магазин"
"Store View","Представление магазина"
"Subject","Тема"
"Submit","Отправить"
"Subscribe","Подписаться"
"Subscribed","Подписаны"
"Subscriber","Подписчик"
"Subscribers","Подписчики"
"Subscribers From","Форма подписки"
"Subscription Options","Параметры подписки"
"Success Email Sender","Отправитель успешного письма"
"Success Email Template","Шаблон успешного письма"
"Template Content","Содержание шаблона"
"Template Information","Информация о шаблоне"
"Template Name","Название Шаблона"
"Template Styles","Стили шаблона"
"Template Subject","Тема шаблона"
"Template Type","Тип Шаблона"
"There was a problem with the subscription: %s","Возникла проблема с подпиской: %s"
"There was a problem with the un-subscription.","Возникла проблема с отменой подписки."
"Type","Тип"
"Unsubscribe","Отказаться"
"Unsubscribe Selected","Отменить подписку для выбранных"
"Unsubscribed","Отказавшиеся от подписки"
"Unsubscription Email Sender","Отправитель письма об отмене подписки"
"Unsubscription Email Template","Шаблон письма об отмене подписки"
"View Newsletter","Просмотр письма"
"Website","Веб-сайт"
