"Authorize Only","Tik Autorizuoti"
"Authorize and Capture","Autorizuokite ir Siųskite"
"Continue Shopping","Tęsti apsipirkimą"
"Debug","Derinti"
"Email Sender","El.pašto siuntėjas"
"Enable","Įjungti"
"Merchant ID","Pardavėjo ID"
"Merchant Login","Pardavėjo prisijungimo duomenys"
"Payment Action","Mokėjimo Veiksmas"
"Sandbox","Dėžė"
"Thank you for your purchase!","Dėkojame už jūsų užsakymą!"
"Title","Pavadinimas"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Jūs gausite užsakymo patvirtinimo laišką į el.paštą ir nuorodą kaip užsakymas vykdomas."
