"%s - Discounts and Coupons","%s - Nuolaidos ir Kuponai"
"%s has reached a quantity of %s.","%s yra kiekis %s."
"Cannot retrieve the wishlist","Negali atkurti Pažymėtų sąrašo"
"Catalog","Katalogas"
"Click for price","Tikrinti kainą"
"Comment: %s<br/>","Komentaras: %s<br/>"
"Coupons/Discounts","Kuponai/Nuolaidos"
"Current Status: %s<br/>","Būsena: %s<br/>"
"Customer Name: %s","Pirkėjo vardas: %s"
"Customer Order Status Notification","Pirkėjo Sąskaitos Būsenos Informacija"
"Details for %s #%s","Info %s #%s"
"Discount","Nuolaida"
"Discount (%s)","Nuolaida (%s)"
"Enable RSS","Įjungti RSS"
"Error in processing xml. %s","Klaida generuojant xml. %s"
"From:","Nuo:"
"Get Feed","Gauti Pranešimą"
"Gift Message","Dovanos žinutė"
"Grand Total","Iš Viso"
"Low Stock Products","Mažai prekių"
"Message:","Žinutė:"
"New Orders","Naujas užsakymas"
"New Products","Nauji produktai"
"New Products from %s","Naujas produktas iš %s"
"Notified Date: %s<br/>","Pranešimo Data: %s<br/>"
"Order # %s Notification(s)","Sąskaita # %s Pranešimas(-ai)"
"Order #%s created at %s","Sąskaita #%s sukurta %s"
"Product: ""%s"" review By: %s","Prekė: ""%s"" apžvalga: %s"
"Product: <a href=""%s"">%s</a> <br/>","Prekė: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkto žymės %s"
"Purchased From: %s","Pirko: %s"
"RSS Feeds","RSS Naujienos"
"Review: %s <br/>","Apžvalga: %s <br/>"
"Rss Config","Rss Nustatymai"
"Shipping &amp; Handling","Pristatymas &amp; Paruošimas"
"Special Products","Speciali Prekė"
"Store: %s <br/>","Parduotuvė: %s <br/>"
"Subtotal","Tarpinė suma"
"Summary of review: %s <br/>","Apžvalgos reziumė: %s <br/>"
"Tags Products","Produktų Žymės"
"Tax","Mokesčiai"
"To:","Kam:"
"Top Level Category","Pagrindinė Kategorija"
"Total: %s<br/>","Viso: %s<br/>"
"Wishlist","Pageidavimų sąrašas"
"click <a href=""%s"">here</a> to view the review","spragtelėkite <href =""%s""> čia </a>, norėdami peržiūrėti apžvalgą"
