" Copy"," Kopija"
"Action","Veiksmas"
"Add New Template","Naujas šablonas"
"Add to Queue","Pridėti į eilę"
"Are you sure that you want to delete this template?","Ar tikrai norite pašalinti šį šabloną?"
"Back","Grįžti"
"Cancel","Atšaukti"
"Cancelled","Atšauktas"
"Confirmation Email Sender","Patvirtinimo el.pašto Siuntėjas"
"Confirmation Email Template","Patvirtinimo el.pašto Šablonas"
"Convert to Plain Text","Konvertuoti į paprasta tekstą"
"Create Newsletter Template","Sukurti naujienlaiškio šabloną"
"Customer","Klientas"
"Customer First Name","Kliento vardas"
"Customer Last Name","Kliento pavardė"
"Date Added","Data įrašyta"
"Date Updated","Data atnaujinta"
"Delete","Ištrinti"
"Delete Selected Problems","Šalinti pasirinktas problemas"
"Delete Template","Šalinti šabloną"
"Do you really want to cancel the queue?","Ar tikrai norite atšaukti eilę?"
"Edit Newsletter","Redaguoti naujienlaiškį"
"Edit Newsletter Template","Redaguoti naujienlaiškio šabloną"
"Edit Queue","Redaguoti eilę"
"Edit Template","Redaguoti šabloną"
"Email","El. paštas"
"Enter your email address","Įveskite savo el.pašto adresą"
"Error Code","Klaidos kodas"
"Error Text","Klaidos tekstas"
"Guest","Svečias"
"Message","Žinutė"
"Need to Confirm","Reikia patvirtinimo"
"New Newsletter Template","Naujas naujienlaiškio šablonas"
"New Template","Naujas šablonas"
"Newsletter","Naujienlaiškis"
"Newsletter Message Preview","Naujienlaiškio pranešimo peržiūra"
"Newsletter Problem Reports","Naujienlaiškių klaidų pranešimai"
"Newsletter Queue","Naujienlaiškių eilė"
"Newsletter Subscribers","Naujienlaiškių prenumeratoriai"
"Newsletter Subscription","Naujienlaiškio prenumerata"
"Newsletter Subscriptions","Naujienlaiškių prenumeratos"
"Newsletter Templates","Naujienlaiškio šablonas"
"Newsletter subscription confirmation","Prenumeruojamo naujienlaiškio patvirtinimas"
"Newsletter subscription success","Prenumeruojamas naujienlaiškis užsakytas"
"Newsletter unsubscription success","Prenumeratos atsisakyta"
"No Templates Found","Šablonų nerasta"
"Not Sent","Neišsiųsta"
"Pause","Pauzė"
"Paused","Pauzė"
"Please enter a valid email address.","Prašome įvesti galiojantį el. pašto adresą."
"Please enter new template name","Įrašykite naujo šablono pavadinimą"
"Please select subscriber(s)","Pasirinkite prenumeratorių(ius)"
"Preview","Peržiūra"
"Preview Template","Peržiūrėti šabloną"
"Processed","Vykdo"
"Queue Date Start","Eilės pradžios data"
"Queue Finish","Eilės pabaiga"
"Queue Information","Eilės informacija"
"Queue Start","Eilės pradžia"
"Queue Subject","Eilės tema"
"Recipients","Gavėjai"
"Reset","Nustatyti iš naujo"
"Resume","Tęsti"
"Save As","Išsaugoti kaip"
"Save Newsletter","Išsaugoti naujienlaiškį"
"Save Template","Išsaugoti šabloną"
"Sender","Siuntėjas"
"Sender Email","Siuntėjo el.paštas"
"Sender Name","Siuntėjo vardas"
"Sending","Siunčiama"
"Sent","Išsiųsta"
"Sign Up for Our Newsletter:","Užsisakykite naujienlaiškį:"
"Sign up for our newsletter","Užsisakyti mūsų naujienlaiškį"
"Start","Pradėti"
"Status","Būsena"
"Store","Parduotuvė"
"Store View","Parduotuvės aplinka"
"Subject","Tema"
"Submit","Siųsti"
"Subscribe","Prenumeruoti"
"Subscribed","Prenumeruojamas"
"Subscriber","Prenumeratorius"
"Subscribers","Prenumeratoriai"
"Subscribers From","Prenumeratoriai Nuo"
"Subscription Options","Užsisakymo Nustatymai"
"Success Email Sender","Prenumeratos el.pašto Siuntėjas"
"Success Email Template","Prenumeratos el.pašto šablonas"
"Template Content","Šablono turinys"
"Template Information","Šablono informacija"
"Template Name","Šablono pavadinimas"
"Template Subject","Šablono tema"
"Template Type","Šablono tipas"
"Thank you for your subscription.","Sėkmingai užprenumeravote naujienlaiškį."
"There was a problem with the subscription: %s","Problemos su prenumeratomis: %s"
"There was a problem with the un-subscription.","Buvo problemos su prenumeratos atsisakymu."
"Type","Tipas"
"Unsubscribe","Atsisakyti"
"Unsubscribe Selected","Nutraukti prenumeratą pažymėtiems"
"Unsubscription Email Sender","Atsisakytos prenumeratos Siuntėjas"
"Unsubscription Email Template","Atsisakytos prenumeratos el.pašto šablonas"
"View Newsletter","Peržiūrėti naujienlaiškį"
"Website","Tinklapis"
