"Actions","Veiksmai"
"Active","Aktyvus"
"Add New Rule","Pridėti naują taisyklę"
"Apply","Pritaikyti"
"Apply To","Pritaikyti"
"Apply the rule only if the following conditions are met (leave blank for all products)","Pritaikykite taisyklę tik jei kitos sąlygos yra tinkamos (palikite tuščią vietą visiems produktams)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Naudoti taisyklę tiktai krepšelyje prekės atitinkančios šias sąlygas (palikite tuščią jei skirsit visiems)"
"Apply the rule to cart items matching the following conditions","Naudoti taisyklę tik krepšelyje prekės atitinkančios šias sąlygas"
"Buy X get Y free (discount amount is Y)","Pirk X gauk Y nemokamai (nuolaidos suma yra Y)"
"By Fixed value","Fiksuota reikšmė"
"By Percentage","Procentais"
"Cart Attribute","Krepšelio Savybės"
"Catalog","Katalogas"
"Conditions","Sąlygos"
"Conditions combination","Sąlygų kombinacija"
"Coupon Code","Kupono kodas"
"Created On","Sukurta"
"Customer Groups","Klientų grupės"
"Date Expire","Pabaigos data"
"Date Start","Pradžios data"
"Description","Aprašymas"
"Discount Amount","Nuolaida"
"Discount Qty Step (Buy X)","Nuolaidos vnt. žingsnis (Pikimas X)"
"Edit Rule","Redaguoti taisyklę"
"Edit Rule '%s'","Redaguoti taisyklę '%s'"
"Fixed amount discount","Fiksuotos sumos nuolaida"
"Fixed amount discount for whole cart","Pastovi nuolaida visam krepšeliui"
"For matching items only","Tik atitinkantys elementai"
"For shipment with matching items","Pristatymui su atitinkančiais elementais"
"Free Shipping","Nemokamas pristatymas"
"From Date","Nuo datos"
"General Information","Pagrindinė informacija"
"Inactive","Neaktyvus"
"NOT LOGGED IN","NEPRISIJUNGĘS"
"New Rule","Nauja taisyklė"
"No","Ne"
"Number of Uses","Naudojami skaičiai"
"Payment Method","Mokėjimo būdas"
"Percent of product price discount","Prekės kainos nuolaida procentais"
"Period","Periodas"
"Price in cart","Kaina Krepšelyje"
"Priority","Prioritetas"
"Product attribute combination","Prekės savybių kombinacija"
"Promotions","Taisyklės"
"Public In RSS Feed","Viešas RSS teikinyje"
"Quantity in cart","Kiekis krepšelyje"
"Row total in cart","Viso įrašų krepšelyje"
"Rule Information","Taisyklės informacija"
"Rule Name","Taisyklės pavadinimas"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Shipping Country","Pristatymo Šalis"
"Shipping Method","Pristatymo būdas"
"Shipping Postcode","Pašto indeksas"
"Shipping Region","Pristatymo regionas"
"Shipping State/Province","Pristatymo Apskritis/Rajonas"
"Shopping Cart Price Rules","Apsipirkimo krepšelio kainų taisyklės"
"Status","Būsena"
"Subtotal","Tarpinė suma"
"Subtotal Amount","Tarpinė suma"
"This rule no longer exists.","Ši taisyklė nebeegzistuoja."
"To Date","Iki datos"
"To Fixed Value","Fiksuota reikšmė"
"To Percentage","Procentai"
"Total","Iš viso"
"Total Amount","Bendroji suma"
"Total Items Quantity","Visas Įrašų Kiekis"
"Total Weight","Visas Svoris"
"Update prices using the following information","Atnaujinti kainą pagal šią informaciją"
"Update product's %s %s: %s","Atnaujinti produktus %s %s: %s"
"Update the Product","Atnaujinti prekę"
"Website","Tinklapis"
"Websites","Tinklapiai"
"Yes","Taip"
"total amount","bendra suma"
"total quantity","bendras kiekis"
