"* Required Fields","* Privalomi laukai"
"Address","Adresas"
"Address Information","Adreso informacija"
"Already registered?","Jau esate užsiregistravęs?"
"Back","Grįžti"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Susikūrę sąskaitą mūsų parduotuvėje galėsite pirkti prekes, išsaugoti skirtingus pristatymo adresus, sekti savo užsakymus ir dar daugiau."
"Checkout as Guest","Pirkti kaip svečiui"
"Checkout as a Guest or Register","Pirkti kaip svečiui arba registruotis"
"City","Miestas"
"Close","Uždaryti"
"Company","Įmonė"
"Confirm Password","Patvirtinkite slaptažodį"
"Continue","Tęsti"
"Country","Šalis"
"Create an Account","Sukurti paskyrą"
"Easy access to your order history and status","Lengvas priėjimas prie užsakymų istorijos ir būsenos"
"Email Address","El. paštas"
"Fast and easy check out","Greitas ir lengvas pirkimas"
"Fax","Faksas"
"Forgot Your Password?","Pamiršote slaptažodį?"
"Forgot your password?","Pamiršote slaptažodį?"
"General Options","Bendras Nustatymas"
"If you have an account with us, please log in.","Jei esate užsiregistravęs, prašome prisijungti."
"Loading next step...","Palaukite vykdoma..."
"Login","Prisijungti"
"Login Information","Prisijungimo informacija"
"Login or Create an Account","Registracija - Prisijungimas"
"New Customers","Naujiems klientams"
"Password","Slaptažodis"
"Personal Information","Asmeninė informacija"
"Please log in below:","Prašome prisijungti žemiau:"
"Please select region, state or province","Prašome pasirinkti regioną, apskritį ar rajoną"
"Register","Registruotis"
"Register and save time!","Registruokitės ir taupykite laiką!"
"Register to Create an Account","Registruokitės norėdami sukurti paskyrą"
"Register with us for future convenience:","Registruokitės:"
"Registered Customers","Registruotiems klientams"
"Remember Me","Prisiminti mane"
"Save in address book","Įrašyti adresų knygelėje"
"Select State/Province...","Pasirinkti Apskritį/Rajoną..."
"Select a billing address from your address book or enter a new address.","Pasirinkite mokėjimo adresą iš adresų knygelės arba įveskite <a href=""#"" onclick=""billing.newAddress(true); return false;"">naują adresą</a>."
"Ship to different address","Pristatyti skirtingais adresais"
"Ship to this address","Pristatyti šiuo adresu"
"Sign Up for Newsletter","Užsisakykite naujienlaiškį"
"State/Province","Rajonas/apskritis"
"Street Address","Adresas"
"Submit","Siųsti"
"Telephone","Telefonas"
"VAT Number","PVM mokėtojo kodas"
"Welcome, %s!","Sveiki, %s!"
"What's this?","Kas tai?"
"Zip/Postal Code","Pašto kodas"
