"# of Use","# iš Esamų"
"%s Item(s)","%s prekė(s)"
"(Copy data from: %s)","(Kopijuoti duomenis iš: %s)"
"* Required Fields","* Privalomi laukai"
"-- Please Select --","-- Pasirinkite --"
"A name is required","Vardas yra privalomas"
"ALL GROUPS","Visos Grupės"
"Action","Veiksmas"
"Add","Pridėti"
"Add Attribute","Pridėti savybę"
"Add Design Change","Naujas Dizainas"
"Add Group","Pridėti grupę"
"Add New","Pridėti naują"
"Add New Attribute","Pridėti naują atributą"
"Add New Attribute Set","Pridėti naują savybių rinkinį"
"Add New Group","Pridėti naują grupę"
"Add New Images","Naujas Vaizdas"
"Add New Option","Sukurti naują funkciją"
"Add New Search Term","Pridėti naują paieškos terminą"
"Add New Set","Pridėkite Naują Komplektą"
"Add Product","Pridėti produktą"
"Add Tier","Naujas variantas"
"Add to Cart","Į krepšelį"
"Add to Compare","Pridėti palyginimui"
"Add to Wishlist","Pridėti į pageidavimų sąrašą"
"Additional Information","Papildoma informacija"
"All","Visi"
"All Product Types","Visi Prekių Tipai"
"All Websites","Visi Tnklapiai"
"Apply To","Pritaikyti"
"Approved","Patvirtinta"
"Are you sure you want to delete this category?","Ar tikrai norite pašalinti šią kategoriją?"
"Are you sure you would like to remove all products from your comparison?","Ar tikrai norite pašalinti prekes iš palyginamųjų sąrašo?"
"Are you sure?","Ar esate įsitikinę?"
"As low as:","Mažiau Nei:"
"Associated Products","Kitos prekės"
"Attrib. Set Name","Sav. Pavadinimas"
"Attribute Information","Savybės informacija"
"Attribute Model","Savybės modelis"
"Attribute Name:","Savybės pavadinimas:"
"Attribute Set","Savybių Komplektas"
"Attribute with the same code already exists","Savybė su tokiu pačiu kodu jau yra"
"Attributes","Savybės"
"Autogenerate","Sugeneruoti automatiškai"
"Availability:","Prieinamumas:"
"Back","Grįžti"
"Backend Model","Backend Modelis"
"Backend Table","Backend Lentelė"
"Backend Table Title","Backend Lentelės pavadinimas"
"Backorders","Rezervavimas"
"Based On","Pagrįstas"
"Best Value","Geriausia kaina"
"Bottom/Left","Apačia/Kairėje"
"Bottom/Right","Apačia/Dešinėje"
"Browse By","Ieškoti pagal"
"Can be used only with catalog input type Dropdown","Gali būti panaudotas tiktai su katalogo įvesties tipu Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Gali būti panaudotas tiktai su katalogo įvesties tipu Dropdown, Multiple Select ir Price"
"Cancel","Atšaukti"
"Cart Item Attribute","Krepšelio savybės"
"Catalog","Katalogas"
"Catalog Price Scope","Katalogo Kainų Ribos"
"Catalog, Search","Katalogas, paieška"
"Categories","Kategorijos"
"Categories Sitemap","Kategorijų struktūra"
"Category","Kategorija"
"Category Data","Kategorijos duomenys"
"Category Products","Prekių kategorija"
"Category move error","Kategorijos perkėlimo klaida"
"Change","Pakeitimas"
"Change status","Pakeitimo būsena"
"Choose an Option...","Pasirinkti parinktį..."
"Clear All","Išvalyti viską"
"Click for price","Tikrinti kainą"
"Close Window","Uždaryti langą"
"Comparable","Palyginamas"
"Comparable on Front-end","Palyginimas Front-end"
"Compare","Palyginti"
"Compare Products","Prekių palyginimas"
"Conditions Combination","Sąlygų kombinacija"
"Configurable Product","Konfigūruojamas Produktas"
"Configurable Product Settings","Keičiamos prekės nuostatos"
"Continue","Tęsti"
"Copy From Configurable","Kopija iš Konfigūruojamų"
"Create Empty","Sukurkite Tuščią"
"Create Product Settings","Sukurti Prekės Nuostatas"
"Create Simple Associated Product","Sukurkite Susijusį Produktą"
"Custom Design","Specialus Dizainas"
"Customer Group","Pirkėjų Grupė"
"Customers Reviews","Pirkėjų Apžvalgos"
"Customers Tagged Product","Pirkėjų Pažymėtos Prekės"
"Data Type for Saving in Database","Duomenų tipas Saugomas į Duomenų bazę"
"Date Subscribed","Prenumeratos Data"
"Datetime","Laikas"
"Decimal","Dešimtainis"
"Declare attribute value saving scope","Išvardinti savybių reikšmes įrašų apimtis"
"Default Qty","Numatytasis kiekis"
"Default Values","Pagrindinės Reikšmės"
"Delete","Ištrinti"
"Delete Attribute","Šalinti Savybę"
"Delete Attribute Set","Pašalinti Savybių Rinkinį"
"Delete Category","Šalinti Kategoriją"
"Delete Option","Šalinimo Pasirinkimai"
"Delete Search","Ištrinti paiešką"
"Delete Selected Group","Šalinti Pasirinktas Grupes"
"Description","Aprašymas"
"Design","Dizainas"
"Details","Išsamiau"
"Disabled","Išjungta"
"Display in Suggested Terms","Rodyti Mokėjimo Sąlygose"
"Double click on a group to rename it","Pervadinti grupę galėsite dukart paspaudę ant jos"
"Double click on above image to view full picture","Norėdami padidinti nuotrauką, spragtelkite du kartus"
"Duplicate","Kopija"
"Duplicate website tier price customer group and quantity.","Tinklapio klientų grupių kainų ir kiekių kopija."
"Edit","Redaguoti"
"Edit Attribute Set '%s'","Redaguoti Savybių Grupę '%s'"
"Edit Product Attribute","Redaguoti Pekės Savybę"
"Edit Product Attribute ""%s""","Redaguoti Prekių Savybes ""%s"""
"Edit Search","Redaguoti paiešką"
"Edit Search '%s'","Redaguoti paiešką '%s'"
"Email","El. paštas"
"Empty","Tuščia"
"Enabled","Įjungta"
"Error during retrieval of option value: %s","Klaida grąžinant pasirinkimo reikšmę: %s"
"Exclude","Atmesti"
"Failed","Nepavyko"
"Failed to move file: %s","Nepavyko perkelti failo: %s"
"Feature Products","Rekomenduojami Produktai"
"Filter","Filtruoti"
"Filterable (no results)","Filtruojama (be rezultatų)"
"Filterable (with results)","Filtruojama (su rezultatais)"
"First Name","Vardas"
"Frontend","Priekis"
"Frontend Model","Priekio Modelis"
"Frontend Properties","Priekio Nuostatos"
"Gallery","Galerija"
"General Information","Pagrindinė informacija"
"Global","Globalus"
"Globally Editable","Globaliai Redaguojamas"
"Go to Home Page","Grįžti į pradinį puslapį"
"Grid","Tinklelis"
"Grouped Product","Sugrupuotas Produktas"
"Groups","Grupės"
"Home","Pradžia"
"Image","Vaizdas"
"Image type and information need to be specified for each store view.","Vaizdo tipas ir informacija turi būti apibrėžti kiekvienam parduotuvės vaizdui."
"In Stock","Sandėlyje"
"In stock","Sandėlyje"
"Incl. Tax","Su PVM"
"Input Type","Įvesties tipas"
"Integer","Sveikasis skaičius"
"Invalid store specified","Nurodyta Negaliojanti Parduotuvė"
"Inventory","Inventorius"
"Is Default","Pagrindinis"
"Is Required","Reikalinga"
"Items %s to %s of %s total","Įrašai <strong>%s</strong> yra <strong>%s</strong> iš <strong>%s</strong> viso"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Įrašai, kurių jūs nenorite rodyti kataloge ar paieškoje turi buti nustatyti 'Disabled' pageidaujamoje parduotuvėje."
"Label","Etiketė"
"Last Name","Pavardė"
"Last Notification","Paskutinis Pranešimas"
"Learn More","Sužinoti daugiau"
"Line %d, Email: %s","Eilutė %d, El.paštas: %s"
"Line %d, SKU: %s","Eilutė %d, SKU: %s"
"List","Sąrašas"
"List Mode","Sąrašas"
"Manage Attributes","Valdyti savybes"
"Maximum Qty Allowed in Shopping Cart","Maksimumas Vnt. Leista Apsipirkimo Krepšelyje"
"Media Image","Media Vaizdas"
"Minimum Qty Allowed in Shopping Cart","Minimalus leistinas Vnt. kiekis Apsipirkimo Krepšelyje"
"Minimum Qty for Item's Status to be Out of Stock","Minimalaus prekių kiekio būsenai nėra"
"More Views","Daugiau peržiūrų"
"My Account","Mano paskyra"
"N/A","N/D"
"Name","Vardas"
"New Product","Nauja prekė"
"New Product Attribute","Nauja prekės savybė"
"New Products","Nauji produktai"
