" [deleted]"," [ištrinta]"
" and "," ir "
"(For US 2-letter state names)","(Amerikos 2 raidžių Valstijų trumpiniai)"
"(If left empty will be auto-generated)","(Jei paliktas tuščias bus autosukurtas)"
"(Leave empty for first spreadsheet)","(palikite tusčia pirmam lapui)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produktai bus pridėti/atnaujinti prie šios parduotuvės, jei 'parduotuvės' skiltis bus tuščia ar trūks importo rinkmenoje.)"
"(Starting with)","(Pradėti su)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Kai 'Ne', pažymėti laukeliai nebus importuoti. Kai žymėjimas naudoja 'stulpelis1', 'stulpelis2', pan)"
"(\t for tab)","(t for tab)"
"* Required Fields","* Privalomi laukai"
"-- Please Select --","-- Pasirinkite --"
"-- Please select --","-- Prašome pasirinkti --"
"--Please Select--","--Prašome pasirinkti--"
"1 Hour","1 val"
"12 Hours","12 valandų"
"2 Hours","2 valandos"
"24 Hours","24 valandos"
"6 Hours","6 valandos"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404 klaida</h1> <p>Puslapis nerastas.</p>"
"Account Created in:","Sąskaita sukurta (kur):"
"Account Created on:","Sąskaita sukurta (kada):"
"Account Information","Mano Informacija"
"Account status","Sąskaitos būsena"
"Action","Veiksmas"
"Actions","Veiksmai"
"Actions XML","Veiksmo XML"
"Active","Aktyvus"
"Add","Pridėti"
"Add Field Mapping","Pridėkite Laukelių Žymėjimo sudarymą"
"Add New","Pridėti naują"
"Add New Block","Pridėti Naują Bloką"
"Add New Image","Pridėti naują vaizdą"
"Add New Profile","Naujas Profilis"
"Add New Role","Nauja rolė"
"Add New Template","Naujas šablonas"
"Add New User","Naujas narys"
"Address Type:","Adreso Tipas:"
"Admin","Administratorius"
"Advanced Profiles","Išplėsti Profiliai"
"All","Visi"
"All Allowed Countries","Visos Galimos Šalys"
"All Cache","Visi podėliai"
"All Files","Visi failai"
"All Reviews","Visos apžvalgos"
"All Store Views","Visi Parduotuvės Vaizdai"
"All Tags","Visos žymės"
"All Websites","Visi Tnklapiai"
"All countries","Visos šalys"
"All fields","Visi Laukeliai"
"Amounts","Sumos"
"Any","Bet koks"
"Any Attribute Set","Bet koks savybės rinkinys"
"Any Group","Bet kokia Grupė"
"Any Status","Bet kokia Būklė"
"Any Store","Bet kokia Parduotuvė"
"Any Type","Bet Koks Tipas"
"Any Visibility","Bet Kaip Rodomas"
"Archive file name:","Archyvo failo pavadinimas:"
"Are you sure that you want to delete this template?","Ar tikrai norite pašalinti šį šabloną?"
"Are you sure that you want to strip tags?","Ar tikrai norite pašalinti žymes?"
"Are you sure you want to do this?","Ar tikrai norite tai padaryti?"
"As low as:","Mažiau Nei:"
"Assigned","Priskirta"
"Attribute Set Name:","Savybės rinkinio pavadinimas:"
"Attributes","Savybės"
"Average Order Amount","Vidutinis Užsakymo Kiekis"
"Average Orders","Užsakymų Vidurkis"
"Back","Grįžti"
"Back to Login","Atgal Prisijungti"
"Backup","Atsarga"
"Backups","Atsarga"
"Base currency","Pagrindinė valiuta"
"Bestsellers","Perkamiausi"
"Billing Address","Mokėtojo Adresas"
"Billing Address: ","Atsiskaitymo Adresas: "
"Block Information","Bloko informacija"
"Both (without and with tax)","Ir (be, ir su mokesčiu)"
"Browse Files...","Ieškoti failų..."
"CMS","TVS"
"CSV / Tab separated","CSV / Tab atskirtas"
"Cancel","Atšaukti"
"Card Verification Number","Kortelės patvirtinimo numeris"
"Catalog","Katalogas"
"Catalog Price Rules","Katalogo kainų taisyklės"
"Categories","Kategorijos"
"Category","Kategorija"
"Choose an attribute","Pasirinkite požymį"
"Clear","Išvalyti"
"Close","Uždaryti"
"Code","Kodas"
"Complete","Užbaigtas"
"Configuration","Nustatymai"
"Confirm New Password","Patvirtinti naują slaptažodį"
"Continue","Tęsti"
"Convert to Plain Text","Konvertuoti į paprasta tekstą"
"Country","Šalis"
"Country:","Šalis:"
"Coupons","Kuponai"
"Create New Attribute","Sukurkite Naują Atributą"
"Created At","Sukurtas"
"Credit Card Number","Kortelės numeris"
"Credit Card Number: xxxx-%s","<strong>Kreditinės kortelės numeris:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Kreditinės kortelės tipas"
"Credit Card Type: %s","<strong>Kreditinės kortelės tipas:</strong> <span class=""nowrap"">%s</span>"
"Credit Memo History","Kredito Pastabų Istorija"
"Credit Memo Totals","Viso Kredito pastabų"
"Credit Memos","Kredito pastaba"
"Currency","Valiuta"
"Currency Information","Valiutos informacija"
"Current Configuration Scope:","Nustatymai:"
"Custom","Pasirinktinis"
"Customer","Klientas"
"Customer Group:","Klientų Grupė:"
"Customer Groups","Klientų grupės"
"Customer Name","Kliento Vardas"
"Customer Reviews","Klientų apžvalgos"
"Customer Since:","Klientas Nuo:"
"Customer Tax Classes","Klientų mokesčių klasės"
"Customer with the same email already exists.","Klientas su tokiu el.paštu jau yra."
"Customers","Klientai"
"Dashboard","Darbastalis"
"Data Format","Informacijos Formatas"
"Data transfer:","Duomenų perkėlimas:"
"Date","Data"
