"# of Items (and above)","# iš Įrašų (ir daugiau)"
"# of Items vs. Destination","# iš Įrašų prieš paskyrimo vietą"
"Calculate Handling Fee","Apskaičiuokite Pristatymo Mokestį"
"Carrier:","Vežėjas:"
"City","Miestas"
"Close Window","Uždaryti langą"
"Condition","Būklė"
"Country","Šalis"
"Custom Value","Sukurta Reikšmė"
"Date","Data"
"Delivered on:","Tiektas kada:"
"Delivered to:","Tiektas kam:"
"Description","Aprašymas"
"Displayed Error Message","Rodyta Klaidos Žinutę"
"Enabled","Įjungta"
"Error:","Klaida:"
"Export","Eksportuoti"
"Flat Rate","Vienoda norma"
"Free Shipping","Nemokamas pristatymas"
"Handling Fee","Pristatymo mokesčiai"
"Import","Importas"
"Invalid Table Rate code for type %s: %s","Neteisingas Lentelės normos kodas tipui %s: %s"
"Invalid Table Rate code type: %s","Neteisingas Lentelės normos kodas tipui: %s"
"Invalid Table Rates File Format","Klaidingas dydžių lentelės bylos formatas"
"Local Time","Vietos laikas"
"Location","Vieta"
"N/A","N/D"
"None","Nė vienas"
"Options","Pasirinkimai"
"Order Subtotal (and above)","Užsakymo tarpinė suma (ir daugiau)"
"Origin","Kilmė"
"Per Order","Per užsakymą"
"Per Package","Paketui"
"Price","Kaina"
"Price vs. Destination","Kaina vs. Tikslas"
"Region/State","Rajonas/Apskrytis"
"Service Type:","Paslaugos tipas:"
"Shipment #","Siunta #"
"Shipped or billed on:","Persiųsti ar pateiktį sąskaitą:"
"Shipping Methods","Pristatymo būdai"
"Shipping Settings","Pristatymo Opcijos"
"Signed by:","Pasirašytas:"
"Sort Order","Rūšiavimo tvarka"
"Status:","Būsena:"
"Store Pickup","Paėmimas iš parduotuvės"
"Street Address","Adresas"
"There is no tracking available for this shipment.","Nėra jokio sekimo šiam siuntimui."
"There is no tracking available.","Nėra jokio sekimo."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Pristatymo metodas šiuo metu neprieinamas. Jei jūs norėtumėte persiųsti šiuo metodu, prašome susisiekti su mumis."
"Title","Pavadinimas"
"Track:","Sekimas:"
"Tracking Number:","Sekimo numeris:"
"Tracking information is currently not available. Please ","Sekimo Informacija šiuo metu nepasiekiama. Prašom "
"Tracking information is currently unavailable.","Sekimo Informacija šiuo metu nepasiekiama."
"Type","Tipas"
"Weight (and above)","Svoris (ir daugiau)"
"Weight vs. Destination","Svoris vs. Paskirties vietai"
"Weight:","Svoris:"
"ZIP/Postal Code","Pašto kodas"
"contact us","kontaktai"
