"* Required Fields","* Privalomi laukai"
"Add All to Cart","Viską į krepšelį"
"Add to Cart","Į krepšelį"
"Add to Compare","Pridėti palyginimui"
"Add to Wishlist","Pridėti į pageidavimų sąrašą"
"Added From","Pridėta iš"
"Are you sure you want to remove this product from your wishlist?","Ar tikrai norite pašalinti prekę iš Pažymėtųjų sąrašo?"
"Back","Grįžti"
"Can't save description %s","Neįmanoma išsaugoti aprašymo %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Pažymėkite šį lauką, jei norite pridėti nuorodą į rss į Jūsų Pažymėtų sąrašą."
"Click for price","Tikrinti kainą"
"Comment","Komentaras"
"Date Added","Data įrašyta"
"Days in Wishlist","Dienos Pažymėtų sąraše"
"Edit","Redaguoti"
"Email Sender","El.pašto siuntėjas"
"Email Template","El.pašto šablonas"
"Email address can't be empty.","Privalote įrašyti el.pašto adresą."
"Email addresses, separated by commas","Įvesti kelis el. pašto adresus, atskirkite juos kableliais"
"Enabled","Įjungta"
"General Options","Bendras Nustatymas"
"Go to Wishlist","Į Pažymėtųjų sąrašą"
"In stock","Sandėlyje"
"Last Added Items","Naujai Sukurtas Įrašas"
"Message","Žinutė"
"My Wishlist","Mano Pažymėti"
"My Wishlist (%d item)","Mano Pažymėti (%d vnt.)"
"My Wishlist (%d items)","Mano Pažymėti (%d vnt.)"
"Out of stock","Nėra sandėlyje"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Prašome įrašyti el.pašto adresus atskirtus kableliais. Pvz.: info@domenas.lt, sales@domenas.lt."
"Please, enter your comments...","Prašome įrašyti savo komentarą..."
"Price","Kaina"
"Product","Produktas"
"Qty","Kiekis"
"RSS Feed","RSS Žymos"
"RSS link to %s's wishlist","RSS nuoroda į %s Pažymėtus"
"Remove Item","Ištrinti"
"Remove This Item","Pašalinti šią prekę"
"Remove item","Ištrinti"
"SKU","Prekės kodas"
"Share Wishlist","Dalintis Pažymėtais"
"Share Your Wishlist","Dalintis savo Pažymėtais"
"Sharing Information","Dalinimosi informacija"
"Update Wishlist","Atnaujinti sąrašą"
"View Details","Peržiūrėti detales"
"View Product","Žiūrėti prekę"
"What's this?","Kas tai?"
"Wishlist","Pageidavimų sąrašas"
"Wishlist Sharing","Pasidalinti Pažymėtais"
"Wishlist is empty now.","Pažymėtų sąrašas yra tuščias."
"You have no items in your wishlist.","Dar neturite Pažymėtų prekių."
