"* Required Fields","* Privalomi laukai"
"ALL GROUPS","Visos Grupės"
"Account Dashboard","Sąskaitos valdymo skydas"
"Account Information","Mano Informacija"
"Account Sharing Options","Sąskaitos Opcijos"
"Action","Veiksmas"
"Add New Address","Pridėti naują adresą"
"Add New Customer","Pridėti naują klientą"
"Add New Customer Group","Nauja klientų grupę"
"Added From","Pridėta iš"
"Additional Address Entries","Papildomi Adresai"
"Address","Adresas"
"Address Book","Mano Adresai"
"Address Information","Adreso informacija"
"Addresses","Adresai"
"Admin","Administratorius"
"All","Visi"
"All Store Views","Visi Parduotuvės Vaizdai"
"All countries","Visos šalys"
"Always optional.","Visada neprivaloma."
"Approved","Patvirtinta"
"Are you sure that you want to remove this item?","Ar tikrai norite pašalinti šį elementą?"
"Are you sure you want to cancel adding of this address?","Ar tikrai norite atšaukti šio adreso įrašymą?"
"Are you sure you want to delete this address?","Jūs įsitikinęs, kad norite ištrinti šį adresą?"
"Are you sure?","Ar esate įsitikinę?"
"Average Sale","Pardavimų vidurkis"
"Back","Grįžti"
"Back to Login","Atgal Prisijungti"
"Bought From","Nupirkta iš"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Susikūrę sąskaitą mūsų parduotuvėje galėsite pirkti prekes, išsaugoti skirtingus pristatymo adresus, sekti savo užsakymus ir dar daugiau."
"Cancel","Atšaukti"
"Change Account Password","Pakeisti sąskaitos slaptažodį"
"Change Billing Address","Keisti atsiskaitymo adresą"
"Change Password","Keisti slaptažodį"
"Change Shipping Address","Keisti pristatymo adresą"
"City","Miestas"
"Company","Įmonė"
"Config","Nustatyti"
"Confirm New Password","Patvirtinti naują slaptažodį"
"Confirm Password","Patvirtinkite slaptažodį"
"Contact Information","Kontaktinė informacija"
"Continue Shopping","Tęsti apsipirkimą"
"Country","Šalis"
"Create New Account Options","Sukurte Naują Sąskaitos Opciją"
"Create New Customer Account","Sukurti naują kliento sąskaitą"
"Create Order","Sukurti užsakymą"
"Create an Account","Sukurti paskyrą"
"Current Password","Dabartinis slaptažodis"
"Customer","Klientas"
"Customer Addresses","Kliento adresai"
"Customer Configuration","Pirkėjų valdymas"
"Customer Group","Pirkėjų Grupė"
"Customer Groups","Klientų grupės"
"Customer Information","Kliento informacija"
"Customer Login","Jungtis Pirkėjams"
"Customer Since","Klientas nuo"
"Customer View","Kliento peržiūra"
"Customers","Klientai"
"Customers Only","Tik klientams"
"Date","Data"
"Date Added","Data įrašyta"
"Day","Diena"
"Days in Wishlist","Dienos Pažymėtų sąraše"
"Default Addresses","Adresai"
"Default Billing Address","Numatytasis atsiskaitymo adresas"
"Default Email Domain","Numatytas el.pašto Domenas"
"Default Group","Numatyta Grupė"
"Default Shipping Address","Pristatymo adresas"
"Delete","Ištrinti"
"Delete Address","Šalinti adresą"
"Delete Customer","Šalinti klientą"
"Delete Customer Group","Šalinti klientų grupę"
"Deleted Stores","Pašalintos Parduotuvės"
"Details","Išsamiau"
"Disabled","Išjungta"
"Edit","Redaguoti"
"Edit Account Information","Redaguoti paskyros informaciją"
"Edit Address","Redaguoti adresą"
"Edit Address Entry","Redaguoti adreso įrašą"
"Edit Customer Group ""%s""","Redaguoti Pirkėjų Grupes ""%s"""
"Edit Customer Groups","Redaguoti klientų grupę"
"Edit Customer's Address","Redaguoti Pirkėjų Adresus"
"Edit Group","Redaguoti grupę"
"Edit Newsletters","Redaguoti naujienlaiškius"
"Email","El. paštas"
"Email Address","El. paštas"
"Email Sender","El.pašto siuntėjas"
