"# of Uses","# Naudojama"
"Action","Veiksmas"
"Add","Pridėti"
"Add New Tag","Pridėti naują žymę"
"Add Tags","Pridėti žymę"
"Add Your Tags:","Pridėk savo žymę:"
"Add to Cart","Į krepšelį"
"Add to Wishlist","Pridėti į pageidavimų sąrašą"
"All Tags","Visos žymės"
"Approved","Patvirtinta"
"Are you sure you want to delete this tag?","Ar tikrai norite pašalinti šią žymę?"
"Are you sure you want to do this?","Ar tikrai norite tai padaryti?"
"Are you sure?","Ar esate įsitikinę?"
"Back","Grįžti"
"Back to Tags List","Į Žymių sąrašą"
"Block Information","Bloko informacija"
"Change status","Pakeitimo būsena"
"Click on a tag to view your corresponding products.","Spauskite ant žymės jei norite susijusias prekes."
"Country","Šalis"
"Customer Since","Klientas nuo"
"Customers","Klientai"
"Customers Tagged '%s'","Pirkėjų žymės '%s'"
"Delete","Ištrinti"
"Delete Tag","Pašalinti žymę"
"Disabled","Išjungta"
"Edit Tag '%s'","Keisti žymę '%s'"
"Email","El. paštas"
"First Name","Vardas"
"General Information","Pagrindinė informacija"
"Grid","Tinklelis"
"Last Name","Pavardė"
"List","Sąrašas"
"My Recent Tags","Mano naujausios žymės"
"My Tags","Mano žymės"
"Name","Vardas"
"New Tag","Nauja žymė"
"No matches found.","Nerasta atitikmenų."
"Other people marked this product with these tags:","Kiti vartotojai šią prekę pažymėjo šiomis žymėmis:"
"Pending","Laukiama"
"Pending Tags","Laukiančios žymės"
"Popular","Populiarus"
"Popular Tags","Populiarios žymės"
"Price","Kaina"
"Product Name","Prekės pavadinimas"
"Product SKU","Prekės SKU"
"Product Tags","Prekės Žymės"
"Products","Prekės"
"Products Tagged with '%s'","Prekė Pažymėta '%s'"
"Products tagged with '%s'","Prekės Pažymėtos '%s'"
"Remove","Pašalinti"
"SKU","Prekės kodas"
"Save Tag","Išsaugoti žymę"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Status","Būsena"
"Store View","Parduotuvės aplinka"
"Tag","Žymės"
"Tag Name","Žymės Pavadinimas"
"Tags","Žymės"
"Tags:","Žymės:"
"Telephone","Telefonas"
"Unable to find any products tagged with '%s' in the current store","Nėra prekių, pažymėtų '%s'"
"Unable to remove tag. Please, try again later.","Neįmanoma pašalinti žymės. Prašome pabandyti vėliau"
"Update","Atnaujinti"
"Use spaces to separate tags. Use single quotes (') for phrases.","Naudokite tarpus, kad atskirtumėte žymes. Viengubomis kabutėmis ('') galite atskirti frazes."
"View All Tags","Peržiūrėti visas žymes"
"View Customers","Peržiūrėti klientus"
"View Products","Peržiūrėti prekes"
"You have not tagged any products yet.","Jūs dar nepažymėjote jokios prekės"
"ZIP/Post Code","Pašto kodas"
