"Alert Email Sender","Įspėjimas el.pašto Siuntėjui"
"Click here not to receive alerts for this product","Paspauskite čia jei nenorite gauti pranešimus apie šią prekę"
"Error Email Recipient","Klaidų el.pašto gavėjai"
"Error Email Sender","Klaidų el.pašto Siuntėjas"
"Error Email Template","Klaidų el.pašto Šablonas"
"Frequency","Dažnumas"
"Price:","Kaina:"
"Product Alerts","Įspėjimai apie Produktą"
"Product Alerts Run Settings","Prekės Įspėjimo vykdymo Parametrai"
"Product alerts Cron error","Prekės Įspėjimo Cron klaida"
"Product price alert","Prekės kainos pranešimas"
"Product stock alert","Prekės kiekio pranešimas"
"Regular Price:","Sena kaina:"
"Sign up for price alert","Registruokitės norėdami gauti pranešimus"
"Sign up to get notified when this product is back in stock","Registruokitės, norėdami gauti informaciją, kai šis produktas bus prekyboje"
"Special price:","Nauja kaina:"
"Start Time","Pradžios laikas"
"Unsubscribe from all price alerts","Atsisakyti visų kainų informavimo"
"Unsubscribe from all stock alerts","Atsisakyti visų kiekių informavimo"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Jūs gavote š pranešimą todėl, kad Jūs užsisakėte informavimą apie prekių papildymą:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Jūs gavote šį pranešimą todėl, kad jūs užsisakėte informaciją apie prekių kainos pokyčius:"
