"%d Review(s)","%d Apžvalga(os)"
"%s Review(s)","%s Apžvalga(os)"
"(Posted on %s)","(Įrašyta %s)"
"1 star","1 Žvaigždutė"
"2 stars","2 Žvaigždutės"
"3 stars","3 Žvaigždutės"
"4 stars","4 Žvaigždutės"
"5 stars","5 Žvaigždutės"
"Add New Review","Pridėti naują aprašymą"
"Add Your Review","Sukurti apžvalgą"
"Administrator","Administratorius"
"All Reviews","Visos apžvalgos"
"Approved","Patvirtinta"
"Are you sure you want to do this?","Ar tikrai norite tai padaryti?"
"Are you sure?","Ar esate įsitikinę?"
"Average Customer Rating","Vidutinis klientų vertinimas"
"Average Customer Rating:","Vidutinis klientų vertinimas:"
"Back","Grįžti"
"Back to My Reviews","Atgal"
"Back to Product Reviews","Atgal"
"Be the first to review this product","Būkite pirmas palikęs atsiliepimą"
"Created On","Sukurta"
"Customer","Klientas"
"Customer Reviews","Klientų apžvalgos"
"Customers Reviews","Pirkėjų Apžvalgos"
"Delete","Ištrinti"
"Delete Review","Šalinti apžvalgą"
"Detailed Rating","Detalus vertinimas"
"Edit Review '%s'","Keisti vertinimą '%s'"
"Guest","Svečias"
"How do you rate this product?","Kaip įvertintumėte šią prekę?"
"My Product Reviews","Mano produktų apžvalgos"
"My Recent Reviews","Mano naujausios apžvalgos"
"Name","Vardas"
"New Review","Nauji aprašymai"
"Nickname","Slapyvardis"
"Pending","Laukiama"
"Pending Reviews","Laukiančios apžvalgos"
"Please select a product","Prašome pasirinkti prekę"
"Please select one of each of the ratings above","Prašome pasirinkti vieną iš vertinimų aukščiau"
"Posted By","Parašė"
"Price","Kaina"
"Product","Produktas"
"Product Name","Prekės pavadinimas"
"Product Rating","Prekės vertinimas"
"Product Rating:","Prekės vertinimas:"
"Product Review (submitted on %s):","<strong>Prekės apžvalga</strong> (pateikta %s):"
"Product Reviews","Prekės Apžvalgos"
"Product SKU","Prekės SKU"
"Products Reviews","Prekių Apžvalgos"
"Qty","Kiekis"
"Rating:","Vertinimas:"
"Review","Atsiliepimas"
"Review Details","Apžvalga"
"Review by %s"," <em>%s</em>"
"Reviews","Atsiliepimai"
"SKU","Prekės kodas"
"Save Review","Išsaugoti apžvalgą"
"Status","Būsena"
"Submit Review","Pridėti Atsiliepimą"
"Summary Rating","Vertinimo suvestinė"
"Summary of Review","Apžvalgų suvestinė"
"Summary of Your Review","Jūsų apžvalgos antraštė"
"Title","Pavadinimas"
"Type","Tipas"
"View All Reviews","Peržiūrėti visas apžvalgas"
"View Details","Peržiūrėti detales"
"Visible In","Matoma"
"Websites","Tinklapiai"
"Write Your Own Review","Parašykite savo atsiliepimą"
"You have submitted no reviews.","Jūs nepateikėte atsiliepimų."
"You're reviewing:","Jūsų Atsiliepimas apie:"
"Your Rating:","Jūsų vertinimas:"
"Your Review (submitted on %s):","<strong>Jūsų vertinimas</strong> (pateikta %s):"
