"* Required Fields","* Privalomi laukai"
"Add New Address","Pridėti naują adresą"
"Add to Cart","Į krepšelį"
"Add to Compare","Pridėti palyginimui"
"Add to Wishlist","Pridėti į pageidavimų sąrašą"
"Address","Adresas"
"Address %s of %s","Adresas <span class=""shipment-count"">%s</span> iš %s"
"Allow Guest Checkout","Svečiai gali užsakyti"
"Already registered?","Jau esate užsiregistravęs?"
"Apply","Pritaikyti"
"Apply Coupon","Naudoti kuponą"
"Are you sure you would like to remove this item from the shopping cart?","Ar tikrai norite ištrinti šią prekę?"
"Back","Grįžti"
"Back to Shipping Information","Atgal į Pristatymo informaciją"
"Based on your selection, you may be interested in the following items:","Gal Jus sudomins ir šios prekės:"
"Billing Address","Mokėtojo Adresas"
"Billing Information","Mokėjimo Informacija"
"Billing Information - %s","Mokėtojo informacija - %s"
"Cancel","Atšaukti"
"Cancel Coupon","Atšaukti kuponą"
"Card Verification Number Visual Reference","Kortelės patvirtinimo kodas "
"Cart Subtotal:","Tarpinė suma:"
"Change","Pakeitimas"
"Change Billing Address","Keisti atsiskaitymo adresą"
"Checkout","Pirkti"
"Checkout Conditions","Atsiskaitymo sąlygos"
"Checkout Options","Kasos Opcijos"
"Checkout Terms and Conditions","Atsiskaitymo taisyklės ir sąlygos"
"Checkout as Guest","Pirkti kaip svečiui"
"Checkout as a Guest or Register","Pirkti kaip svečiui arba registruotis"
"Checkout with Multiple Addresses","Pirkti su skirtingais adresais"
"City","Miestas"
"Clear Shopping Cart","Išvalyti krepšelį"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Paspauskite <a href=""%s"" onclick=""this.target='_blank'"">čia</a> norėdami atsispausdinti Jūsų užsakymo patvirtinimo kopiją."
"Close","Uždaryti"
"Company","Įmonė"
"Confirm Password","Patvirtinkite slaptažodį"
"Content","Turinys"
"Continue","Tęsti"
"Continue Shopping","Tęsti apsipirkimą"
"Continue to Billing Information","Pereiti į mokėjimo informaciją"
"Continue to Review Your Order","Pereiti į Jūsų užsakymo peržiūrą"
"Continue to Shipping Information","Pereiti į pristatymo informaciją"
"Country","Šalis"
"Coupon code ""%s"" is not valid.","Kupono kodas ""%s"" negalioja."
"Create Billing Address","Sukurti Mokėtojo adresą"
"Create Shipping Address","Sukurti pristatymo adresą"
"Customer Information","Kliento informacija"
"Data saving problem","Duomenų saugojimo problemos"
"Default Billing","Įprastas apmokėjimas"
"Default Shipping","Įprastas pristatymas"
"Details","Išsamiau"
"Disabled","Išjungta"
"Discount Codes","Nuolaidos kodas"
"Display Cart Summary","Rodyti Krepšelio Sumą"
"Display item quantities","Rodyti Įrašų kiekį"
"Display number of items in cart","Rodyti įrašų kiekį Krepšelyje"
"Easy access to your order history and status","Lengvas priėjimas prie užsakymų istorijos ir būsenos"
"Edit","Redaguoti"
"Edit Address","Redaguoti adresą"
"Edit Billing Address","Redaguoti Mokėtojo adresą"
"Edit Items","Redaguoti elementus"
"Edit Shipping Address","Redaguoti pristatymo adresą"
"Edit Your Cart","Redaguoti krepšelį"
"Edit item","Redaguoti elementą"
"Edit item parameters","Redaguoti prekės parametrus"
"Email Address","El. paštas"
"Enabled","Įjungta"
"Enter a New Address","Įveskite naują adresą"
"Enter your coupon code if you have one.","Jei turite Kuponą, įrašykite jo kodą."
"Enter your destination to get a shipping estimate.","Įveskite pristatymo vietą"
"Estimate Shipping and Tax","Įvertinti siuntimo išlaidas ir mokesčius"
"Excl. Tax","Be PVM"
"Fast and easy check out","Greitas ir lengvas pirkimas"
"Fax","Faksas"
"Forgot an Item?","Pamiršote prekę?"
"Forgot your password?","Pamiršote slaptažodį?"
"Get a Quote","Sužinoti kainą"
"Gift Message","Dovanos žinutė"
"Grand Total:","Iš Viso:"
"Incl. Tax","Su PVM"
"Invalid shipping method.","Klaidingas pristatymo metodas."
"Items","Prekės"
"Load customer quote error","Įkelto kliento klaida"
"Loading next step...","Palaukite vykdoma..."
"Login","Prisijungti"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimalus leistinas adresų kiekis renkantis pristatymą keliems adresams %s"
"Move to Wishlist","Pridėti į norų sąrašą"
"My Cart","Mano krepšelis"
"My Cart (%s item)","Mano krepšelyje (%s įrašas)"
"My Cart (%s items)","Mano krepšelyje (%s įrašai)"
"My Cart Link","Mano Krepšelio Sąsaja"
"New Address","Naujas adresas"
"No Payment Methods","Nėra mokėjimo būdų"
"Order #","Užsakymo nr."
"Order Review","Užsakymo peržiūra"
"Order Success","Užsakymas pavyko"
"Password","Slaptažodis"
"Payment Information","Mokėjimo informacija"
"Payment Method","Mokėjimo būdas"
"Payment method is not defined","Mokėjimo būdas nepasirinktas"
"Place Order","Užsakyti"
"Please log in below:","Prašome prisijungti žemiau:"
"Please select region, state or province","Prašome pasirinkti regioną, apskritį ar rajoną"
"Please select shipping address for applicable items","Prašome pasirinkti pristatymo adresą prekėms"
"Please select shipping methods for all addresses","Prašome pasirinkti pristatymo būdą visiems adresams"
"Price","Kaina"
"Proceed to Checkout","Pradėti pirkimą"
"Product","Produktas"
"Product Name","Prekės pavadinimas"
"Products","Prekės"
"Qty","Kiekis"
"Qty:","Kiekis:"
"Quantity","Kiekis"
"Quote Lifetime (days)","Citatos galiojimas (dienos)"
"Recently added item(s)","Neseniai pridėtos prekės"
"Register","Registruotis"
"Register and save time!","Registruokitės ir taupykite laiką!"
"Register to Create an Account","Registruokitės norėdami sukurti paskyrą"
"Register with us for future convenience:","Registruokitės:"
"Remove Item","Ištrinti"
"Remove This Item","Pašalinti šią prekę"
"Remove item","Ištrinti"
"Review Order","Žiūrėti užsakymą"
"Review Order - %s","Užsakymo Apžvalga - %s"
"SKU","Prekės kodas"
"Save in address book","Įrašyti adresų knygelėje"
"Select Address","Pasirinkti adresą"
"Select Addresses","Pasirinkti adresus"
"Select Shipping Method","Pasirinkite pristatymo būdą"
"Select State/Province...","Pasirinkti Apskritį/Rajoną..."
"Select a billing address from your address book or enter a new address.","Pasirinkite mokėjimo adresą iš adresų knygelės arba įveskite <a href=""#"" onclick=""billing.newAddress(true); return false;"">naują adresą</a>."
"Select a shipping address from your address book or enter a new address.","Pasirinkite pristatymo adresą iš adresų knygelės arba įveskite <a href=""#"" onclick=""shipping.newAddress(true); return false;"">naują adresą</a>."
"Ship to Multiple Addresses","Pristatyti keliais adresais"
"Ship to different address","Pristatyti skirtingais adresais"
"Ship to this address","Pristatyti šiuo adresu"
"Shipping Address","Pristatymo Adresas"
"Shipping Information","Pristatymo informacija"
"Shipping Method","Pristatymo būdas"
"Shipping Methods","Pristatymo būdai"
"Shipping To","Pristatymas"
"Shipping method has not been selected yet","Pristatymo būdas dar nebuvo pasirinktas"
"Shopping Cart","Prekių krepšelis"
"Shopping Cart is Empty","Krepšelis tuščias"
"Sorry, no quotes are available for this order at this time.","Atsiprašome, šiuo metu nenustatyta kaina Jūsų užsakymui."
"State/Province","Rajonas/apskritis"
"Status","Būsena"
"Store View","Parduotuvės aplinka"
"Street Address","Adresas"
"Submitting order information...","Pateikiama užsakymo informacija..."
"Subtotal","Tarpinė suma"
"Telephone","Telefonas"
"Terms and Conditions","Taisyklės ir Sąlygos"
"Text","Tekstas"
"Thank you for your purchase!","Dėkojame už jūsų užsakymą!"
"Total","Iš viso"
"Total for this address","Viso šiam adresui"
"Unit Price","Vieneto kaina"
"Update","Atnaujinti"
"Update Cart","Atnaujinti krepšelį"
"Update Qty &amp; Addresses","Atnaujinti Vnt. &amp; Adresus"
"Update Shopping Cart","Atnaujinti krepšelį"
"Update Total","Atnaujinti viso"
"Use Billing Address","Naudoti Mokėtojo adresą"
"VAT Number","PVM mokėtojo kodas"
"View Shopping Cart","Peržiūrėti pirkinių krepšelį"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Mes vykdome jūsų užsakymą, netrukus gausite užsakymo informaciją į el. paštą. Kai tik užsakymas bus išsiųstas, gausite el.laišką su nuoroda, kur galėsite sekti eigą."
"What's this?","Kas tai?"
"You have no items in your shopping cart.","Jūs neturite prekių savo krepšelyje."
