"-- Please Select --","-- Pasirinkite --"
"Admin","Administratorius"
"Advanced","Išplėstas"
"Allowed IPs (comma separated)","Leidžiamas IP (skiriame kableliu)"
"Are you sure?","Ar esate įsitikinę?"
"Back","Grįžti"
"Base Link URL","Pagrindinis nuorodų URL"
"Base Media URL","Pagrindinis Media URL"
"Base Skin URL","Pagrindinis Šablono URL"
"Base URL","Pagrindinis URL"
"Block with name ""%s"" already exists","Blokas pavadintas ""%s"" jau yra"
"Can't retrieve request object","Negalima atkurti objekto"
"Can't retrieve entity config: %s","Neįmanoma atkurti vientiso konfigūravimo: %s"
"Cancel","Atšaukti"
"Code","Kodas"
"Controller file was loaded but class does not exist","Kontrolieriaus rinkmena buvo įkelta, bet klasės nėra"
"Cookie Domain","Slapuko Domenas"
"Cookie Lifetime","Slapuko Galiojimas"
"Cookie Path","Slapuko Kelias"
"Country","Šalis"
"Create Store","Kurti parduotuvę"
"Create Store View","Kurti parduotuvės rodinį"
"Create Website","Kurti svetainę"
"Custom Design","Specialus Dizainas"
"Dashboard","Darbastalis"
"Date From","Data Nuo"
"Date To","Data Iki"
"Debug","Derinti"
"Default","Numatytasis"
"Default Pages","Pagrindiniai Puslapiai"
"Default Store","Numatytoji parduotuvė"
"Default Store View","Pagrindinė Išvaizda"
"Default Title","Numatytasis pavadinimas"
"Delete","Ištrinti"
"Delete Store","Ištrinti parduotuvę"
"Delete Store View","Pašalinkite Parduotuvės Vaizdą"
"Delete Website","Šalinti svetainę"
"Design","Dizainas"
"Design Change","Dizaino Pakeitimas"
"Developer","Programuotojams"
"Developer Client Restrictions","Programuotojo Apribojimai"
"Edit Design Change","Keisti Dizainą"
"Edit Store","Redaguoti praduotuvę"
"Edit Store View","Redaguoti parduotuvės rodinį"
"Edit Website","Redaguoti svetainę"
"Empty identifier field name","Tuščias identifikuojamojo lauko pavadinimas"
"Empty main table name","Tuščias pagrindinės lentelės pavadinimas"
"Enabled","Įjungta"
"Enabled for Admin","Įjungti tik Adminui"
"Enabled for Frontend","Įjungti Klientams"
"Error in file: ""%s"" - %s","Klaida rinkmenoje: ""%s"" - %s"
"Forgot Password Email Sender","Užmiršo Slaptažodį el.pašto Siuntėjas"
"Forgot Password Email Template","Užmiršo Slaptažodį el.pašto Šablonas"
"General","Bendras"
"Global","Globalus"
"Host","Serveris"
"Invalid base url type","Klaidingas bazinis url tipas"
"Invalid block type: %s","Klaidingas bloko tipas: %s"
"Invalid block: %s","Klaidingas blokas: %s"
"Invalid layout update handle","Neteisinga Maketo atnaujinimo loginė tvarka"
"Invalid messages storage ""%s"" for layout messages initialization","Neteisinga žinučių saugojimo tvarka ""%s"" žinutės įkėlimui"
"Layout","Išdėstymas"
"Locale","Lokalė"
"Name","Vardas"
"New Design Change","Naujas Dizaino Pakeitimas"
"New Store","Nauja parduotuvė"
"New Store View","Naujas parduotuvės rodinys"
"New Website","Nauja svetainė"
"No","Ne"
"Package","Pakuotė"
"Please enter a number 0 or greater in this field.","Įrašykite skaičių 0 ar didesnį šiame laukelyje."
"Please enter a number greater than 0 in this field.","Šiam laukeliui įrašykite skaičių didesnį nei 0."
"Please enter a valid $ amount. For example $100.00.","Prašome įrašykite galiojančią $ sumą. Pvz 100.00 Lt."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prašome įrašyti galiojantį url. Pvz http://www.manoDomenas.lt  ar www.manoDomenas.lt"
"Please enter a valid credit card number.","Prašome įrašyti galiojantį kreditinės kortelės numerį."
"Please enter a valid credit card verification number.","Įrašykite galiojantį kredito kortelės patvirtinimo numerį."
"Please enter a valid date.","Prašome įrašyti galiojančią datą."
"Please enter a valid number in this field.","Prašome įrašyti galiojantį numerį šiam laukeliui."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prašome įrašyti galiojanti telefono numerį. Pvz (123) 456-7890 ar 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Prašome įrašyti galiojantį socialinio draudimo numerį. Pvz 123-45-6789."
"Please enter a valid zip code.","Prašome įvesti galiojantį pašto kodą."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Įveskite galiojanti Pašto Indeksą. Pvz.: 90602 ar 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Prašome įrašykite numerį ar pradžios datą switch/solo kortelės tipui."
"Please make sure your passwords match.","Įsitikinkite ar jūsų slaptažodžiai sutampa."
"Please select State/Province.","Prašome pasirinkti Apskritį/Rajoną."
"Please select an option.","Prašome pažymėti pasirinkimą."
"Please select one of the above options.","Prašome pasirinkti vieną iš auksčiau esančių pasirinkimų."
"Please select one of the options.","Prašome pasirinkti vieną iš pasirinkimų."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Prašom rašyti tiktai raides (a-z), skaičius (0-9) ar pabraukimus (_) šiame lauke, pirmas simbolis turi būti raidė."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prašome rašyti šį datos formatą: dd/mm/yyyy. Pvz 17/03/2006 bus kovo 17-ta , 2006."
"Please wait, loading...","Prašome palaukti, kraunama..."
"Root Category","Šakninė Kategorija"
"Save","Išsaugoti"
"Save Store","Išsaugoti parduotuvę"
"Save Store View","Išaugoti Parduotuvės Vaizdą"
"Save Website","Išsaugoti svetainę"
"Search Engines Optimization","Paieškos sistemų Optimizavimas"
"Secure","Saugus"
"Select Date","Pažymėti datą"
"Sender Email","Siuntėjo el.paštas"
"Sender Name","Siuntėjo vardas"
"Services","Paslaugos"
"Skin (Images / CSS)","Apvalkas (Images / CSS)"
"Sort Order","Rūšiavimo tvarka"
"Status","Būsena"
"Store","Parduotuvė"
"Store Email Addresses","Elektroninio pašto Adresai"
"Store Information","Parduotuvės informacija"
"Store Name","Parduotuvės pavadinimas"
"Store View","Parduotuvės aplinka"
"Store View Information","Parduotuvės vaizdo Info"
"Store View Name","Parduotuvės Vaizdo Pavadinimas"
"Store with the same code","Parduotuvė su tuo pačiu kodu"
"System","Sistema"
"Template Path Hints","Šablono Kelio Užuominos"
"Templates","Šablonai"
"Themes","Temos"
"This category only","Tik Kategorija"
"This is a required field.","Tai yra privalomas laukas."
"Timezone","Laiko Zona"
"Transactional Emails","Sandorių el.paštas"
"Translations","Vertimai"
"Unable to proceed. Please, try again","Neįmanoma atlikti. Prašome pabandyti vėliau"
"Unsecure","Nesaugus"
"None","Nė vienas"
"Use Secure URLs in Admin","Naudoti Saugų URLs Admine"
"Use Secure URLs in Frontend","Naudoti Saugų URLs Parduotuvėje"
"Use Web Server Rewrites","Naudoti Web perrašymą"
"VAT Number","PVM mokėtojo kodas"
"Web","Webas"
"Website","Tinklapis"
"Website Information","Svetainės informacija"
"Website Name","Svetainės pavadinimas"
"Website with the same code","Svetainė su tuo pačiu kodu"
"Wrong number of arguments for %s","Neteisingas skaičiaus argumentas %s"
"Yes","Taip"
"Frontend","Priekis"
