"* Required Fields","* Privalomi laukai"
"--Please Select--","--Prašome pasirinkti--"
"<label>Make Check payable to:</label> %s","<label>Mokėjimo Čekis kam:</label> %s"
"Bank Transfer Payment","Banko pavedimu"
"Card Verification Number","Kortelės patvirtinimo numeris"
"Cash On Delivery Payment","Grynais pinigais pristatymo metu"
"Credit Card Number","Kortelės numeris"
"Credit Card Number: xxxx-%s","<strong>Kreditinės kortelės numeris:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Kreditinės kortelės tipas"
"Credit Card Type: %s","<strong>Kreditinės kortelės tipas:</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Kreditinės kortelės tipai"
"Currency","Valiuta"
"Day","Diena"
"Enabled","Įjungta"
"Expiration Date","Galiojimo data"
"Expiration Date: %s/%s","Galiojimo pabaigos data: %s/%s"
"Issue Number","Leidimo numeris"
"Make Check payable to: %s","Čekio gavėjas: %s"
"Merchant ID","Pardavėjo ID"
"Month","Mėnuo"
"N/A","N/D"
"Name on Card","Kortelės pavadinimas"
"Name on the Card: %s","<strong>Vardas ant kortelės:</strong> <span class=""nowrap"">%s</span>"
"Password","Slaptažodis"
"Payment Method","Mokėjimo būdas"
"Payment Methods","Mokėjimo būdas"
"Payment Methods Section","Mokėjimo būdų skyrius"
"Purchase Order Number","Užsakymo numeris"
"Purchase Order Number: %s","<strong>Užsakymo numeris:</strong> <span class=""nowrap"">%s</span>"
"Saved CC","Išsaugotas CC"
"Send Check to","Siųsti Čekį kam"
"Send Check to:","Siųsti Čekį kam:"
"Shipping Amount","Pristatymo suma"
"Sort Order","Rūšiavimo tvarka"
"Start Date","Pradžios data"
"Tax Amount","Mokesčių suma"
"Title","Pavadinimas"
"What is this?","Kas tai?"
"Year","Metai"
"Zero Subtotal Checkout","Nulinė tarpinė suma"
