"* Select shipping method","* Versandart auswählen"
"2Day","2 Tage"
"2nd Day Air","2. Tag Luftpost"
"2nd Day Air AM","2. Tag Luftpost Vormittags"
"3 Day Select","3 Tage Select"
"<br />Warning: <strong>%s</strong><br />","<br />Warnung: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">ACHTUNG!</strong> Diese Option deaktivert die Händler gesteuerte Versandkostenberechnung - Google API wird alle Angaben zu Versandkosten ignorieren."
"A virtual item to reflect the discount total","Ein virtueller Artikel, um den Rabatt abzubilden"
"A virtual item to reflect the tax total","Ein virtueller Artikel, um die Gesamtsteuer abzubilden"
"Add Shipping Method","Neue Versandmethode"
"Allowed Methods","Zulässige Methoden"
"Amount: %s","Menge: %s"
"Auto-generated from GoogleCheckout Charge","Automatisch erzeugter GoogleCheckout-Betrag"
"Buyer Account Age: %s days","Alter des Käufer-Kundenkontos: %s Tag(e)"
"CC Partial: xxxx-%s","CC-Teil: xxxx-%s"
"Carrier Calculated Methods","Versandunternehmen kalkulierte Methoden"
"Cart Discount","Warenkorb Rabatt"
"Checkout Image Style","Bezahlbild Style"
"Commercial","Gewerblich"
"Continue Shopping URL","URL für Einkauf fortsetzen"
"Credit memo has been created automatically","Rechnungskorrektur wurde automatisch erstellt"
"Debug","Debuggen"
"Default Package Height (in)","Standard Verpackungshöhe (in)"
"Default Package Length (in)","Standard Verpackungslänge (in)"
"Default Package Width (in)","Standard Verpackungsbreite (in)"
"Default Price for Methods","Standardpreis für Methoden"
"Default price:","Standardpreis:"
"Delivery Address Category","Versandanschrift Kategorie"
"Delivery Schedule","Lieferplanung"
"Description-based delivery","Auslieferung einer Beschreibung"
"Disable Default Tax Tables","Standard Steuertabelle deaktivieren"
"Discount Tax","Rabattsteuern"
"Eligible for Protection: %s","Berechtigt für Käuferschutz: %s"
"Email delivery","Auslieferung per E-Mail"
"Enable","Aktivieren"
"Enable Carrier Calculated","Kalkulation durch Versandunternehmen aktivieren"
"Enable Digital Delivery","Digitale Zustellung aktivieren"
"Enable Flat Rate","Festpreis aktivieren"
"Enable Merchant Calculated","Kalkulation durch Shopbetreiber aktivieren"
"Enable this if your checkout request is too big and being cut off.","Aktivieren Sie diese Option, wenn Ihre Anfrage zu lang ist und abgeschnitten wird."
"Expiration: %s","Verfallsdatum: %s"
"Express Saver","Expresslieferung"
"Financial: %s -> %s","Finanzen: %s -> %s"
"First Overnight","Übernacht-Zustellung"
"Free Shipping","Versandkostenfrei"
"Fulfillment: %s -> %s","Erfüllung: %s -> %s"
"Google Authorization:","Google Autorisation:"
"Google Buyer ID: %s","Google Käufer-ID: %s"
"Google Charge:","Google Kosten:"
"Google Chargeback:","Google Ausgleichszahlung:"
"Google Checkout Shipping - Carrier Calculated","GoogleCheckout Versand - Vom Versandunternehmen berechnet"
"Google Checkout Shipping - Digital Delivery","GoogleCheckout Versand - Digitale Zustellung"
"Google Checkout Shipping - Flat Rate","GoogleCheckout Versand - Festpreis"
"Google Checkout Shipping - Merchant Calculated","GoogleCheckout Versand - Vom Verkäufer berechnet"
"Google Order Number: %s","Google Bestellnummer: %s"
"Google Order Status Change:","Google Bestellstatusveränderung:"
"Google Refund:","Google Erstattung:"
"Google Risk Information:","Google Risiko Information:"
"GoogleCheckout is not configured","GoogleCheckout ist nicht konfiguriert"
"Ground","Erdgeschoss"
"Hide Cart Contents","Inhalt des Warenkorbs ausblenden"
