"-- Please Select --","-- Bitte wählen --"
"Actions","Aktionen"
"Add Layout Update","Layout Update hinzufügen"
"Add New Widget Instance","Neue Widget-Instanz"
"All","Alle"
"All Pages","Alle Seiten"
"All Product Types","Alle Produkttypen"
"An error occurred during saving a widget: %s","Fehler beim Speichern eines Widgets: %s"
"Anchor Categories","Anker-Kategorien"
"Apply","Anwenden"
"Assign to Store Views","Zuweisen zu Store Views"
"Big Image","Großes Bild"
"Block Reference","Block-Referenz"
"Categories","Kategorien"
"Choose...","Bitte wählen..."
"Close","Schließen"
"Continue","Fortsetzen"
"Default Template","Standardvorlage"
"Delete","Löschen"
"Design Package/Theme","Design-Paket/Thema"
"Export to:","Exportieren nach:"
"Frontend Properties","Frontendeigenschaften"
"Generic Pages","Allgemeine Seiten"
"Images","Bilder"
"Insert Widget","Widget einfügen"
"Insert Widget...","Widget einfügen …"
"Layout Updates","Layout Aktualisierungen"
"Manage Widget Instances","Widget-Instanzen verwalten"
"New Instance","Neue Widget-Instanz"
"New Widget Instance","Neue Widget-Instanz"
"Next page","Nächste Seite"
"Non-Anchor Categories","Nicht-Anker-Kategorien"
"Not Selected","Nicht ausgewählt"
"Open Chooser","Öffne Auswahlmöglichkeit"
"Page","Seite"
"Please Select Block Reference First","Bitte zuerst Block-Referenz wählen"
"Previous page","Vorherige Seite"
"Products","Artikel"
"Remove Layout Update","Layout Update entfernen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Select All","Alles auswählen"
"Select Visible","Sichtbare auswählen"
"Settings","Einstellungen"
"Sort Order","Sortierreihenfolge"
"Sort Order of widget instances in the same block reference","Reihenfolge der Widget-Instanzen innerhalb der gleichen Block Referenz."
"Specific %s","Bestimmte %s"
"Specified Page","Ausgewählte Seiten"
"Template","Vorlage"
"The information in this tab has been changed.","Die Informationen in diesem Tab wurden geändert."
"The widget instance has been deleted.","Die Widget-Instanz wurde gelöscht."
"The widget instance has been saved.","Die Widget-Instanz wurde gespeichert."
"This tab contains invalid data. Please solve the problem before saving.","Dieses Tab enthält ungültige Daten. Bitte beheben Sie dieses Problem bevor Sie speichern."
"Thumbnail","Vorschaubild"
"Total %d records found","Insgesamt %d Einträge gefunden"
"Type","Typ"
"Unselect All","Alle abwählen"
"Unselect Visible","Sichtbare abwählen"
"View","Anzeigen"
"Widget ID","Widget-ID"
"Widget Insertion","Widget einfügen"
"Widget Instance","Widget-Instanz"
"Widget Instance Title","Widget-Instanz Titel"
"Widget Options","Widget Optionen"
"Widget Type","Widget-Typ"
"Widget Type is not specified","Widget Typ ist nicht angegeben"
"Widget instance is not full complete to create.","Widget-Instanz ist nicht komplett, um angelegt zu werden."
"Widgets","Widget-Instanzen"
"Wrong widget instance specified.","Falsche Widget-Instanz angegeben."
"items selected","Einträge ausgewählt"
"of %s pages","von %s Seiten"
"per page","pro Seite"
