"-OR-","-ODER-"
"120 x 240","120 × 240"
"120 x 600","120 × 600"
"120 x 90","120 × 90"
"190 x 100","190 × 100"
"2-pixel perimeter around the header space.","2-Pixel Umfang um den Header."
"234 x 400","234 × 400"
"234 x 60","234 × 60"
"250 x 250","250 × 250"
"300 x 50","300 × 50"
"3D Secure Card Validation","3D Secure Kartenüberprüfung"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure Validierung ist erforderlich für Maestro Karten. Unterstützung für American Express Karten setzt eine ergänzende Vereinbarung voraus. Erfahren Sie mehr unter <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"468 x 60","468 × 60"
"728 x 90","728 × 90"
"800 x 66","800 × 66"
"A case that has been resolved and close requires a reimbursement.","Ein Vorfall, der bereits gelöst und geschlossen ist, erfordert eine Erstattung."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Eine Stornierung ist bei dieser Transaktion aufgrund des Verdachts einer unerlaubten Täuschung aufgetreten."
"A reversal has occurred on this transaction because you have given the customer a refund.","Eine Stornierung hat bei dieser Transaktion stattgefunden, da Sie dem Kunden eine Rückerstattung gewährt haben."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Eine Stornierung hat bei dieser Transaktion durch eine Rückbuchung des Kunden stattgefunden."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Eine Stornierung hat bei dieser Transaktio aufgrund einer Beschwerde des Kunden über die Transaktion stattgefunden."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Eine Stornierung hat bei dieser Transaktion aufgrund des Auslösens einer Geld-zurück-Garantie stattgefunden."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Für den Live-Modus ist ein Wert erforderlich. Sehen Sie dazu bitte in Ihrem CardinalCommerce Vertrag nach."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH-Kaution (Halten für Streitschlichtung oder andere Untersuchungen)"
"ACH Deposit (Reversal)","ACH-Kaution (Storno)"
"ACH Funding for Funds Recovery from Account Balance","ACH-Finanzierung für Fonds-Erholung des Kontenstands"
"ACH Withdrawal","ACH-Widerrufsrecht"
"API Authentication Methods","API-Authentifizierungsmethoden"
"API Certificate","API-Zertifikat"
"API Password","API Passwort"
"API Signature","API-Signatur"
"API Username","API-Benutzername"
"API Uses Proxy","API verwendet Proxy"
"Ability for buyer to purchase without PayPal account.","Möglichkeit für Käufer, ohne PayPal-Account zu kaufen"
"Accept credit card and PayPal payments securely.","Akzeptieren Sie sichere Zahlungen via Kreditkarte und PayPal."
"Accept credit cards, debit cards and PayPal payments securely.","Akzeptieren Sie sichere Zahlungen via Kreditkarte, Lastschriftkarte und PayPal."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Akzeptieren Sie Zahlungen in Ihrem Warenkorb. PayPal wird Ihre Kreditkarten-Zahlungen über das Payflow Gateway verarbeiten."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Akzeptieren Sie Zahlungen mit einem PCI-konformen Zahlungsvorgang, der Ihre Kunden auf Ihrer Seite hält."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Akzeptieren Sie Zahlungen mit einem PCI-konformen Zahlungsvorgang, der Ihre Kunden auf Ihrer Seite hält."
"Accept payments with a completely customizable checkout page.","Akzpetieren Sie Zahlungen mit einem angepasst gestalteten Zahlungsvorgang."
"Accept payments with a completely customizable checkout.","Akzpetieren Sie Zahlungen mit einem angepasst gestalteten Zahlungsvorgang."
"Acceptance Mark","Akzeptanz-Markierung"
"Acceptance Mark Image","Akzeptanz Markierungs-Bild"
"Account-to-Account Payment, initiated by PayPal","Account-zu-Account Zahlung, ausgelöst durch PayPal"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Fügen Sie PayPal als zusätzliche Zahlungsart hinzu und steigern Sie Ihre Umsätze."
"Add PayPal as an additional payment method to your checkout page.","PayPal als zusätzliche Zahlungsmethode zu Ihrer Checkout-Seite hinzufügen."
"Add another payment method to your existing solution or as a stand-alone option.","Fügen Sie eine andere Zahlungsmethode Ihrer bestehenden Lösung oder als Stand-Alone-Option hinzu."
"Additional Options","Zusätzliche Optionen"
"Address","Adresse"
"Address Verification System Response","Adressüberprüfung-Systemantwort"
