"1 star","1 Stern"
"2 stars","2 Sterne"
"3 stars","3 Sterne"
"4 stars","4 Sterne"
"5 stars","5 Sterne"
"Add New Rating","Neue Bewertung hinzufügen"
"Assigned Options","Zugeordnete Optionen"
"Be the first to review this product","Seien Sie der Erste, der dieses Produkt bewertet"
"Default Value","Standardwert"
"Delete Rating","Bewertung löschen"
"Edit Rating","Bewertung bearbeiten"
"ID","Id"
"If you do not specify a rating title for a store, the default value will be used.","Wenn Sie keinen Bewertungstitel für einen Store angeben, wird der Standardwert genutzt."
"New Rating","Neue Bewertung"
"Option Label","Optionsbezeichnung"
"Option Title","Titel Option"
"Option Title:","Optionstitel:"
"Please select one of each ratings above","Bitte wählen Sie eine der folgenden Bewertungen"
"Rating Information","Bewertungsinformationen"
"Rating Name","Bewertungsname"
"Rating Options","Bewertungsoptionen"
"Rating Title","Bewertungstitel"
"Rating Visibility","Bewertungssichtbarkeit"
"Rating isn't Available","Bewertung ist nicht verfügbar"
"Rating with the same title","Bewertung mit dem gleichen Titel"
"Save Rating","Bewertung speichern"
"Sort Order","Sortierreihenfolge"
"Visible In","Sichtbar in"
