"Actions","Aktionen"
"An error occurred while marking notification as read.","Fehler beim Markieren des Hinweises als gelesen."
"An error occurred while marking the messages as read.","Fehler beim Markieren der Nachrichten als gelesen."
"An error occurred while removing messages.","Fehler beim Entfernen der Nachrichten."
"An error occurred while removing the message.","Fehler beim Entfernen der Nachricht."
"Are you sure?","Sind Sie sicher?"
"Date Added","Hinzugefügt am"
"Last Update","Letzte Aktualisierung"
"Mark as Read","Als gelesen markieren"
"Mark as read","Als 'gelesen' markieren"
"Message","Nachricht"
"Messages Inbox","Posteingang"
"Notifications","Benachrichtigungen"
"Please select messages.","Bitte Nachrichten wählen."
"Read Details","Details anzeigen"
"Remove","Entfernen"
"Severity","Schweregrad"
"Show List","Liste anzeigen"
"Show Toolbar","Symbolleiste anzeigen"
"The message has been marked as read.","Die Nachricht wurde als gelesen markiert."
"The message has been removed.","Die Nachricht wurde entfernt."
"Total of %d record(s) have been marked as read.","Insgesamt wurden %d Einträge als gelesen markiert."
"Total of %d record(s) have been removed.","Insgesamt wurden %d Einträge gelöscht."
"Unable to proceed. Please, try again.","Nicht möglich fortzusetzen. Bitte noch einmal versuchen."
"Update Frequency","Update Frequenz"
"Use HTTPS to Get Feed","Bitte verwende HTTPS und den Feed anzuzeigen"
"Wrong message type","Falscher Nachrichtentyp"
"critical","Kritisch"
"major","sehr wichtige"
"minor","wichtige"
"notice","unwichtige"
