"10 minutes","10 Minuten"
"15 minutes","15 Minuten"
"20 minutes","20 Minuten"
"30 minutes","30 Minuten"
"5 minutes","5 Minuten"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Geplante Ausführung) - Alle Angaben in Minuten"
"Daily","Täglich"
"Failure History Lifetime","Gültigkeitsdauer für Fehlerhistorie"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Für das Erzeugen korrekter URLs während der zeitgesteuerten Ausführung stellen Sie bitte sicher, dass Web > Sichere und Unsichere Base URLs einen expliziten Wert enthalten."
"Generate Schedules Every","Generiere Zeitpläne jeden"
"History Cleanup Every","Historie bereinigen jede"
"Hourly","Stündlich"
"Invalid callback: %s::%s does not exist","Ungültiges Callback: %s::%s existiert nicht"
"Invalid model/method definition, expecting ""model/class::method"".","Ungültige Modell-/Methoden-Definition, erwarte ""model/class::method""."
"Minute Intervals","Minutenintervalle"
"Missed if Not Run Within","Verpasst, wenn nicht innerhalb"
"Monthly","Monatlich"
"No callbacks found","Keine Callbacks gefunden"
"Schedule Ahead for","Planen Sie voraus für"
"Success History Lifetime","Gültigkeitsdauer für Erfolgshistorie"
"Too late for the schedule.","Zu spät zum Vormerken."
"Unable to delete the cron task.","Die Cron-Aufgabe konnte nicht gelöscht werden."
"Unable to save the cron expression.","Cron-Werte konnten nicht gespeichert werden."
"Weekly","Wöchentlich"
