"%1$s incl tax.","%1$s inkl. Steuern."
"* Required Fields","* Pflichtfelder"
"-- Select --","--Auswählen--"
"Add New Option","Neue Option hinzufügen"
"Add Selection","Auswahl hinzufügen"
"As Low as","Nur"
"As low as","Ab"
"Bundle Items","Bündel-Artikel"
"Bundle Product","Bündelartikel"
"Buy %1$s","Kaufe %1$s"
"Buy %1$s for","Kaufen Sie %1$s zum Preis von "
"Buy %1$s for %2$s","Kaufen Sie %1$s zum Preis von %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufen Sie %1$s zum Preis von je %2$s (%3$s inkl. Steuern)"
"Buy %1$s for %2$s each","Kaufen Sie %1$s zum Preis von je %2$s"
"Buy %1$s with %2$s discount each","Kaufe %1$s mit je %2$s Rabatt"
"Catalog Product View (Bundle)","Katalogartikelansicht (Bündel)"
"Checkbox","Auswahlfeld (Checkbox)"
"Choose a selection...","Treffen Sie eine Auswahl..."
"Click for price","Klicken für Preis"
"Close","Schließen"
"Default","Voreinstellung"
"Default Qty","Standardmenge"
"Default Title","Standardtitel"
"Drop-down","Dropdown-Liste"
"Dynamic","Dynamisch"
"Excl. Tax","Exkl. Steuern"
"Excl. Tax:","zzgl. Steuern:"
"Fixed","Festkosten"
"From","Von"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Incl. Tax","Inkl. MwSt."
"Incl. Tax:","Inkl. Steuern:"
"Input Type","Eingabetyp"
"Is Required","Ist erforderlich"
"Message:","Nachricht:"
"Multiple Select","Mehrfach Auswahl"
"N/A","Keine Angabe"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"None","Keine"
"Percent","Prozent"
"Percent Discount","Prozent Rabatt"
"Please Select Products to Add","Bitte wählen Sie Produkte zum Hinzufügen"
"Please enter a number greater 0 in this field.","In diesem Feld bitte eine Zahl größer 0 eingeben."
"Please enter search conditions to view products.","Bitte bestimmen Sie Suchkriterien, um Artikel anzeigen zu lassen."
"Please select options for product.","Bitte wählen Sie Optionen für den Artikel aus."
"Please specify product option(s).","Bitte Produktoption(en) angeben."
"Position","Reihenfolge"
"Price Range","Preisbereich"
"Price Type","Preistyp"
"Price as configured","Preis wie konfiguriert"
"Qty:","Menge:"
"Radio Buttons","Optionsfelder (Radio Buttons)"
"Required options are not selected.","Pflichtangaben nicht gewählt."
"SKU","Artikelnummer"
"Selected required options are not available.","Ausgewählte Pflichtangaben nicht verfügbar."
"Separately","Separat"
"Ship Bundle Items","Paket-Artikel versenden"
"Shipment","Versand"
"Store View Title","Titel des Store View"
"There is no defined renderer for ""%s"" option type.","Kein passender Renderer für die Optionsart ""%s""."
"This product is also part of bundle(s)","Dieser Artikel ist auch Teil von Bündelartikeln"
"To","Bis"
"To:","Bis:"
"Together","Zusammen"
"Total incl. Tax: %1$s","Gesamt inkl. Steuern: %1$s"
"Use Default Value","Standardwert verwenden"
"User Defined Qty","Benutzerdefinierte Menge"
"and","und"
"each","je"
"save","Speichern"
