"%s already exist.","%s existiert bereits"
"%s already exists.","%s existiert bereits"
"-- Please Select --","-- Bitte wählen --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Achtung!</strong> Sollten sie ein CDN verwenden, kann es passieren, dass JavaScript nicht korrekt arbeitet, wenn das CDN nicht innerhalb Ihrer Subdomain liegt."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Achtung!</strong> Wenn Sie den StoreCode in URLs verwenden, kann es passieren, dass das System nicht ordnungsgemäß arbeitet, wenn URLs ohne StoreCode im Dritthersteller-Anwendungen (PayPal o.ä.) verwendet werden."
"A category object is required for determining the product request path.","Kategorieobjekt wird zur Bestimmung des Artikelpfades benötigt"
"Add Block Names to Hints","Blocknamen zu Hinweisen hinzufügen"
"Add Secret Key to URLs","Geheimen Schlüssel zu URLs hinzufügen"
"Add Store Code to Urls","Füge Store-Code zu Urls hinzu"
"Admin","Administrator"
"Admin Base URL","Admin Basis-URL"
"Admin User Emails","Admin User E-Mails"
"Advanced","Erweitert"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Nachdem Sie einen neuen Speicherort für die Medienspeicherung festgelegt haben, klicken Sie bitte auf den ""Synchronisieren""-Button, um alle Medien zum neuen Speicherort zu kopieren. Ihre Medien sind solange am neuen Speicherort verfügbar, bis der Synchronisationsvorgang abgeschlossen ist."
"Allow Countries","Erlaubte Länder"
"Allow Magento Backend to run in frame","Dem OpenMage-Backend Allow OpenMage Backend erlauben, in einem Frame zu laufen"
"Allow Magento Frontend to run in frame","Dem OpenMage-Frontend erlauben, in einem Frame zu laufen"
"Allow Symlinks","Symlinks erlauben"
"Allowed IPs (comma separated)","Zulässigen IPs (durch Komma getrennt)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Erlaubte Formate: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nicht alle Browser unterstützen alle diese Formate!"
"Allows customers to stay logged in when switching between different stores.","Kunden erlauben eingeloggt zu bleiben wenn Sie zwischen den Stores wechseln."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativer Text für den 'Nächste Seite' Link in der Aufzählungsleiste. Wenn leer, wird eine Pfeil-Grafik verwendet."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativer Text für den 'Letzte Seite' Link in der Aufzählungsleiste. Wenn leer, wird eine Pfeil-Grafik verwendet."
"An error occurred while saving. Please review the error log.","Beim Speichern ist ein Fehler aufgetreten, bitte schauen Sie für weitere Informationen in die Log-Aufzeichnung."
"Anchor Text for Next","Anchor-Text für Nachfolgende"
"Anchor Text for Previous","Anchor-Text für Vorherige"
"Anchor symbol (#) is not supported in request path","Das Ankerlink-Zeichen (#) wird in URLs nicht unterstützt"
"Anchor symbol (#) is not supported in url rewrite suffix","Das Ankerlink-Zeichen (#) wird in URL-Rewrites nicht unterstützt"
"Are you sure?","Sind Sie sicher?"
"Auto-redirect to Base URL","Automatische Umleitung zu Basis-URL"
"Back","Zurück"
"Backup Options","Backup-Optionen"
"Base JavaScript URL","Basis JavaScript URL"
"Base Link URL","Basis-Link-URL"
"Base Media URL","Basis Media URL"
"Base Secure URL","Gesicherte Basis URL"
"Base Skin URL","Basis Skin URL"
"Base URL","Basis-URL"
"Base Unsecure URL","Ungesicherte Basis URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Bevor Sie den StoreView-Code verändern, stellen Sie unbedingt sicher, dass dieser weder in der index.php, noch in der Apache-Konfiguration verwendet wird!"
"Before modifying the website code please make sure that it is not used in index.php.","Bevor Sie den Website-Code verändern, stellen Sie unbedingt sicher, dass dieser weder in der index.php, noch in der Apache-Konfiguration verwendet wird!"
"Block with name ""%s"" already exists","Der Block mit dem Namen ""%s"" existiert bereits"
"Browser Capabilities Detection","Browser-Ressourcenerkennung"
