"%d Review(s)","%d Kundenmeinung(en)"
"%s Review(s)","%s Kundenmeinung(en)"
"(Posted on %s)","(Veröffentlicht am %s)"
"1 star","1 Stern"
"2 star","2 Stern"
"2 stars","2 Sterne"
"3 star","3 Stern"
"3 stars","3 Sterne"
"4 star","4 Stern"
"4 stars","4 Sterne"
"5 star","5 Stern"
"5 stars","5 Sterne"
"Add New Review","Neue Kundenmeinung"
"Add Your Review","Fügen Sie Ihre Bewertung hinzu"
"All Reviews","Alle Rezensionen"
"All Reviews of Customer `%s`","Alle Kundenmeinungen des Kunden '%s'"
"All Reviews of Product `%s`","Alle Kundenmeinungen des Artikels '%s'"
"Allow Guests to Write Reviews","Erlaube Gästen neue Bewertungen zu verfassen"
"Approved","Freigegeben"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Are you sure?","Sind Sie sicher?"
"Average Customer Rating","Durchschnittliche Kundenbewertung"
"Average Customer Rating:","Durchschnittliche Kundenbewertung:"
"Back","Zurück"
"Back to Main Product Info","Zurück zur Produktinfo"
"Back to My Reviews","Zurück zu ""Meine Bewertungen"""
"Back to Product Reviews","Zurück zu Produktbewertungen"
"Be the first to review this product","Seien Sie der Erste, der dieses Produkt bewertet"
"Catalog Product Review View","Katalogartikelansicht von Kundenmeinungen"
"Catalog Product Reviews List","Katalogartikelauflistung von Kundenmeinungen"
"Created On","Erstellt am"
"Customer","Kunde"
"Customer My Account Product Reviews","Kunde - Mein Benutzerkonto - Artikelbewertungen"
"Customer My Account Review Details","Kunde - Mein Benutzerkonto - Bewertungsdetails"
"Customer Reviews","Kundenbewertungen"
"Customers Reviews","Kunden-Bewertungen"
"Delete","Löschen"
"Delete Review","Bewertung löschen"
"Detailed Rating","Detaillierte Bewertung"
"Edit Review '%s'","Kundenmeinung '%s' bearbeiten"
"Guest","Gast"
"How do you rate this product?","Wie bewerten Sie diesen Artikel?"
"ID","Id"
"Let us know your thoughts","Was denken Sie über den Artikel?"
"My Product Reviews","Meine Produktbewertungen"
"My Recent Reviews","Meine aktuellen Bewertungen"
"Name in Store","Name im Store"
"New Review","Neue Rezension"
"Nickname","Benutzername"
"Nickname can't be empty","Benutzername darf nicht leer sein"
"Not Approved","Nicht freigegeben"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Nur registrierte Kunden können Bewertungen abgeben. Bitte <a href=""%s"">melden Sie sich an</a> oder <a href=""%s"">registrieren Sie sich</a>"
"Pending","Ausstehend"
"Pending Reviews","Ausstehende Bewertungen"
"Pending Reviews of Customer `%s`","Ausstehende Kundenmeinungen des Kunden '%s'"
"Please select a product","Bitte einen Artikel auswählen"
"Please select one of each of the ratings above","Bitte wählen Sie eine der obenstehenden Bewertungen"
"Posted By","Veröffentlicht von"
"Price","Preis"
"Product","Produkt"
"Product Name","Artikelname"
"Product Rating","Produktbewertung"
"Product Rating:","Produktbewertung:"
"Product Review (submitted on %s):","Kundenmeinung (erstellt am %s):"
"Product Reviews","Produktrezensionen"
"Product SKU","Artikelnummer"
"Products Reviews","Produkt-Bewertungen"
"Qty","Menge"
"Rating:","Bewertung:"
"Review","Bewertungen"
"Review (submitted on %s):","Kundenmeinung (übermittelt am %s):"
"Review Details","Details überprüfen"
"Review Form Fields Before","Kundenmeinung Formularfelder davor"
"Review by %s","Kundenmeinung von %s"
"Review by <span>%s</span>","Kundenmeinung von <span>%s</span>"
"Review can't be empty","Kundenmeinung darf nicht leer sein"
"Review summary can't be empty","Zusammenfassung der Kundenmeinung darf nicht leer sein"
"Reviews","Rezensionen"
"Reviews and Ratings","Kundenmeinungen und Bewertungen"
"SKU","Artikelnummer"
"Save Review","Sie bewerten den Artikel:"
"Submit Review","Bewertung abschicken"
"Summary Rating","Zusammenfassende Bewertung"
"Summary of Review","Zusammenfassung der Bewertung"
"Summary of Your Review","Zusammenfassung Ihrer Kundenmeinung"
"Title","Titel"
"Type","Typ"
"Unable to post the review.","Kundenmeinung konnte nicht übertragen werden."
"Update Status","Status aktualisieren"
"View All Reviews","Alle Kundenmeinungen anzeigen"
"View Details","Details anzeigen"
"Visible In","Sichtbar in"
"Websites","Webseiten"
"What's your nickname?","Gewünschter Benutzername für die Veröffentlichung?"
"Write Your Own Review","Schreiben Sie eine Bewertung"
"You have submitted no reviews.","Sie haben keine Bewertungen abgegeben."
"You're reviewing:","Sie bewerten:"
"Your Rating:","Ihre Bewertung:"
"Your Review (submitted on %s):","Ihre Kundenmeinung (vom %s):"
"Your review has been accepted for moderation.","Ihre Kundenmeinung wurde zur Prüfung angenommen."
