"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Legg til ny regel"
"Apply","Anvend"
"Apply To","Søk på"
"Apply the rule only if the following conditions are met (leave blank for all products)","Bruk regel kun dersom følgende betingelser er oppfylt (la være blank for alle produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Bruk regel kun på varer som oppfyller følgende betingelser (la være blank for alle varer)"
"Apply the rule to cart items matching the following conditions","Bruk regel på varer som oppfyller følgende betingelser"
"Apply to Shipping Amount","Legg til fraktpris"
"Buy X get Y free (discount amount is Y)","Kjøp X få Y gratis (rabattbeløp er Y)"
"By Fixed value","Med fast beløp"
"By Percentage","Med prosent"
"Cart Attribute","Handlevognattributt"
"Catalog","Katalog"
"Code Prefix","Kodeprefiks"
"Conditions","Betingelser"
"Conditions combination","Kombinasjon av betingelser"
"Coupon","Kupong"
"Coupon Code","Kupongkode"
"Coupon Qty","Kupong Ant"
"Created On","Opprettet"
"Customer Groups","Kundegrupper"
"Date Expire","Utløpsdato"
"Date Start","Startdato"
"Default Label","Standardetikett"
"Description","Beskrivelse"
"Discount Amount","Rabattbeløp"
"Discount Qty Step (Buy X)","Steg ved kvantumsrabatt (kjøp X)"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Endre regel '%s'"
"FOUND","FUNNET"
"Fixed amount discount","Fast rabatt"
"Fixed amount discount for whole cart","Fast rabatt for hele handlekurven"
"For matching items only","Kun for matchede produkter"
"For shipment with matching items","I forsendelse med like varer"
"Free Shipping","Gratis frakt"
"From Date","Fra dato"
"General Information","Generell Informasjon"
"Generate","Generere"
"ID","Id"
"Inactive","Inaktiv"
"NOT LOGGED IN","IKKE PÅLOGGET"
"New Rule","Ny regel"
"No","Nei"
"Number of Uses","Antall anvendelser"
"Payment Method","Betalingsmåte"
"Percent of product price discount","Prosentvis rabatt av produktpris"
"Period","Periode"
"Price in cart","Pris i handlevognen"
"Priority","Prioritet"
"Product attribute combination","Produktattributt-kombinasjon"
"Promotions","Kampanjer"
"Public In RSS Feed","Offentlig i RSS-Feed"
"Quantity in cart","Antall i handlevognen"
"Row total in cart","Rader totalt i handlevognen"
"Rule Information","Regel-informasjon"
"Rule Name","Regelnavn"
"Rule is not defined","Regel er ikke definert"
"Save and Continue Edit","Lagre og fortsett redigering"
"Shipping Country","Leveringsland"
"Shipping Method","Forsendelsesmåte"
"Shipping Postcode","Postnummer for levering"
"Shipping Region","Region for levering"
"Shipping State/Province","Leveringsadresse"
"Shopping Cart Price Rule","Prisregel for handlekurv"
"Shopping Cart Price Rules","Prisregler for handlekurv"
"Special Price","Spesialpris"
"Subtotal","Delsum"
"Subtotal Amount","Delsum"
"This rule no longer exists.","Denne regelen finnes ikke lenger."
"To Date","Til dato"
"To Fixed Value","Til fast verdi"
"To Percentage","Til prosent"
"Total","Totalt"
"Total Amount","Totalsum"
"Total Items Quantity","Totalt antall"
"Total Weight","Totalvekt"
"Update prices using the following information","Oppdater priser basert på følgende informasjon"
"Update product's %s %s: %s","Oppdater produktets %s %s: %s"
"Update the Product","Oppdater dette produktet"
"Use Auto Generation","Bruk autogenerering"
"Uses per Coupon","Bruk per kupong"
"Uses per Customer","Antall bruk per kunde"
"Website","Nettsted"
"Websites","Nettsider"
"Yes","Ja"
"total quantity","totalt antall"
