"(Excl. Tax)","(Eks. mva)"
"(Incl. Tax)","(Inkl. mva)"
"* Required Fields","* Nødvendige felt"
"Add New Address","Legg til ny adresse"
"Add New Condition","Legg til ny tilstand"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Address","Adresse"
"Address %s of %s","Adresse %s av %s"
"After Adding a Product Redirect to Shopping Cart","Etter et produkt er lagt til omdiriger til handlekurv"
"Allow Guest Checkout","Tillat Gjeste-kasse"
"Already registered?","Allerede registrert?"
"An error occurred in the process of payment","En feil oppstod i forbindelse med betalingen"
"Apply","Anvend"
"Apply Coupon","Bruk rabattkode"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på at du ønsker å fjerne denne varen fra handlekurven?"
"Back","Tilbake"
"Back to Billing Information","Tilbake til faktureringsinformasjon"
"Back to Shipping Information","Tilbake til leveringsinformasjon"
"Back to Shopping Cart","Tilbake til handlekurv"
"Based on your selection, you may be interested in the following items:","Basert på dine valg er du kanskje også interessert i følgende produkter:"
"Billing Address","Faktureringsadresse"
"Billing Information","Fakturainformasjon"
"Billing Information - %s","Fakturainformasjon - %s"
"Cancel","Avbryt"
"Cancel Coupon","Avbryt kupong"
"Cannot process the item.","Kan ikke behandle elementet."
"Card Verification Number Visual Reference","Kortverifiseringsnummer"
"Cart Subtotal:","Subtotal:"
"Change","Endre"
"Change Billing Address","Endre faktureringsadresse"
"Checkbox Text","Tekst for avmerkingsboks"
"Checkout","Kasse"
"Checkout Conditions","Vilkår"
"Checkout Options","Kassevalg"
"Checkout Section","Kassen"
"Checkout Terms and Conditions","Utsjekking vilkår og betingelser"
"Checkout as Guest","Gå til kassen som gjest"
"Checkout as a Guest or Register","Gå til kassen som gjest eller registrer deg"
"Checkout with Multiple Addresses","Levering til flere adresser"
"City","By"
"Clear Shopping Cart","Tøm handlekurv"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klikk <a href=""%s"" onclick=""this.target='_blank'"">her for å skrive ut</a> en kopi av din ordrebekreftelse."
"Close","Lukk"
"Company","Bedrift"
"Condition Name","Betingelsesnavn"
"Configurable Product Image","Konfigurerbart produktbilde"
"Confirm Password","Bekreft passord"
"Content","Innhold"
"Content Height","Innhold høyde"
"Content Height (css)","Innhold høyde (css)"
"Continue","Fortsett"
"Continue Shopping","Fortsett å handle"
"Continue to Billing Information","Gå til betalingsinformasjon"
"Continue to Review Your Order","Gå til ordresammendrag"
"Continue to Shipping Information","Gå til leveringsinformasjon"
"Country","Land"
"Coupon code ""%s"" is not valid.","Rabattkode ""%s"" er ikke gyldig."
"Create Billing Address","Opprette faktureringsadresse"
"Create Shipping Address","Opprette leveringsadresse"
"Customer Address is not valid.","Ugyldig kundeadresse."
"Customer Information","Kundeinformasjon"
"Data saving problem","Data lagring problem"
"Default Billing","Standard fakturering"
"Default Shipping","Standard frakt"
"Delete Condition","Slett tilstand"
"Details","Detaljer"
"Disabled","Deaktivert"
"Discount Codes","Rabattkoder"
"Display Cart Summary","Vis handlekurv sammendrag"
"Display Shopping Cart Sidebar","Vis sidebar for handlekurv"
"Display item quantities","Vise vareantall"
"Display number of items in cart","Vis antall varer i handlevognen"
"Easy access to your order history and status","Enkel tilgang til ordrehistorikk og bestillingsstatus"
"Edit","Redigere"
"Edit Address","Rediger adresse"
"Edit Billing Address","Redigere leveringsadresse"
"Edit Condition","Endre betingelse"
"Edit Items","Rediger produkter"
"Edit Shipping Address","Redigere leveringsadresse"
"Edit Terms and Conditions","Redigere vilkår og betingelser"
"Edit Your Cart","Rediger din handlekurv"
"Edit item","Rediger produkt"
"Edit item parameters","Rediger parametere"
"Email Address","E-postadresse"
"Enable Onepage Checkout","Aktiver En-sides varekasse"
"Enable Terms and Conditions","Aktiver Vilkår og betingelser"
"Enabled","Aktivert"
"Enter a New Address","Angi en ny adresse"
"Enter your coupon code if you have one.","Har du en rabattkode kan du skrive den inn her"
"Enter your destination to get a shipping estimate.","Fyll inn bestemmelsessted for å få et fraktestimat."
"Estimate Shipping and Tax","Estimer frakt og avgifter"
"Excl. Tax","ex. moms"
"Fast and easy check out","Rask og enkel betaling"
"Fax","Faks"
"Forgot an Item?","Glemt et produkt?"
"Forgot your password?","Har du glemt passordet?"
"Get a Quote","Estimer kostnad"
"Gift Message","Gavemelding"
"Grand Total:","Totalsum:"
"ID","Id"
"Incl. Tax","Inkl. MVA"
"Invalid email address ""%s""","Ugyldig epost-adresse ""%s"""
"Invalid shipping method.","Ugyldig leveringsmetode."
"Items","Produkter"
"Load customer quote error","Last kunde sitat feil"
"Loading next step...","Laster neste steg..."
"Login","Logg inn"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimalt antall tillatt for levering til flere adresser er %s"
"Move","Flytt"
"Move to Wishlist","Flytt til ønskeliste"
"My Cart","Min handlekurv"
"My Cart (%s item)","Handlekurv (%s vare)"
"My Cart (%s items)","Handlekurv (%s varer)"
"My Cart Link","Min handlekurv lenke"
"New Address","Ny adresse"
"New Condition","Ny betingelse"
"New Terms and Conditions","Nye vilkår og betingelser"
"No Payment Methods","Ingen betalingsmetoder"
"One Page Checkout","Enkelside Checkout"
"Order #","Ordre #"
"Order Review","Ordregjennomgang"
"Order Success","Bestillingen er mottatt"
"Password","Passord"
"Payment Failed Email Reciever","Betaling feilet ifm epost-mottaker"
"Payment Failed Email Sender","Betaling Feilet E-post Sender"
"Payment Failed Emails","Betaling Feilet E-poster"
"Payment Failed Template","Betaling Feilet Mal"
"Payment Information","Betalingsinformasjon"
"Payment Method","Betalingsmåte"
"Payment method is not defined","Betalingsmetode er ikke oppgitt"
"Place Order","Bestill"
"Please agree to all Terms and Conditions before placing the order.","Vennligst godta alle vilkår og betingelser før bestilling."
"Please agree to all Terms and Conditions before placing the orders.","Vennligst bekreft vilkår og betingelsene før du fortsetter."
"Please agree to all the terms and conditions before placing the order.","Vennligst godta alle vilkår og betingelser før bestilling."
"Please choose to register or to checkout as a guest","Registrer deg eller sjekk ut som gjest"
"Please log in below:","Logg inn med ditt brukernavn og passord:"
"Please select region, state or province","Velg fylke"
"Please select shipping address for applicable items","Velg frakt for aktuelle varer"
"Please select shipping methods for all addresses","Velg leveringsmetode for alle adressene"
"Please specify payment method.","Velg betalingsmetode."
"Please specify shipping method.","Velg fraktmetode."
"Price","Pris"
"Proceed to Checkout","Fortsett til kassen"
"Product","Produkt"
"Product Name","Produktnavn"
"Products","Produkter"
"Qty","Antall"
"Qty:","Antall:"
"Quantity","Antall"
"Quote Lifetime (days)","Levetid for sitat (dager)"
"Recently added item(s)","Produkt(er) nylig lagt til"
"Register","Registrer handlekonto"
"Register and save time!","Spar tid ved å registrere en konto."
"Register to Create an Account","Opprett en konto"
"Register with us for future convenience:","Handle enklere og raskere ved å opprette en konto:"
"Remove Item","Fjern produkt"
"Remove This Item","Fjern denne varen"
"Remove item","Fjern produkt"
"Review Order","Gå igjennom ordren"
"Review Order - %s","Se igjennom bestilling - %s"
"SKU","Varenummer"
"Sales","Salg"
"Save Condition","Lagre tilstand"
"Save in address book","Lagre i adresseboken"
"See price before order confirmation.","Se priser før ordrebekreftelse."
"Select Address","Velg adresse"
"Select Addresses","Velg adresser"
"Select Shipping Method","Velg leveringsmåte"
"Select State/Province...","Poststed"
"Select a billing address from your address book or enter a new address.","Velg fakturaadresse fra adresseboken eller skriv inn en ny adresse."
"Select a shipping address from your address book or enter a new address.","Velg en leveringsadresse fra adresseboken eller angi en ny adresse."
"Send Payment Failed Email Copy Method","Send Betaling Feilet E-post Kopi Metode"
"Send Payment Failed Email Copy To","Send Betaling Feilet E-post Kopi Til"
"Send To","Send Til"
"Separate by "","".","Separer med "",""."
"Ship to Multiple Addresses","Send til flere adresser"
"Ship to different address","Levering til annen adresse"
"Ship to this address","Levering til denne adressen"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsinformasjon"
"Shipping Method","Forsendelsesmåte"
"Shipping Methods","Leveringsmåte"
"Shipping To","Frakt til"
"Shipping method has not been selected yet","Leveringsmetode er ikke valgt ennå"
"Shopping Cart","Handlekurv"
"Shopping Cart Sidebar","Sidebar for handlekyrv"
"Shopping Cart is Empty","Handlekurven er tom"
"Show Content as","Vis innhold som"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Beklager, gjesteutsjekk er deaktivert på denne bestillingen."
"Sorry, no quotes are available for this order at this time.","Beklager, ingen tilbud er for tiden tilgjengelig for denne ordren"
"State/Province","Stat/provins"
"Store View","Butikkvisning"
"Street Address","Gateadresse"
"Submitting order information...","Sender bestilling..."
"Subtotal","Delsum"
"Telephone","Telefon"
"Terms and Conditions","Vilkår og betingelser"
"Terms and Conditions Information","Informasjon om vilkår og betingelser"
"Terms and conditions","Vilkår og betingelser"
"Text","Tekst"
"Thank you for your purchase!","Takk for din bestilling!"
"The product does not exist.","Produktet finnes ikke."
"There was an error processing your order. Please contact us or try again later.","Det oppstod en feil under behandling av din ordre. Vennligst kontakt oss eller prøv igjen senere."
"Total","Totalt"
"Total for this address","Totalt for denne adressen"
"Unit Price","Enhetspris"
"Update","Oppdater"
"Update Cart","Oppdater handlekurven"
"Update Qty &amp; Addresses","Oppdater antall og adresser"
"Update Shopping Cart","Oppdater handlekurv"
"Update Total","Oppdater total"
"Use Billing Address","Bruk fakturaadresse"
"VAT Number","Mva-nummer"
"View Shopping Cart","Se handlekurv"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Vi har mottatt din bestilling og du vil snart motta en e-post med detaljer rundt din ordre. Når pakken er sendt vil du motta en ny e-post med en lenke for å følge fremdriften."
"What's this?","Hva er dette?"
"You have no items in your shopping cart.","Du har ingen varer i handlekurven."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du vil motta en ordrebekreftelse på epost med informasjon om din bestilling og en lenke for å følge fremdriften."
"Your Checkout Progress","Fremdrift"
"Your order number is ","Ditt ordrenummer er "
"Zip/Postal Code","Postnummer"
"or","eller"
