"%s and greater","%s og høyere"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d vare(r)</strong> ble funnet på følgende søkeord"
"Advanced Search","Avansert søk"
"All","Alle"
"Catalog Advanced Search","Katalog Avansert søk"
"Catalog Search","Katalog søk"
"Don't see what you're looking for?","Finner du ikke det du leter etter?"
"Go","OK"
"Go to Home Page","Gå til hjemmesiden"
"Grid","Rutenett"
"Home","Hjem"
"List","Liste"
"Maximum Query Length","Maksimal spørringen lengde"
"Maximum Query Words Count","Maks antall ord"
"Minimal Query Length","Minimal spørringen lengde"
"Modify your search","Endre ditt søk"
"No","Nei"
"No items were found using the following search criteria.","Fant ingen artikler basert på angitte søkekriterier."
"Popular Search Terms","Populære søkeord"
"Rebuild Catalog product fulltext search index","Gjenoppbygge katalogen produktet fulltext søkeindeksen"
"Relevance","Relevans"
"Results","Resultater"
"Search","Søk"
"Search Settings","Søkeinnstillinger"
"Search Terms","Søkeord"
"Search Type","Søketype"
"Search entire store here...","Søk i hele butikken her..."
"Search results for '%s'","Søkeresultater for '%s'"
"Search results for: '%s'","Søkeresultater for: '%s'"
"Subscribe to Feed","Abonner på Feed"
"There are no search terms available.","Det er ingen søkeord."
"Yes","Ja"
"Your search returns no results.","Søket ditt ga ingen treff."
"up to %s","opp til %s"
