"# of Use","antall ganger brukt"
"%1$s incl tax.","%1$s inkl mva."
"%s - %s","%s -- %s"
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"* Required Fields","* Nødvendige felt"
"-- Please Select --","-Vennligst velg--"
"A group with the same name already exists.","En gruppe med dette navnet eksisterer allerede."
"A name is required","Navn er påkrevd"
"A product type is not defined for the indexer.","En produkttype er ikke definert for indeksereren."
"ALL GROUPS","ALLE GRUPPER"
"Action","Handling"
"Actual Price","Faktisk pris"
"Add","Legg til"
"Add Attribute","Legge til attributt"
"Add Design Change","Legge til en designendring"
"Add Group","Legg til gruppe"
"Add New","Legg til ny"
"Add New Attribute","Legge til nytt attributt"
"Add New Attribute Set","Legg til ny attributtssett"
"Add New Group","Legge til ny gruppe"
"Add New Images","Legge til nye bilder"
"Add New Option","Legg til nytt alternativ"
"Add New Row","Legg til ny rad"
"Add New Search Term","Legge til nye søkeord"
"Add New Set","Legg til nytt sett"
"Add Product","Legg til produkt"
"Add Product To Websites","Legge til produktet til nettsteder"
"Add Root Category","Legg til rotkategori"
"Add Subcategory","Legg til underkategori"
"Add Tax","Legg til skatt"
"Add Tier","Legg til prisnivå"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Additional Information","Tilleggsinformasjon"
"All","Alle"
"All Product Types","Alle produkttyper"
"All Websites","Alle nettsteder"
"All products","Alle produkter"
"All products - recently added products, New products - products marked as new","Alle produkter - nylig lagt til produkter, Nye produkter - produkter markert som nye"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted!! Are you sure you want to delete this attribute set?"
"Allow All Products per Page","Tillat alle produkter per side"
"Allowed File Extensions","Tillatt filtyper"
"Allowed file extensions to upload","Tillatte filtyper"
"Amount","Antall"
"Anchor Custom Text","Egendefinerte ankertekst"
"Anchor Custom Title","Anker egendefinert tittel"
"Apply To","Søk på"
"Approved","Godkjent"
"Are you sure you want to delete this category?","Er du sikker på at du vil slette denne kategorien?"
"Are you sure you would like to remove all products from your comparison?","Er du sikker på at du ønsker å fjerne alle produktene i sammenligningslisten?"
"Are you sure you would like to remove this item from the compare products?","Er du sikker på at du vil fjerne dette elementet fra produktsammenligningslisten?"
"Are you sure?","Er du sikker?"
"As low as:","Fra"
"Assign","Tilordne"
"Assign product link","Angi produktlink"
"Assign product to category","Angi produkt til kategori"
"Assigned Products","Tilordnede Produkter"
"Associated Products","Tilknyttede produkter"
"Attrib. Set Name","Navn på attributtsett"
"Attribute Information","Attributtinformasjon"
"Attribute Model","Attributtmodell"
"Attribute Name:","Attributtnavn:"
"Attribute Set","Attributtsett"
"Attribute Sets","Attributtsett"
"Attribute with the same code already exists","Attributt med samme kode eksisterer allerede"
"Attributes","Attributter"
"Attrribute names can be specified per store.","Atributtsett kan angis per butikk."
"Autogenerate","Autogenerer"
"Availability:","Tilgjengelighet:"
"Back","Tilbake"
"Backend Model","Administrasjonmodell"
"Backend Table","Administrasjontabell"
"Backend Table Title","Tittel på adm.tabell"
"Backorders","Restordre"
"Based On","Basert på"
"Before Order Confirmation","Før ordrebekreftelse"
"Best Value","Beste tilbud"
"Block after Info Column","Blokk etter info kolonne"
"Bottom/Left","Nederst/venstre"
"Bottom/Right","Nederst/høyre"
"Browse By","Bla gjennom basert på"
"Bundle Items","Pakke-elementer"
"Buy %1$s for %2$s","Kjøp %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kjøp %1$s for %2$s (%3$s inkl mva) hver"
"Buy %1$s for %2$s each","Kjøp %1$s for %2$s hver"
"Cache Lifetime (Seconds)","Buffer levetid (sekunder)"
"Can be used only with catalog input type Dropdown","Kan kun brukes med inndatatype ""Nedtrekksliste"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan kun brukes med inndatatype ""Nedtrekksliste"
"Can't create image.","Kan ikke opprette bilde."
"Cancel","Avbryt"
"Cart Item Attribute","Vareattributt"
"Catalog","Katalog"
"Catalog Category Link","Katalog kategorikobling"
