" for more information or "," for mer informasjon eller "
"# of Items (and above)","# av elementer (og over)"
"# of Items vs. Destination","Antall varer vs. destinasjon"
"Allow Shipping to Multiple Addresses","Tillate levering til flere adresser"
"Calculate Handling Fee","Beregn håndteringsgebyr"
"Carrier:","Transportør:"
"City","By"
"Close Window","Lukk vindu"
"Condition","Betingelse"
"Country","Land"
"Custom Value","Egendefinert verdi"
"Date","Dato"
"Delivered on:","Levert:"
"Delivered to:","Levert til:"
"Description","Beskrivelse"
"Displayed Error Message","Vis Feilmelding"
"Divide to equal weight (one request)","Dele lik vekt (én forespørsel)"
"Enabled","Aktivert"
"Error:","Feil:"
"Export","Eksport"
"Fixed","Fast"
"Flat Rate","Fast pris"
"Free Shipping","Gratis frakt"
"Google Sitemap Section","Google Sidekart seksjon"
"Handling Fee","Ekspedisjonsgebyr"
"Import","Importere"
"Info:","Info"
"Invalid Table Rate code for type %s: %s","Ugyldig tabellsatskode for type %s: %s"
"Invalid Table Rate code type: %s","Ugyldig type tabellsatskode: %s"
"Invalid Table Rates File Format","Ugyldig filformat for tabellrater"
"Local Time","Lokal tid"
"Location","Plassering"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maksimalt antall tillatt for levering til flere adresser"
"Method Name","Metodenavn"
"N/A","I/T"
"None","Ingen"
"Options","Innstillinger"
"Order Subtotal (and above)","Ordredelsum (og over)"
"Origin","Opprinnelse"
"Per Order","Per bestilling"
"Per Package","Per pakke"
"Percent","Prosent"
"Price","Pris"
"Price vs. Destination","Pris vs destinasjon"
"Region/State","Kommune"
"Service Type:","Tjenestetype:"
"Ship to Applicable Countries","Send til bestemte land"
"Ship to Specific Countries","Send til bestemte land"
"Shipment #","Forsendelse #"
"Shipped or billed on:","Sendt eller fakturert:"
"Shipping Methods","Leveringsmåte"
"Shipping Methods Section","Seksjon for forsendelsesmetoder"
"Shipping Settings","Frakt-innstillinger"
"Shipping Settings Section","Innstillinger for frakt"
"Show Method if Not Applicable","Vis metode hvis ikke gjeldende"
"Signed by:","Signert av:"
"Sort Order","Sorteringsrekkefølge"
"Store Pickup","Hent i butikk"
"Street Address","Gateadresse"
"Street Address Line 2","Gateadresse linje 2"
"The shipping module is not available.","Frakt modulen er ikke tilgjengelig."
"There is no tracking available for this shipment.","Det finnes ingen sporing for denne forsendelsen."
"There is no tracking available.","Sporing er ikke tilgjengelig."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Denne leveringsmetoden er ikke tilgjengelig for øyeblikket. Vennligst ta kontakt dersom du ønsker å benytte deg av dette leveringsalternativet."
"Title","Tittel"
"Track:","Sporing:"
"Tracking Information","Sporingsinformasjon"
"Tracking Number:","Sporingsnummer:"
"Tracking information is currently not available. Please ","Sporingsinformasjon er for øyeblikket ikke tilgjengelig. Vennligst "
"Tracking information is currently unavailable.","Sporingsinformasjon er ikke tilgjengelig for øyeblikket."
"Use origin weight (few requests)","Bruke opprinnelse vekt (få forespørsler)"
"Weight (and above)","Vekt (og over)"
"Weight vs. Destination","Vekt vs. destinasjon"
"Weight:","Vekt:"
"ZIP/Postal Code","ZIP/Postkode"
"contact us","kontakt oss"
"email us at ","kontakt oss på "
