"* Required Fields","* NÃ¸dvendige felt"
"ALL GROUPS","ALLE GRUPPER"
"Account Dashboard","Kontooversikt"
"Account Information","Kontoinformasjon"
"Account Sharing Options","Delingsalternativer for Konto"
"Action","Handling"
"Add New Address","Legg til ny adresse"
"Add New Customer","Legg til ny kunde"
"Add New Customer Group","Legge til ny kundegruppe"
"Added From","Lagt til fra"
"Additional Address Entries","Alternative adresser"
"Address","Adresse"
"Address Book","Adressebok"
"Address Information","Adresseinformasjon"
"Address Templates","Adressemal"
"Addresses","Adresser"
"All","Alle"
"All Store Views","Alle butikkvisninger"
"All countries","Alle land"
"Always optional.","Alltid valgfritt."
"Amount","Antall"
"Approved","Godkjent"
"Are you sure that you want to remove this item?","Vil du fjerne denne varen?"
"Are you sure you want to cancel adding of this address?","Vil du avbryte opprettelsen av denne adressen?"
"Are you sure you want to delete this address?","Er du sikker pÃ¥ at du vil slette denne adressen?"
"Are you sure?","Er du sikker?"
"Assign a Customer Group","Tildel en kundegruppe"
"Average Sale","Gjennomsnittlig salg"
"Back","Tilbake"
"Back to Login","Tilbake til innlogging"
"Bad request.","Ugyldig forespÃ¸rsel."
"Bill to Name","Fakturèr til"
"Bought From","Kjøpt fra"
"By Email","Via e-post"
"By IP","Ved IP"
"By IP and Email","Ved IP og epost"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved å opprette en konto hos oss vil du enklere kunne gjennomføre fremtidige kjøp, få oversikt over alle dine kjøp, osv."
"Cancel","Avbryt"
"Change Account Password","Endre kontopassord"
"Change Billing Address","Endre faktureringsadresse"
"Change Password","Endre passord"
"Change Shipping Address","Endre leveringsaddresse"
"City","By"
"Company","Bedrift"
"Config","Innstilling"
"Configure","Konfigurer"
"Confirm New Password","Bekreft nytt passord"
"Confirm Password","Bekreft passord"
"Confirmation Link Email","E-post for bekreftelseslenke"
"Confirmed","Bekreftet"
"Contact Information","Kontaktinformasjon"
"Continue Shopping","Fortsett Ã¥ handle"
"Country","Land"
"Create","Opprett"
"Create New Account Options","Opprette nye Konto alternativer"
"Create New Customer Account","Opprett kundekonto"
"Create Order","Opprette ordre"
"Create an Account","Opprette en Konto"
"Create customer","Opprett kunde"
"Create customer address","Opprett kundeadresse"
"Current Password","NÃ¥vÃ¦rende passord"
"Customer","Kunde"
"Customer Addresses","Kundeadresse"
"Customer Configuration","Kundekonfigurasjon"
"Customer Group","Kundegruppe"
"Customer Groups","Kundegrupper"
"Customer Information","Kundeinformasjon"
"Customer Login","Kundeinnlogging"
"Customer Since","Kunde siden"
"Customer View","Kundevisning"
"Customer will stay on the current page if ""No"" is selected.","Kunde vil bli pÃ¥ nÃ¥vÃ¦rende side hvis ""nei"" er valgt."
"Customers","Kunder"
"Customers Only","Bare kunder"
"DD","Dag"
"Date","Dato"
"Date Added","Dato lagt til"
"Date of Birth","FÃ¸dselsdato"
"Day","Dag"
"Days in Wishlist","Antall dager i Ønskelisten"
"Default Addresses","Standard adresser"
"Default Billing Address","Standard faktureringsadresse"
"Default Email Domain","Standard epost-domene"
"Default Group","Standard gruppe"
"Default Shipping Address","Standard leveringsadresse"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardverdien for Deaktiver automatisk endringer basert pÃ¥ mva-ID"
"Default Welcome Email","Standard velkomst e-post"
"Delete","Slett"
"Delete Address","Slett adresse"
"Delete Customer","Slett kunde"
"Delete Customer Group","Slett kundegruppe"
"Delete customer","Slett kunde"
"Delete customer address","Slett kundeadresse"
"Deleted Stores","Slettede butikker"
"Details","Detaljer"
"Disabled","Deaktivert"
"Edit","Redigere"
"Edit Account Info","Rediger kundeinfo"
"Edit Account Information","Rediger kontoinformasjon"
"Edit Address","Rediger adresse"
"Edit Address Entry","Rediger adresseoppføring"
"Edit Customer Group ""%s""","Rediger kundegruppe ""%s"""
"Edit Customer Groups","Redigere kundegrupper"
"Edit Customer's Address","Endre kundens adresse"
"Edit Group","Endre gruppe"
"Edit Newsletters","Rediger nyhetsbrev"
"Email","E-post"
"Email Address","E-postadresse"
"Email Sender","E-post avsender"
"Email:","E-Post:"
"Enable Automatic Assignment to Customer Group","Aktiver automatisk tildeling til kundegruppe"
"Failed to confirm customer account.","Bekreftelse av kundekonto feilet."
"Fax","Faks"
"First Name","Fornavn"
"Forgot Email Template","Glemt e-postmal"
"Forgot Password","Glemt passord"
"Forgot Your Password?","Glemt passordet ditt?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Se dine siste handlinger og kjøp fra ditt Kontopanel."
"Gender","KjÃ¸nn"
"General Subscription","Generelt abonnement"
"Generate Human-Friendly Customer ID","Generer menneskelig-vennlig kunde-ID"
"Group","Gruppe"
"Group Information","Gruppeinformasjon"
"Group Name","Gruppenavn"
"Group for Invalid VAT ID","Gruppe for ugyldig mva-ID"
"Group for Valid VAT ID - Domestic","Gruppe for gyldig MVA-ID - innenlands"
"Group for Valid VAT ID - Intra-Union","Gruppe for gyldig MVA-ID - intra Union"
"Guest","Gjest"
"Hello, %s!","Hei %s!"
"ID","Id"
"IP Address","IP-adresse"
"If you have an account with us, please log in.","Logg inn her dersom du allerede har en konto hos oss."
"Invalid current password","Feil/ugyldig passord"
"Invalid customer data","Ugyldig kundedata"
"Invalid login or password.","Ugyldig pÃ¥logging eller passord."
"Last Activity","Siste aktivitet"
"Last Date Subscribed","Siste dato abonnert"
"Last Date Unsubscribed","Siste dato stoppet"
"Last Name","Etternavn"
"Leave empty for default (15 minutes).","La vÃ¦re tom for standard verdi (15 minutter)."
"Leave empty for default (2). Valid range: 1-4","La være tomt for å bruke Standard (2). Gyldige verdier: 1-4"
"Lifetime Sales","Total salg"
"Log In","Logg inn"
"Log Out","Logg ut"
"Login","Logg inn"
"Login Information","Innloggingsinformasjon"
"Login Options","PÃ¥loggingsvalg"
"Login or Create an Account","Logg inn eller lag en ny konto"
"MM","MM."
"Manage Addresses","Administrere adresser"
"Manage Customers","Administrer kunder"
"Month","MÃ¥ned"
"My Account","Min konto"
"My Dashboard","Kontooversikt"
"My Orders","Mine ordrer"
"Name","Navn"
"Name and Address Options","Navn og adresse alternativer"
"Never","Aldri"
"New Address","Ny adresse"
