"* Required Fields","* NÃ¸dvendige felt"
"Comment","Kommentar"
"Contact Form","Kontaktskjema:"
"Contact Information","Kontaktinformasjon"
"Contact Us","Kontakt oss"
"Contacts","Kontakter"
"Email","E-post"
"Email Options","Alternativer for e-post"
"Email Sender","E-post avsender"
"Email Template","E-post mal"
"Enable Contact Us","Aktiver kontakt"
"Name","Navn"
"Send Emails To","Sende e-post til"
"Submit","Lagre"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Feil under sending. Prøv igjen senere"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Takk for din henvendelse. Vi tar kontakt snarest."
