"""Remember Me"" Default Value","""Husk meg"" standardverdi"
"* Required Fields","* NÃ¸dvendige felt"
"Address","Adresse"
"Address Information","Adresseinformasjon"
"Already registered?","Allerede registrert?"
"Back","Tilbake"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved å opprette en konto hos oss vil du enklere kunne gjennomføre fremtidige kjøp, få oversikt over alle dine kjøp, osv."
"Checkout as Guest","GÃ¥ til kassen som gjest"
"Checkout as a Guest or Register","GÃ¥ til kassen som gjest eller registrer deg"
"City","By"
"Close","Lukk"
"Company","Bedrift"
"Confirm Password","Bekreft passord"
"Continue","Fortsett"
"Country","Land"
"Create an Account","Opprette en Konto"
"Easy access to your order history and status","Enkel tilgang til ordrehistorikk og bestillingsstatus"
"Email Address","E-postadresse"
"Fast and easy check out","Rask og enkel betaling"
"Fax","Faks"
"Forgot Your Password?","Glemt passordet ditt?"
"Forgot your password?","Har du glemt passordet?"
"General Options","Generelle alternativer"
"If you have an account with us, please log in.","Logg inn her dersom du allerede har en konto hos oss."
"Loading next step...","Laster neste steg..."
"Login","Logg inn"
"Login Information","Innloggingsinformasjon"
"Login or Create an Account","Logg inn eller lag en ny konto"
"New Customers","Nye kunder"
"Password","Passord"
"Personal Information","Personopplysninger"
"Please log in below:","Logg inn med ditt brukernavn og passord:"
"Please select region, state or province","Vennligst velg region, fylke eller sted"
"Register","Registrer handlekonto"
"Register and save time!","Spar tid ved Ã¥ registrere en konto."
"Register to Create an Account","Opprett en konto"
"Register with us for future convenience:","Handle enklere og raskere ved Ã¥ opprette en konto:"
"Registered Customers","Registrerte kunder"
"Remember Me","Husk meg"
"Save in address book","Lagre i adresseboken"
"Select State/Province...","Poststed"
"Select a billing address from your address book or enter a new address.","Velg fakturaadresse fra adresseboken eller skriv inn en ny adresse."
"Ship to different address","Levering til annen adresse"
"Ship to this address","Levering til denne adressen"
"Sign Up for Newsletter","Motta nyhetsbrev"
"State/Province","Stat/provins"
"Street Address","Gateadresse"
"Submit","Lagre"
"Telephone","Telefon"
"VAT Number","Mva-nummer"
"Welcome, %s!","Velkommen %s!"
"What's this?","Hva er dette?"
"Zip/Postal Code","Postnummer"
