"API Password","API passord"
"API Signature","API-signatur"
"Address","Adresse"
"Advanced Settings","Avanserte innstillinger"
"Allowed Credit Card Types","Tillatte kredittkorttyper"
"Also affects mini-shopping cart.","Påvirker også mini handlekurv."
"Ask Customer","Spør Kunder"
"Authorization","Autorisasjon"
"Billing Information","Fakturainformasjon"
"City","By"
"Close","Lukk"
"Company","Bedrift"
"Complaint","Klage"
"Configure","Konfigurer"
"Continue","Fortsett"
"Country","Land"
"Credit","Kreditt"
"Custom","Egendefinert"
"Daily","Daglig"
"Debit or Credit","Debit og kredit"
"Discount","Rabatt"
"Display","Vis"
"Display on Shopping Cart","Vis i handlekurv"
"Dispute","Tvist"
"Dynamic","Dynamisk"
"Edit","Redigere"
"Edit Shopping Cart","Redigere handlekurv"
"Email Address","E-postadresse"
"Enable this Solution","Aktiver løsningen"
"Enabled","Aktivert"
"Event","Arrangement"
"Fax","Faks"
"Fetch Updates","Hent Oppdateringer"
"Help","Hjelp"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Hvis du ikke har flere brukere på kontoen, vennligst skriv ny leverandør/selger pålogging her."
"Invoice ID","Faktura ID"
"Items in Your Shopping Cart","Varer i din handlekurv"
"Last Transaction ID","Siste transaksjons ID"
"Learn More","Lær mer"
"Login","Logg inn"
"Merchant Country","Selgers land"
"N/A","I/T"
"Never","Aldri"
"No","Nei"
"No match","Ingen treff"
"Now accepting PayPal (150 X 40)","Vi godtar nå PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Vi godtar nå PayPal (150 X 60)"
"Order","Rekkefølge"
"Order ID","Ordre-ID"
"Page Style","Sidestil"
"Partner","Partner:"
"Password","Passord"
"PayPal Express Checkout","PayPal Express Checkout."
"PayPal Website Payments Standard","PayPal Website Payment Standard"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal anbefaler at du setter opp en ekstra bruker på kontoen din på manager.paypal.com, istedenfor å oppgi ditt admin brukernavn og passord her. Dette vil forhøye sikkerhet og hindre stopp i tjenesten hvis du senere forandrer passordet ditt. Hvis du ikke ønsker å opprette ekstra bruker, da kan du legge inn Selger pålogging her."
"Payflow Pro","Payflow Pro."
"Payment Action","Betalingshandling"
"Payment Method","Betalingsmåte"
"Payments by PayPal (150 X 40)","Betaling med PayPal (150 X 40)"
"Pending PayPal","Venter PayPal"
"Place Order","Bestill"
"Please agree to all the terms and conditions before placing the order.","Vennligst godta alle vilkår og betingelser før bestilling."
"Please select a shipping method...","Vennligst velg leveringsmåte..."
"Please select region, state or province","Velg fylke"
"Please update order data to get shipping methods and rates","Oppdater ordredata for å få leveringsmetoder og priser"
"Position","Posisjon"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnavn"
"Proxy Host","Proxy Host."
"Proxy Port","Proxy Port."
"Qty","Antall"
"Reports","Rapporter"
"Require Customer's Billing Address","Krev kundens faktureringsadresse"
"Review Order","Gå igjennom ordren"
"Sale","Salg"
"Sales","Salg"
"Schedule","Tidsplan"
"Shipping","Frakt"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsinformasjon"
"Shipping Method","Forsendelsesmåte"
"Shop now using (150 X 60)","Handle nå med (150 X 60)"
"Shortcut","Snarvei"
"Size","Størrelse"
"Sorry, no quotes are available for this order at this time.","Beklager, ingen tilbud er for tiden tilgjengelig for denne ordren"
"Sort Order","Sorteringsrekkefølge"
"State/Province","Stat/provins"
"Static","Statisk"
"Street Address","Gateadresse"
"Submitting order information...","Sender bestilling..."
"Subtotal","Delsum"
"Telephone","Telefon"
"Test Mode","Testmodus"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Betaling er på vent fordi den ble gjort til en e-postadresse som ennå ikke er registrert eller bekreftet."
"There was an error processing your order. Please contact us or try again later.","Det oppstod en feil under behandling av din ordre. Vennligst kontakt oss eller prøv igjen senere."
"Title","Tittel"
"Transaction ID","Transaksjons-ID"
"Transaction Information","Transaksjons-informasjon"
"Update Shipping Method","Oppdater leveringsmetode"
"Use Proxy","Bruk Proxy"
"User","Bruker"
"VAT Number","Mva-nummer"
"View","Visning"
"View Demo","Vis demo"
"View Transaction Details","Vis transaksjonsdetaljer"
"Void","Annuller"
"We prefer PayPal (150 X 60)","Vi foretrekker PayPal (150 X 60)"
"Website Payments Standard","Website Payment Standard"
"Yes","Ja"
"Yes (PayPal recommends this option)","Ja (PayPal anbefaler dette alternativet)"
"You will be redirected to the PayPal website when you place an order.","Du blir videresendt til PayPal når du gjennomfører bestillingen."
"You will be redirected to the PayPal website.","Du blir videresendt til PayPal."
"Zip/Postal Code","Postnummer"
