"* Required Fields","* Nødvendige felt"
"--Please Select--","-Vennligst velg--"
"<label>Make Check payable to:</label> %s","<label>Betal til:</label> %s"
"Bank Transfer Payment","Bank Overføring Betaling"
"Card Verification Number","Kort verifikasjonsnummer"
"Cash On Delivery Payment","Kontant Ved Levering Betaling"
"Credit Card Number","Kredittkortnummer"
"Credit Card Number: xxxx-%s","Kredittkortnummer: xxxx-%s"
"Credit Card Type","Kredittkorttype"
"Credit Card Type: %s","Kredittkorttype: %s"
"Credit Card Types","Kredittkorttyper"
"Currency","Valuta"
"Day","Dag"
"Enabled","Aktivert"
"Expiration Date","Utløpsdato"
"Expiration Date: %s/%s","Utløpsdato: %s/%s"
"Instructions","Instruksjoner"
"Issue Number","Utgivelsesnummer"
"Make Check Payable to","Gjør sjekk betalbar til"
"Make Check payable to:","Gjør sjekk betalbar til:"
"Make Check payable to: %s","Vennligst betal til: %s"
"Maximum Order Total","Maks ordretotal"
"Merchant ID","Selger ID"
"Minimum Order Total","Minimum ordretotal"
"Month","Måned"
"N/A","I/T"
"Name on Card","Navn på kort"
"Name on the Card: %s","Navn på kort: %s"
"New Order Status","Ny ordrestatus"
"Password","Passord"
"Payment Method","Betalingsmåte"
"Payment Methods","Betalingsmetoder"
"Payment Methods Section","Seksjon for Betalingsmetoder"
"Payment from Applicable Countries","Betaling fra aktuelle land"
"Payment from Specific Countries","Betaling fra bestemte land"
"Purchase Order","Innkjøpsordre"
"Purchase Order Number","Innkjøpsordrenummer"
"Purchase Order Number: %s","Bestillingsnummer: %s"
"Saved CC","Lagret kredittkort"
"Send Check to","Send sjekk til"
"Send Check to:","Send sjekk til:"
"Shipping Amount","Fraktbeløp"
"Sort Order","Sorteringsrekkefølge"
"Start Date","Startdato"
"Tax Amount","Mva beløp"
"Test Mode","Testmodus"
"The requested Payment Method is not available.","Den angitte betalingsmetoden er ikke tilgjengelig."
"Title","Tittel"
"What is this?","Hva er dette?"
"Year","År"
"Zero Subtotal Checkout","Ingen delsum ved kassen"
