"%s - Discounts and Coupons","%s - Rabatter og tilbud"
"%s RSS Feed","%s RSS feed"
"%s has reached a quantity of %s.","%s har nådd et antall på %s."
"%s's Wishlist","%s's Ønskeliste"
"Cannot retrieve the wishlist","Kan ikke hente ønskeliste"
"Catalog","Katalog"
"Category Feeds","Kategori-feed"
"Click for price","Klikk for pris"
"Comment: %s<br/>","Kommentar: %s<br/>"
"Coupons/Discounts","Rabattkoder/tilbud"
"Current Status: %s<br/>","Gjeldende status: %s<br/>"
"Customer Name: %s","Kundenavn: %s"
"Customer Order Status Notification","Melding om ordrestatus"
"Details for %s #%s","Detaljer for %s #%s"
"Discount","Rabatt"
"Discount (%s)","Rabatt (%s)"
"Enable RSS","Aktiver RSS"
"Error in processing xml. %s","Feil ved prosessering av xml. %s"
"From:","Fra:"
"Get Feed","Få Feed"
"Gift Message","Gavemelding"
"Grand Total","Totalsum"
"Low Stock Products","Lav lager produkter"
"Message:","Melding:"
"Miscellaneous Feeds","Diverse Feeder"
"New Orders","Nye bestillinger"
"New Products","Nye produkter"
"New Products from %s","Nye produkter fra %s"
"Notified Date: %s<br/>","Varslet den: %s<br/>"
"Order","Rekkefølge"
"Order # %s Notification(s)","Informasjon vedrørende ordre #%s"
"Order #%s created at %s","Ordre #%s opprettet %s"
"Pending product review(s)","Ventende produktomtaler"
"Product: ""%s"" review By: %s","Produkt: ""%s"" omtale av: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkter tagget med %s"
"Purchased From: %s","Bestilt fra: %s"
"RSS","RSS:"
"RSS Feeds","RSS-feeds"
"Review: %s <br/>","Omtale: %s <br/>"
"Rss Config","RSS-konfigurasjon"
"Shipping &amp; Handling","Frakt &amp; håndtering"
"Special Products","Spesielle produkter"
"Store: %s <br/>","Butikk: %s <br/>"
"Subtotal","Delsum"
"Summary of review: %s <br/>","Sammendrag av omtale: %s <br/>"
"Tags Products","Produkter med tagger"
"Tax","Avgift"
"There are no Rss Feeds","Finner ingen Rss Feeds"
"To:","Til:"
"Top Level Category","Topnivå kategori"
"Total: %s<br/>","Totalt: %s<br/>"
"Wishlist","Ønskeliste"
"click <a href=""%s"">here</a> to view the review","klikk <a href=""%s"">her</a> for å vise omtalen"
