"Alert Email Sender","Avsender for e-postvarsling"
"Alert subscription has been saved.","Varslingsabonnement er lagret."
"Click here not to receive alerts for this product","Klikk her for å stoppe varsling for dette produktet"
"Error Email Recipient","E-postmottaker for feil"
"Error Email Sender","Feil Epost Sender"
"Error Email Template","Feil Epost Mal"
"Frequency","Frekvens"
"Price:","Pris:"
"Product Alerts","Produktmeldinger"
"Product Alerts Run Settings","Innstillinger for produktvarsling"
"Product alerts Cron error","Feil i Cronjobb for produktvarsling"
"Product price alert","Prisvarsling for produkt"
"Product stock alert","Lagerstatusvarsling for produkt"
"Regular Price:","Vanlig pris:"
"Sign up for price alert","Bli varslet om prisendringer"
"Sign up to get notified when this product is back in stock","Bli varslet når varen er på lager igjen"
"Special price:","Kampanjepris:"
"Start Time","Starttid"
"The product was not found.","Produktet ble ikke funnet."
"Unsubscribe from all price alerts","Slutt Ã¥ abonnere pÃ¥ alle prisvarsler"
"Unsubscribe from all stock alerts","Stopp all varsling om lagerstatusendringer"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Du mottar denne meldingen fordi du ba om å bli varslet når følgende produkt(er) er på lager igjen:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du mottar denne meldingen fordi du ba om å bli varslet om prisendringer for følgene produkt(er):"
"You will no longer receive price alerts for this product.","Du vil ikke lenger motta prisvarsler for dette produktet."
"You will no longer receive stock alerts for this product.","Du vil ikke lenger motta lagervarsler for dette produktet."
"You will no longer receive stock alerts.","Du vil ikke lenger motta lagervarsler."
