"%s's Wishlist","%s's Ønskeliste"
"* Required Fields","* Nødvendige felt"
"Add All to Cart","Legg alt i handlekurv"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Added From","Lagt til fra"
"Are you sure you want to remove this product from your wishlist?","Er du sikker på at ud vil fjerne produktet fra ønskelisten?"
"Are you sure you would like to remove this item from the wishlist?","Er du sikker på at du vil fjerne varen fra ønskelisten?"
"Back","Tilbake"
"Can't save description %s","Kan ikke lagre beskrivelse %s"
"Cannot specify product.","Kan ikke spesifisere produkt."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Merk av her dersom du ønsker å legge til en link til en RSS-feed av din ønskeliste."
"Click for price","Klikk for pris"
"Comment","Kommentar"
"Comment:","Kommentar:"
"Date Added","Dato lagt til"
"Days in Wishlist","Antall dager i �nskelisten"
"Edit","Redigere"
"Email Sender","E-post avsender"
"Email Template","E-post mal"
"Email address can't be empty.","Epost-adressen kan ikke være tom."
"Email addresses, separated by commas","E-postadresser, adskilt med komma"
"Enabled","Aktivert"
"General Options","Generelle alternativer"
"Go to Wishlist","Gå til ønskelisten"
"In stock","På lager"
"Last Added Items","Siste tillagte varer"
"Message","Beskjed"
"My Wishlist","Min �nskeliste"
"My Wishlist (%d item)","Min ønskeliste (%d vare)"
"My Wishlist (%d items)","Min ønskeliste (%d varer)"
"Options Details","Valg for detaljer"
"Out of stock","Ikke på lager"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Oppgi gyldige e-postadresser, separert med komma. For eksempel ola@normann.no, kari@normann.no."
"Please, enter your comments...","Skriv eventuelle kommentarer..."
"Price","Pris"
"Product","Produkt"
"Product Details and Comment","Produktdetaljer og kommentar"
"Qty","Antall"
"RSS Feed","RSS-feed"
"RSS link to %s's wishlist","RSS-link til %s's ønskeliste"
"Remove Item","Fjern produkt"
"Remove This Item","Fjern denne varen"
"Remove item","Fjern produkt"
"SKU","Varenummer"
"Share Options","Alternativer for deling"
"Share Wishlist","Del ønskelisten"
"Share Your Wishlist","Del din ønskeliste"
"Sharing Information","Delingsinformasjon"
"Update Wishlist","Oppdater ønskelisten"
"User Description","Bruker Beskrivelse"
"View Details","Vis detaljer"
"View Product","Vis produkt"
"What's this?","Hva er dette?"
"Wishlist","Ønskeliste"
"Wishlist Sharing","Deling av ønskeliste"
"Wishlist is empty now.","Ønskelisten er nå tom."
"You have no items in your wishlist.","Du har ingen varer i ønskelisten."
