"Action","Handling"
"Are you sure you want to delete the selected backup(s)?","Er du sikker på at du vil slette valgt(e) sikkerhetskopi(er)?"
"Backups","Sikkerhetskopier"
"Create Backup","Opprett sikkerhetskopi"
"Database Backup","Databasesikkerhetskopi"
"Database and Media","Database og Media"
"Database and Media Backup","Database- og mediabackup"
"Database was successfuly backed up.","Databasen ble tatt backup av."
"Download","Last ned"
"Enable Scheduled Backup","Aktiver planlagt sikkerhetskopiering"
"Frequency","Frekvens"
"Maintenance Mode","Vedlikeholdsmodus"
"Name","Navn"
"Rollback","Rull tilbake"
"Start Time","Starttid"
"System (excluding Media)","System (unntatt Media)"
"System Backup","System-sikkerhetskopiering"
"Time","Tid"
"Unable to create backup. Please, try again later.","Feil under opprettelse av backup. Prøv igjen."
