" Copy"," Kopier"
"Action","Handling"
"Add New Template","Legg til ny mal"
"Add to Queue","Legg til i køen"
"Allow Guest Subscription","Tillat gjesteabonnering"
"Are you sure that you want to delete this template?","Er du sikker på at du vil slette denne malen?"
"Are you sure that you want to strip all tags?","Er du sikker på at du vil fjerne alle tagger?"
"Back","Tilbake"
"Cancel","Avbryt"
"Cancelled","Kansellert"
"Confirmation Email Sender","Avsender av bekreftelses-epost"
"Confirmation Email Template","Bekreftelse e-post mal"
"Convert to Plain Text","Konvertere til ren tekst"
"Create Newsletter Template","Opprett mal for nyhetsbrev"
"Customer","Kunde"
"Customer First Name","Kunden fornavn"
"Customer Last Name","Kunde etternavn"
"Date Added","Dato lagt til"
"Date Updated","Dato oppdatert"
"Delete","Slett"
"Delete Selected Problems","Slett valgte problemer"
"Delete Template","Slett malen"
"Do you really want to cancel the queue?","Vil du virkelig avbryte køen?"
"Edit Newsletter","Redigere nyhetsbrev"
"Edit Newsletter Template","Rediger malen for nyhetsbrev"
"Edit Queue","Rediger kø"
"Edit Template","Endre mal"
"Email","E-post"
"Enter your email address","Skriv inn e-postadressen din"
"Error Code","Feilkode"
"Error Text","Feiltekst"
"Guest","Gjest"
"ID","Id"
"Message","Beskjed"
"Need to Confirm","Trenger å bekrefte"
"New Newsletter Template","Ny mal for nyhetsbrev"
"New Template","Ny mal"
"Newsletter","Nyhetsbrev"
"Newsletter Message Preview","Forhåndsvisning av nyhetsbrev"
"Newsletter Problem Reports","Nyhetsbrev problemrapport"
"Newsletter Queue","Nyhetsbrevkø"
"Newsletter Section","Nyhetsbrev Seksjon"
"Newsletter Styles","Stil for nyhetsbrev"
"Newsletter Subscribers","Nyhetsbrevabonnenter"
"Newsletter Subscription","Nyhetsbrev-abonnement"
"Newsletter Subscriptions","Nyhetsbrev abonnement"
"Newsletter Templates","Mal for nyhetsbrev"
"Newsletter subscription confirmation","Nyhetsbrev abonnement bekreftelse"
"Newsletter subscription success","Påmelding til nyhetsbrev vellykket"
"Newsletter unsubscription success","Stopping av nyhetsbrevabonnement vellykket"
"No Templates Found","Ingen mal funnet"
"Not Activated","Ikke aktivert"
"Not Sent","Ikke sendt"
"Pause","Venter"
"Paused","Pauset"
"Please enter a valid email address.","Vennligst skriv inn en gyldig e-postadresse."
"Please enter new template name","Skriv inn nytt malnavn"
"Please select subscriber(s)","Velg abonnent(er)"
"Preview","Forhåndsvis"
"Preview Template","Forhåndsvisning av mal"
"Processed","Behandlet"
"Queue Date Start","Køens startdato"
"Queue Finish","Køslutt"
"Queue Information","Informasjon om kø"
"Queue Start","Køstart"
"Queue Subject","Køemne"
"Recipients","Mottakere"
"Reset","Nullstill"
"Resume","Gjenoppta"
"Return HTML Version","Returner HTML versjon"
"Save As","Lagre som"
"Save Newsletter","Lagre nyhetsbrev"
"Save Template","Lagre mal"
"Save and Resume","Lagre og Fortsett"
"Security","Sikkerhet"
"Sender","Avsender"
"Sender Email","Avsender e-post"
"Sender Name","Avsenderens navn"
"Sending","Sender"
"Sent","Sendt"
"Sign up for our newsletter","Meld p� v�rt nyhetsbrev"
"Start","Start:"
"Store","Butikk"
"Store View","Butikkvisning"
"Subject","Emne"
"Submit","Lagre"
"Subscribe","Abonner"
"Subscribed","Startet abonnement"
"Subscriber","Abonnent"
"Subscribers","Abonnenter"
"Subscribers From","Abonnenter fra"
"Subscription Options","Abonnements-alternativer"
"Success Email Sender","Vellykket Epost Sender"
"Success Email Template","Vellykket Epost Mal"
"Template Content","Mal-innholdet"
"Template Information","Malinformasjon"
"Template Name","Malnavn"
"Template Styles","Stil for mal"
"Template Subject","Malemne"
"Template Type","Maltype"
"Thank you for your subscription.","Takk for at du meldte deg på vårt nyhetsbrev."
"There was a problem with the subscription: %s","Det oppstod et problem med abonnementet: %s"
"There was a problem with the un-subscription.","Det oppstod et problem ved avmelding av abonnement."
"This email address is already assigned to another user.","Denne e-postadressen er allerede tilordnet en annen bruker."
"Unconfirmed","Ubekreftet"
"Unsubscribe","Avslutt abonnementet"
"Unsubscribe Selected","Meld ut valgte"
"Unsubscribed","Avsluttet abonnement"
"Unsubscription Email Sender","Avsender av e-post ved stopping av abonnement"
"Unsubscription Email Template","E-postmal for stopping av abonnement"
"View Newsletter","Vis nyhetsbrev"
"Website","Nettsted"
"Your subscription has been confirmed.","Abonnementet er bekreftet."
