" and ","og"
"(For US 2-letter state names)","(For amerikanske to-bokstavs statnavn)"
"(If left empty will be auto-generated)","(Automatisk generert hvis tom)"
"(Leave empty for first spreadsheet)","(La stå tom for første regneark)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter vil legges til/oppdateres i denne butikken hvis 'store' kolonnen er blank eller mangler i importfilen.)"
"(Shift-)Click or drag to change value","(Skift-)Klikk eller dra for å forandre verdi"
"(Starting with)","(Begynner med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Hvis 'Nei' vil kun koblede felter importeres. Når du kobler felt, bruk 'kolonne1', 'kolonne2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Du må øke php memory_limit før du forandrer denne verdien"
"(\t for tab)","(t for tab)"
"* Required Fields","* Nødvendige felt"
"- Click on any of the time parts to increase it","- Klikk på en av tidsvelgerene for å øke den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen på noen av knappene over for raskere valg."
"- Use the %s buttons to select month","- Bruk %s knappene for å velge måned"
"- Use the %s, %s buttons to select year","- Bruk %s, %s knappene for å velge år"
"- or Shift-click to decrease it","- eller Skift-klikk for å redusere det"
"- or click and drag for faster selection.","- eller klikk og dra for raskere valg"
"-- Please Select --","-Vennligst velg--"
"-- Please Select Billing Agreement--","-Vennligst velg faktureringsavtale--"
"-- Please Select a Category --","-Velg en kategori-"
"-- Please select --","-Vennligst velg--"
"--Please Select--","-Vennligst velg--"
"1 Hour","1 time"
"12 Hours","12 timer"
"12h AM/PM","12 timer AM/PM"
"2 Hours","2 timer"
"24 Hours","24 timer"
"24h","24t"
"6 Hours","6 timer"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 feil</h1><p>Fant ikke siden.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Merk</strong>: Captcha er case sensitive."
"A user with the same user name or email already exists.","Det finnes allerede en bruker med samme navn eller e-post."
"API Key","API-nøkkel"
"About the calendar","Om kalenderen"
"Account Created in:","Konto opprettet i:"
"Account Created on (%s):","Konto opprettet på (%s):"
"Account Created on:","Konto opprettet:"
"Account Information","Kontoinformasjon"
"Account Status","Kontostatus"
"Account status","Kontostatus"
"Action","Handling"
"Actions","Handlinger"
"Actions XML","Handlinger XML"
"Active","Aktiv"
"Add","Legg til"
"Add Exception","Legg til Untak"
"Add Field Mapping","Legg til feltkobling"
"Add Field with URL:","Legg til felt med URL:"
"Add New","Legg til ny"
"Add New Block","Legg til ny blokk"
"Add New Image","Legg til nytt bilde"
"Add New Profile","Legg til ny profil"
"Add New Role","Legg til ny regel"
"Add New Template","Legg til ny mal"
"Add New User","Legg til ny bruker"
"Add New Variable","Legg til ny variabel"
"Add Products","Legg til produkter"
"Add URL Rewrite","Legg til URL omskriving"
"Add URL Rewrite for a Category","Legg til URL-omskriving for en kategori"
"Add after","Legg til etter"
"Additional Cache Management","Ekstra Cache Konfigurasjon"
"Address Type:","Adressetype:"
"Advanced Admin Section","Avanserte Administratorinnstillinger"
"Advanced Profiles","Avanserte profiler"
"Advanced Section","Avanserte innstillinger"
"All","Alle"
"All Allowed Countries","Alle tillatt land"
"All Files","Alle filer"
"All Reviews","Alle produktanmeldelser"
"All Store Views","Alle butikkvisninger"
"All Tags","Alle tagger"
"All Websites","Alle nettsteder"
"All countries","Alle land"
"All fields","Alle felter"
"Always (during development)","Alltid (under utvikling)"
"Amounts","Beløp"
"An error occurred while clearing the JavaScript/CSS cache.","Det oppstod en feil under tømming av hurtigbuffer for JavaScript/CSS."
"An error occurred while clearing the image cache.","Det oppstod en feil under tømming av hurtigbuffer for bilder."
"An error occurred while deleting this role.","Det oppstod en feil under sletting av denne rollen."
"An error occurred while saving account.","Det oppstod en feil under lagring av konto."
"An error occurred while saving this role.","Det oppstod en feil under lagring av denne rollen."
"Any","Hvilket som helst"
"Any Attribute Set","Ethvert attributtsett"
"Any Group","Enhver gruppe"
"Any Status","Enhver status"
"Any Store","Enhver butikk"
"Any Type","Enhver type"
"Any Visibility","Enhver synlighet"
"Archive file name:","Arkivfilnavn:"
"Are you sure that you want to delete this template?","Er du sikker på at du vil slette denne malen?"
"Are you sure that you want to strip tags?","Er du sikker på at du vil fjerne taggene?"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"As low as:","Fra"
"Assigned","Tildelt"
