"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Add to Cart","കാർട്ടിലേക്ക് ചേർക്കുക"
"Add to Compare","താരതമ്യം ചെയ്യാൻ ചേർക്കുക"
"Back","പിന്നിലേക്കു"
"Comment","അഭിപ്രായം"
"Date Added","തീയതി ചേർത്തു"
"Edit","എഡിറ്റുചെയ്യുക"
"Email Sender","ഇമെയിൽ അയച്ചയാൾ"
"Email Template","ഇമെയിൽ ടെംപ്ലേറ്റ്"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"In stock","സ്റ്റോക്കുണ്ട്"
"Message","സന്ദേശം"
"Options Details","ഓപ്ഷനുകളുടെ വിശദാംശങ്ങൾ"
"Out of stock","ശേഖരം തീർന്നു പോയി"
"Price","വില"
"Product","ഉൽപ്പന്നം"
"Qty","അളവ്"
"View Details","വിശദാംശങ്ങൾ കാണുക"
