"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Add New Address","പുതിയ അഡ്രസ് ചേർക്കുക"
"Add New Condition","പുതിയ കണ്ടീഷൻ ചേർക്കുക"
"Add to Cart","കാർട്ടിലേക്ക് ചേർക്കുക"
"Add to Compare","താരതമ്യം ചെയ്യാൻ ചേർക്കുക"
"Address","വിലാസം"
"Apply","പ്രയോഗിക്കുക"
"Are you sure you would like to remove this item from the shopping cart?","ഷോപ്പിംഗ് കാർട്ടിൽ നിന്ന് ഈ ഇനം നീക്കംചെയ്യാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?"
"Back","പിന്നിലേക്കു"
"Cancel","റദ്ദാക്കുക"
"Change Billing Address","ബില്ലിംഗ് വിലാസം മാറ്റുക"
"Checkbox Text","ചെക്ക്ബോക്സ് ടെക്സ്റ്റ്"
"Checkout","ചെക്ക് ഔട്ട്"
"Checkout Conditions","ചെക്ക് ഔട്ട് വ്യവസ്ഥകൾ"
"Checkout Terms and Conditions","ചെക്ക് ഔട്ട് നിബന്ധനകളും വ്യവസ്ഥകളും"
"City","പട്ടണം"
"Close","അടയ്ക്കുക"
"Company","കമ്പനി"
"Condition Name","വ്യവസ്ഥയുടെ പേര്"
"Configurable Product Image","ക്രമീകരിക്കാവുന്ന ഉൽപ്പന്ന ചിത്രം"
"Confirm Password","പാസ്‌വേഡ് സ്ഥിരീകരിക്കുക"
"Content","ഉള്ളടക്കം"
"Content Height","ഉള്ളടക്ക ഉയരം"
"Content Height (css)","ഉള്ളടക്ക ഉയരം (css)"
"Continue","തുടരുക"
"Country","രാജ്യം"
"Delete Condition","കണ്ടിഷൻ ഇല്ലാതാക്കുക"
"Details","വിവരങ്ങൾ"
"Disabled","പ്രവർത്തനരഹിതമാക്കി"
"Display item quantities","ഇനത്തിന്റെ അളവുകൾ പ്രദർശിപ്പിക്കുക"
"Display number of items in cart","കാർട്ടിലെ ഇനങ്ങളുടെ എണ്ണം പ്രദർശിപ്പിക്കുക"
"Edit","എഡിറ്റുചെയ്യുക"
"Edit Address","അഡ്രസ് തിരുത്തുക"
"Edit Condition","നിബന്ധന എഡിറ്റുചെയ്യുക"
"Edit Terms and Conditions","നിബന്ധനകളും വ്യവസ്ഥകളും എഡിറ്റുചെയ്യുക"
"Edit Your Cart","നിങ്ങളുടെ കാർട്ട് എഡിറ്റുചെയ്യുക"
"Email Address","ഈ - മെയില് വിലാസം"
"Enable Terms and Conditions","നിബന്ധനകളും വ്യവസ്ഥകളും പ്രവർത്തനക്ഷമമാക്കുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Fax","ഫാക്സ്"
"Forgot an Item?","ഒരു ഇനം മറന്നോ?"
"ID","ഐഡി"
"Incl. Tax","നികുതി ഉൾപ്പെടെ"
"Items","ഇനങ്ങൾ"
"Login","ലോഗിൻ"
"Terms and Conditions","ഉപാധികളും നിബന്ധനകളും"
"New Address","പുതിയ അഡ്രസ്"
"New Condition","പുതിയ നിബന്ധന"
"New Terms and Conditions","പുതിയ നിബന്ധനകളും വ്യവസ്ഥകളും"
"Password","പാസ്സ്‌വേര്‍ഡ്‌"
"Payment Information","പേയ്‌മെന്റ് വിവരങ്ങൾ"
"Payment Method","പണംകൊടുക്കൽരീതി"
"Place Order","ഓർഡർ പ്ലേസ് ചെയ്യുക"
"Please agree to all the terms and conditions before placing the order.","ഓർ‌ഡർ‌ നൽ‌കുന്നതിന് മുമ്പ് ദയവായി എല്ലാ നിബന്ധനകളും വ്യവസ്ഥകളും അംഗീകരിക്കുക."
"Price","വില"
"Product","ഉൽപ്പന്നം"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Products","ഉൽപ്പന്നങ്ങൾ"
"Qty","അളവ്"
"Quantity","അളവ്"
"Sales","വിൽപ്പന"
"Save Condition","കണ്ടിഷൻ സേവ് ചെയ്യുക"
"Save in address book","അഡ്രസ്സ് ബുക്കിൽ സേവ് ചെയ്യുക"
"Shopping Cart","ഷോപ്പിംഗ് കാർട്ട്"
"Show Content as","ഉള്ളടക്കം ഇതായി കാണിക്കുക"
"State/Province","സംസ്ഥാനം / പ്രവിശ്യ"
"Status","സ്റ്റാറ്റസ്"
"Store View","സ്റ്റോർ വ്യൂ"
"Street Address","സ്ട്രീറ്റ് വിലാസം"
"Subtotal","ആകെത്തുക"
"Terms and Conditions Information","നിബന്ധനകളും വിവരങ്ങളും"
"Text","ടെക്സ്റ്റ്"
"The product does not exist.","ഉൽപ്പന്നം നിലവിലില്ല."
"This condition no longer exists.","ഈ നിബന്ധന നിലവിലില്ല."
"Total","ആകെ"
"Update","പുതുക്കുക"
"VAT Number","VAT നമ്പർ"
"Zip/Postal Code","സിപ് / പോസ്റ്റൽ കോഡ്"
"or","അഥവാ"
