"Action","പ്രവർത്തനം"
"Add to Cart","കാർട്ടിലേക്ക് ചേർക്കുക"
"Add to Compare","താരതമ്യം ചെയ്യാൻ ചേർക്കുക"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Customer","ഉപഭോക്താവ്"
"Customers","ഉപഭോക്താക്കൾ"
"Dashboard","ഡാഷ്ബോർഡ്"
"Day","ദിവസം"
"Description","വിവരണം"
"Downloads","ഡൌണ്‍ലോടുകള്‍"
"Email","ഇമെയിൽ"
"First Name","പേരിന്റെ ആദ്യഭാഗം"
"From","മുതൽ"
"General","ജനറൽ"
"Guest","അതിഥി"
"ID","ഐഡി"
"Last Name","പേരിന്റെ അവസാന ഭാഗം"
"Month","മാസം"
"Name","പേര്"
"No","ഇല്ല"
"Orders","ഓർഡറുകൾ"
"Out of stock","ശേഖരം തീർന്നു പോയി"
"Price","വില"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Products","ഉൽപ്പന്നങ്ങൾ"
"Reports","റിപ്പോർട്ടുകൾ"
"Results","ഫലം"
"Revenue","വരുമാനം"
"Sales","വിൽപ്പന"
"Shipping","ഷിപ്പിംഗ്"
"Shopping Cart","ഷോപ്പിംഗ് കാർട്ട്"
"Specified","വ്യക്തമാക്കിയ"
"Subtotal","ആകെത്തുക"
"Tax","നികുതി"
"Title","ശീർഷകം"
"To","വരെ"
"Total","ആകെ"
"Year","വർഷം"
"Yes","അതെ"
