"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"ALL GROUPS","എല്ലാ ഗ്രൂപ്പുകളും"
"Action","പ്രവർത്തനം"
"Add","ചേർക്കുക"
"Add Design Change","ഡിസൈൻ മാറ്റം ചേർക്കുക"
"Add New","പുതിയത് ചേർക്കുക"
"Add New Attribute","പുതിയ ആട്രിബ്യൂട്ട് ചേർക്കുക"
"Add Product","ഉൽപ്പന്നം ചേർക്കുക"
"Add Root Category","റൂട്ട് വിഭാഗം ചേർക്കുക"
"Add Subcategory","ഉപവിഭാഗം ചേർക്കുക"
"Add to Cart","കാർട്ടിലേക്ക് ചേർക്കുക"
"Add to Compare","താരതമ്യം ചെയ്യാൻ ചേർക്കുക"
"All","എല്ലാം"
"All Websites","എല്ലാ വെബ്‌സൈറ്റുകളും"
"Anchor Custom Title","ആങ്കർ കസ്റ്റം ടൈറ്റിൽ"
"Apply To","ബാധകമാണ്"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Attribute Information","ആട്രിബ്യൂട്ട് വിവരങ്ങൾ"
"Attribute Set","ആട്രിബ്യൂട്ട് സെറ്റ്"
"Attributes","ആട്രിബ്യൂട്ട്സ്"
"Availability:","ലഭ്യത:"
"Back","പിന്നിലേക്കു"
"Based On","അടിസ്ഥാനപെടുത്തി"
"Bundle Items","ഇനങ്ങൾ ബണ്ടിൽ ചെയ്യുക"
"Cache Lifetime (Seconds)","കാഷെ ലൈഫ് ടൈം (സെക്കൻഡ്)"
"Cancel","റദ്ദാക്കുക"
"Catalog","കാറ്റലോഗ്"
"Category","വിഭാഗം"
"Category URL Suffix","വിഭാഗം URL സഫിക്‌സ്"
"Choose an Option...","ഒരു ഓപ്ഷൻ തിരഞ്ഞെടുക്കുക..."
"Comparable","താരതമ്യപ്പെടുത്താവുന്ന"
"Conditions Combination","വ്യവസ്ഥകളുടെ സംയോജനം"
"Continue","തുടരുക"
"Create Permanent Redirect for URLs if URL Key Changed","URL കീ മാറ്റുകയാണെങ്കിൽ‌ URL കൾ‌ക്കായി സ്ഥിരമായ റീഡയറക്‌ട് സൃഷ്‌ടിക്കുക"
"Create Permanent Redirect for old URL","പഴയ URL- നായി സ്ഥിരമായ റീഡയറക്‌ട് സൃഷ്‌ടിക്കുക"
"Custom Design","ഇഷ്‌ടാനുസൃത രൂപകൽപ്പന"
"Customer Group","ഉപഭോക്തൃ ഗ്രൂപ്പ്"
"Data Type for Saving in Database","ഡാറ്റാബേസിൽ സേവ് ചെയുന്നതിനുള്ള ഡാറ്റ ടൈപ്പ്"
"Decimal","ദശാംശം"
"Default Values","സ്ഥിര മൂല്യം"
"Delete","നീക്കം ചെയ്യുക"
"Delete Attribute","ആട്രിബ്യൂട്ട് ഇല്ലാതാക്കുക"
"Delete Option","ഓപ്ഷൻ ഇല്ലാതാക്കുക"
"Description","വിവരണം"
"Design","ഡിസൈൻ"
"Details","വിവരങ്ങൾ"
"Disabled","പ്രവർത്തനരഹിതമാക്കി"
"Display Page Control","പേജ് നിയന്ത്രണം പ്രദർശിപ്പിക്കുക"
