"Actions","പ്രവർത്തനങ്ങൾ"
"Active","സജീവമാണ്"
"Alphanumeric","ആൽഫാന്യൂമെറിക്"
"Apply","പ്രയോഗിക്കുക"
"Apply To","ബാധകമാണ്"
"By Fixed value","നിശ്ചിത മൂല്യം പ്രകാരം"
"By Percentage","ശതമാനം പ്രകാരം"
"Catalog","കാറ്റലോഗ്"
"Conditions","വ്യവസ്ഥകൾ"
"Customer Groups","ഉപഭോക്തൃ ഗ്രൂപ്പുകൾ"
"Description","വിവരണം"
"Discount Amount","കിഴിവ് തുക"
"Edit Rule","റൂൾ എഡിറ്റുചെയ്യുക"
"General Information","പൊതുവിവരം"
"ID","ഐഡി"
"Inactive","നിഷ്‌ക്രിയം"
"New Rule","പുതിയ നിയമം"
"No","ഇല്ല"
"Payment Method","പണംകൊടുക്കൽരീതി"
"Priority","മുൻഗണന"
"Promotions","പ്രമോഷനുകൾ"
"Rule Information","റൂൾ വിവരങ്ങൾ"
"Rule Name","റൂളിന്റെ പേര്"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Status","സ്റ്റാറ്റസ്"
"Subtotal","ആകെത്തുക"
"This rule no longer exists.","ഈ നിയമം നിലവിലില്ല."
"To Fixed Value","നിശ്ചിത മൂല്യത്തിലേക്ക്"
"To Percentage","ശതമാനത്തിലേക്ക്"
"Total","ആകെ"
"Update the Product","ഉൽപ്പന്നം അപ്‌ഡേറ്റുചെയ്യുക"
"Used","ഉപയോഗിച്ചു"
"Website","വെബ് സൈറ്റ്"
"Websites","വെബ്‌സൈറ്റുകൾ"
"Yes","അതെ"
