"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"-- Select --","സെലക്ട് ചെയ്യുക"
"As Low as","അത്രയും കുറവാണ്"
"Bundle Items","ഇനങ്ങൾ ബണ്ടിൽ ചെയ്യുക"
"Checkbox","ചെക്ക്ബോക്സ്"
"Close","അടയ്ക്കുക"
"Dynamic","ഡൈനാമിക്"
"Fixed","നിശ്ചിതമായ"
"From","മുതൽ"
"Incl. Tax","നികുതി ഉൾപ്പെടെ"
"Input Type","ഇൻപുട്ട് ടൈപ്പ്"
"Multiple Select","ഒന്നിലധികം തിരഞ്ഞെടുക്കൽ"
"N/A","ബാധകമല്ല"
"None","ഒന്നുമില്ല"
"Percent","ശതമാനം"
"Percent Discount","ശതമാനം കിഴിവ്"
"Please specify product option(s).","ഉൽപ്പന്ന ഓപ്ഷൻ (കൾ) വ്യക്തമാക്കുക."
"Position","സ്ഥാനം"
"Price Range","വില പരിധി"
"Radio Buttons","റേഡിയോ ബട്ടണുകൾ"
"Separately","വെവ്വേറെ"
"Store View Title","സ്റ്റോർ വ്യൂ ശീർഷകം"
"To","വരെ"
"Together","ഒരുമിച്ച്"
"Use Default Value","സ്ഥിര മൂല്യം ഉപയോഗിക്കുക"
"save","സേവ് ചെയ്യുക"
