"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"--Please Select--","ദയവായി തിരഞ്ഞെടുക്കുക-"
"1 Hour","1 മണിക്കൂർ"
"12 Hours","12 മണിക്കൂർ"
"2 Hours","2 മണിക്കൂർ"
"24 Hours","24 മണിക്കൂർ"
"6 Hours","6 മണിക്കൂർ"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>ശ്രദ്ധ</strong>: കാപ്ച കേസ് സെൻ‌സിറ്റീവ് ആണ്."
"Account Information","അക്കൗണ്ട് വിവരങ്ങൾ"
"Action","പ്രവർത്തനം"
"Actions","പ്രവർത്തനങ്ങൾ"
"Active","സജീവമാണ്"
"Add","ചേർക്കുക"
"Add New","പുതിയത് ചേർക്കുക"
"Add New Block","പുതിയ ബ്ലോക്ക് ചേർക്കുക"
"Add New Image","പുതിയ ഇമേജ് ചേർക്കുക"
"Add New Role","പുതിയ റോൾ ചേർക്കുക"
"Add Products","ഉൽപ്പന്നങ്ങൾ ചേർക്കുക"
"Add after","ശേഷം ചേർക്കുക"
"All","എല്ലാം"
"All Cache","എല്ലാ കാഷെ"
"All Files","എല്ലാ ഫയലുകളും"
"All Store Views","എല്ലാ സ്റ്റോർ കാഴ്‌ചകളും"
"All Websites","എല്ലാ വെബ്‌സൈറ്റുകളും"
"All valid rates have been saved.","സാധുവായ എല്ലാ നിരക്കുകളും സേവ് ചെയ്തു."
"Amounts","തുകകൾ"
"Are you sure you want to do this?","ഇത് ചെയ്യാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?"
"Attributes","ആട്രിബ്യൂട്ട്സ്"
"Authorize","അംഗീകരിക്കുക"
"Back","പിന്നിലേക്കു"
"Backup","ബാക്കപ്പ്"
"Base currency","അടിസ്ഥാന കറൻസി"
"Block Information","വിവരങ്ങൾ തടയുക"
"Blocks","ബ്ലോക്കുകൾ"
"Cancel","റദ്ദാക്കുക"
"Card Verification Number","കാർഡ് വെരിഫിക്കേഷൻ നമ്പർ"
"Catalog","കാറ്റലോഗ്"
"Catalog Price Rules","കാറ്റലോഗ് വില നിയമം"
"Catalog Rewrites","കാറ്റലോഗ് മാറ്റിയെഴുതുന്നു"
"Category","വിഭാഗം"
"Checkbox","ചെക്ക്ബോക്സ്"
"Clear","മായ്ക്കുക"
"Close","അടയ്ക്കുക"
"Code","കോഡ്"
"Configuration","കോൺഫിഗറേഷൻ"
"Confirm New Password","പുതിയ പാസ്‌വേഡ് സ്ഥിരീകരിക്കുക"
"Continue","തുടരുക"
"Country","രാജ്യം"
"Country:","രാജ്യം:"
"Create DB Backup","ഡിബി ബാക്കപ്പ് സൃഷ്ടിക്കുക"
"Create New Attribute","പുതിയ ആട്രിബ്യൂട്ട് സൃഷ്‌ടിക്കുക"
"Credit Card Number","ക്രെഡിറ്റ് കാർഡ് നമ്പർ"
"Credit Card Type","ക്രെഡിറ്റ് കാർഡ് ടൈപ്പ്"
"Currency","കറൻസി"
"Current Configuration Scope:","നിലവിലെ കോൺഫിഗറേഷൻ സ്കോപ്പ്:"
"Custom","കസ്റ്റം"
"Customer","ഉപഭോക്താവ്"
