"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"Allowed IPs (comma separated)","അനുവദനീയമായ ഐപികൾ (കോമ വേർതിരിച്ചിരിക്കുന്നു)"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Back","പിന്നിലേക്കു"
"Backup Options","ബാക്കപ്പ് ഓപ്ഷനുകൾ"
"Cache Storage Management","കാഷെ സ്റ്റോറേജ് ​​മാനേജുമെന്റ്"
"Cancel","റദ്ദാക്കുക"
"Code","കോഡ്"
"Cookie Domain","കുക്കി ഡൊമെയ്ൻ"
"Cookie Lifetime","കുക്കി ലൈഫ് ടൈം"
"Cookie Path","കുക്കി പാത"
"Cookie Restriction Mode","കുക്കി നിയന്ത്രണ മോഡ്"
"Country","രാജ്യം"
"Custom Design","ഇഷ്‌ടാനുസൃത രൂപകൽപ്പന"
"Dashboard","ഡാഷ്ബോർഡ്"
"Date From","തീയതി മുതൽ"
"Date To","തീയതി വരെ"
"Delete","നീക്കം ചെയ്യുക"
"Delete Store","സ്റ്റോർ ഇല്ലാതാക്കുക"
"Delete Store View","സ്റ്റോർ വ്യൂ ഇല്ലാതാക്കുക"
"Design","ഡിസൈൻ"
"Design Change","ഡിസൈൻ മാറ്റം"
"Developer Client Restrictions","ഡവലപ്പർ ക്ലയൻറ് നിയന്ത്രണങ്ങൾ"
"Edit Design Change","ഡിസൈൻ മാറ്റം എഡിറ്റുചെയ്യുക"
"Edit Store","സ്റ്റോർ എഡിറ്റുചെയ്യുക"
"Edit Store View","സ്റ്റോർ വ്യൂ എഡിറ്റുചെയ്യുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Flush Cache Storage","കാഷെ സ്റ്റോറേജ് ഫ്ലഷ് ചെയ്യുക"
"Flush OpenMage Cache","OpenMage കാഷെ ഫ്ലഷ് ചെയ്യുക"
"General","ജനറൽ"
"General Settings","പൊതുവായ ക്രമീകരണങ്ങൾ"
"Layout","ലേഔട്ട്"
"Leave empty for access from any location.","ഏത് സ്ഥലത്തുനിന്നും ആക്‌സസ്സിനായി ശൂന്യമായി വിടുക."
"Media Storage","മീഡിയ സ്റ്റോറേജ്"
"Name","പേര്"
"New Store","പുതിയ സ്റ്റോർ"
"New Store View","പുതിയ സ്റ്റോർ വ്യൂ"
"No","ഇല്ല"
"PHP SOAP extension is required.","PHP SOAP വിപുലീകരണം ആവശ്യമാണ്."
"Please make sure your passwords match.","നിങ്ങളുടെ പാസ്‌വേഡുകൾ പൊരുത്തപ്പെടുന്നുവെന്ന് ഉറപ്പാക്കുക."
"Save","സേവ് ചെയ്യുക"
"Save Store","സ്റ്റോർ സേവ് ചെയ്യുക"
"Save Store View","സ്റ്റോർ വ്യൂ സേവ് ചെയ്യുക"
"Sort Order","ക്രമം"
"Status","സ്റ്റാറ്റസ്"
"Store","സ്റ്റോർ"
"Store View","സ്റ്റോർ വ്യൂ"
"System","സിസ്റ്റം"
"Use HTTP Only","HTTP മാത്രം ഉപയോഗിക്കുക"
"None","ഒന്നുമില്ല"
"VAT Number","VAT നമ്പർ"
"Website","വെബ് സൈറ്റ്"
"Yes","അതെ"
