"Allowed Currencies","അനുവദനീയമായ കറൻസികൾ"
"Base Currency","അടിസ്ഥാന കറൻസി"
"Connection Timeout in Seconds","സെക്കൻഡിൽ കണക്ഷൻ കാലഹരണപ്പെട്ടു"
"Country","രാജ്യം"
"Country and Format Type combination should be unique","രാജ്യവും ഫോർമാറ്റ് ടൈപ്പ് സംയോജനവും യൂണിക്‌ ആയിരിക്കണം"
"Currency","കറൻസി"
"Currency Options","കറൻസി ഓപ്ഷനുകൾ"
"Currency Setup","കറൻസി സജ്ജീകരണം"
"Currency Update Warnings","കറൻസി അപ്‌ഡേറ്റ് മുന്നറിയിപ്പുകൾ"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Error Email Recipient","പിശക് ഇമെയിൽ സ്വീകർത്താവ്"
"Installed Currencies","ഇൻസ്റ്റാൾ ചെയ്ത കറൻസികൾ"
"No API Key was specified or an invalid API Key was specified.","API കീകളൊന്നും വ്യക്തമാക്കിയിട്ടില്ല അല്ലെങ്കിൽ അസാധുവായ API കീ വ്യക്തമാക്കിയിട്ടില്ല."
"Service","സേവനം"
"Start Time","ആരംഭ സമയം"
"State/Province","സംസ്ഥാനം / പ്രവിശ്യ"
"The account this API request is coming from is inactive.","ഈ API അഭ്യർത്ഥന വരുന്ന അക്കൗണ്ട് നിഷ്‌ക്രിയമാണ്."
"WARNING:","മുന്നറിയിപ്പ്:"
