"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Address","വിലാസം"
"Address Information","വിലാസ വിവരങ്ങൾ"
"Back","പിന്നിലേക്കു"
"City","പട്ടണം"
"Close","അടയ്ക്കുക"
"Company","കമ്പനി"
"Confirm Password","പാസ്‌വേഡ് സ്ഥിരീകരിക്കുക"
"Continue","തുടരുക"
"Country","രാജ്യം"
"Create an Account","ഒരു അക്കൗണ്ട് തുടങ്ങു"
"Email Address","ഈ - മെയില് വിലാസം"
"Fax","ഫാക്സ്"
"Forgot Your Password?","നിങ്ങളുടെ പാസ്സ്‌വേർഡ് മറന്നോ?"
"Login","ലോഗിൻ"
"New Customers","പുതിയ ഉപഭോക്താക്കൾ"
"Password","പാസ്സ്‌വേര്‍ഡ്‌"
"Personal Information","സ്വകാര്യ വിവരം"
"Registered Customers","രജിസ്റ്റർ ചെയ്ത ഉപഭോക്താക്കൾ"
"Save in address book","അഡ്രസ്സ് ബുക്കിൽ സേവ് ചെയ്യുക"
"Sign Up for Newsletter","വാർത്താക്കുറിപ്പിനായി സൈൻ അപ്പ് ചെയ്യുക"
"State/Province","സംസ്ഥാനം / പ്രവിശ്യ"
"Street Address","സ്ട്രീറ്റ് വിലാസം"
"Submit","സമർപ്പിയ്ക്കുക"
"VAT Number","VAT നമ്പർ"
"Zip/Postal Code","സിപ് / പോസ്റ്റൽ കോഡ്"
