"Add Minimum Qty","കുറഞ്ഞ അളവ് ചേർക്കുക"
"Allow Qty Below 0","0 ന് താഴെയുള്ള അളവ് അനുവദിക്കുക"
"Allow Qty Below 0 and Notify Customer","0 ന് താഴെയുള്ള അളവ് അനുവദിച്ച് ഉപഭോക്താവിനെ അറിയിക്കുക"
"By Fixed value","നിശ്ചിത മൂല്യം പ്രകാരം"
"By Percentage","ശതമാനം പ്രകാരം"
"In Stock","സ്റ്റോക്കുണ്ട്"
"Minimum Qty","കുറഞ്ഞ അളവ്"
"No Backorders","ബാക്ക്‌ഡോർഡറുകളൊന്നുമില്ല"
"Out of Stock","ശേഖരം തീർന്നു പോയി"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Qty","അളവ്"
"Rule price","റൂൾ വില"
"The stock item for Product in option is not valid.","പ്രൊഡക്റ്റ് ഇൻ ഓപ്ഷനായുള്ള സ്റ്റോക്ക് ഇനം സാധുവല്ല."
"To Fixed Value","നിശ്ചിത മൂല്യത്തിലേക്ക്"
"To Percentage","ശതമാനത്തിലേക്ക്"
"Update","പുതുക്കുക"
"Update the Product","ഉൽപ്പന്നം അപ്‌ഡേറ്റുചെയ്യുക"
