"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"Account Information","അക്കൗണ്ട് വിവരങ്ങൾ"
"Action","പ്രവർത്തനം"
"Actions","പ്രവർത്തനങ്ങൾ"
"Active","സജീവമാണ്"
"Add","ചേർക്കുക"
"Add New Address","പുതിയ അഡ്രസ് ചേർക്കുക"
"Add Products","ഉൽപ്പന്നങ്ങൾ ചേർക്കുക"
"Add to Cart","കാർട്ടിലേക്ക് ചേർക്കുക"
"Address","വിലാസം"
"Anchor Custom Title","ആങ്കർ കസ്റ്റം ടൈറ്റിൽ"
"Apply","പ്രയോഗിക്കുക"
"Are you sure you want to do this?","ഇത് ചെയ്യാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Back","പിന്നിലേക്കു"
"Cancel","റദ്ദാക്കുക"
"Canceled","റദ്ദാക്കി"
"City","പട്ടണം"
"Close","അടയ്ക്കുക"
"Closed","അടച്ചു"
"Comment","അഭിപ്രായം"
"Company","കമ്പനി"
"Configure","കോൺഫിഗർ ചെയ്യുക"
"Continue","തുടരുക"
"Country","രാജ്യം"
"Create Order","ഓർഡർ സൃഷ്ടിക്കുക"
"Customer","ഉപഭോക്താവ്"
"Customer Group","ഉപഭോക്തൃ ഗ്രൂപ്പ്"
"Date","തീയതി"
"Delete","നീക്കം ചെയ്യുക"
"Discount Amount","കിഴിവ് തുക"
"Edit","എഡിറ്റുചെയ്യുക"
"Email","ഇമെയിൽ"
"Email Address","ഈ - മെയില് വിലാസം"
"Enable","പ്രവർത്തനക്ഷമമാക്കുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"First Name","പേരിന്റെ ആദ്യഭാഗം"
"From","മുതൽ"
"General","ജനറൽ"
"General Information","പൊതുവിവരം"
"Go to Home Page","ഹോം പേജിലേയ്ക്ക് പോകുക"
"Grand Total","ആകെ തുക"
"Guest","അതിഥി"
"Height","ഉയരം"
"Home","ഹോം"
"ID","ഐഡി"
"Incl. Tax","നികുതി ഉൾപ്പെടെ"
"Items","ഇനങ്ങൾ"
"Last Name","പേരിന്റെ അവസാന ഭാഗം"
"Message","സന്ദേശം"
"N/A","ബാധകമല്ല"
"Name","പേര്"
"New Order Status","പുതിയ ഓർഡർ നില"
"No","ഇല്ല"
"Notified","അറിയിച്ചു"
"Notify Customer by Email","ഇമെയിൽ വഴി ഉപഭോക്താവിനെ അറിയിക്കുക"
"Number of Orders","ഓർഡറുകളുടെ എണ്ണം"
"Order Total","ഓർഡർ ആകെ"
"Orders","ഓർഡറുകൾ"
"Payment Information","പേയ്‌മെന്റ് വിവരങ്ങൾ"
"Payment Method","പണംകൊടുക്കൽരീതി"
"Payment Method:","പണംകൊടുക്കൽരീതി:"
"Pending","ശേഷിക്കുന്നു"
"Price","വില"
"Product","ഉൽപ്പന്നം"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Products","ഉൽപ്പന്നങ്ങൾ"
"Qty","അളവ്"
"Qty Invoiced","അളവ് ഇൻവോയ്സ്ഡ്"
"Refresh","പുതുക്കുക"
"Refunded","റീഫണ്ട് ചെയ്തു"
"Remove","നീക്കം ചെയ്യുക"
"Revenue","വരുമാനം"
"Row Total","വരി ആകെ"
"Sales","വിൽപ്പന"
"Save in address book","അഡ്രസ്സ് ബുക്കിൽ സേവ് ചെയ്യുക"
"Shipped","അയച്ചു"
"Shipping","ഷിപ്പിംഗ്"
"Shipping Method:","ഷിപ്പിംഗ് രീതി:"
"Shopping Cart","ഷോപ്പിംഗ് കാർട്ട്"
"State/Province","സംസ്ഥാനം / പ്രവിശ്യ"
"Status","സ്റ്റാറ്റസ്"
"Store Credit","സ്റ്റോർ ക്രെഡിറ്റ്"
"Street Address","സ്ട്രീറ്റ് വിലാസം"
"Subtotal","ആകെത്തുക"
"Tax","നികുതി"
"The requested Payment Method is not available.","അഭ്യർത്ഥിച്ച പേയ്‌മെന്റ് രീതി ലഭ്യമല്ല."
"Title","ശീർഷകം"
"To","വരെ"
"Total","ആകെ"
"Transaction ID","ഇടപാട് ഐഡി"
"Type","ടൈപ്പ്"
"View","കാണുക"
"Website","വെബ് സൈറ്റ്"
"Weight","തൂക്കം"
"Width","വീതി"
"Yes","അതെ"
"Zip/Postal Code","സിപ് / പോസ്റ്റൽ കോഡ്"
"cm","സെന്റിമീറ്റർ"
