"Add","ചേർക്കുക"
"Availability:","ലഭ്യത:"
"Back","പിന്നിലേക്കു"
"Canceled","റദ്ദാക്കി"
"Date","തീയതി"
"Delete","നീക്കം ചെയ്യുക"
"Disable Guest Checkout if Cart Contains Downloadable Items","കാർട്ടിൽ ഡൌൺലോഡ് ചെയ്യാവുന്ന ഇനങ്ങൾ ഉണ്ടെങ്കിൽ അതിഥി ചെക്ക് ഔട്ട് അപ്രാപ്തമാക്കുക"
"Downloadable Information","ഡൗൺലോഡ് ചെയ്യാവുന്ന വിവരങ്ങൾ"
"Downloadable Product Options","ഡൗൺലോഡുചെയ്യാനാകുന്ന ഉൽപ്പന്ന ഓപ്ഷനുകൾ"
"Downloadable Product Section","ഡൗൺലോഡുചെയ്യാനാകുന്ന ഉൽപ്പന്ന വിഭാഗം"
"Edit","എഡിറ്റുചെയ്യുക"
"Guest checkout will only work with shareable.","അതിഥി ചെക്ക് ഔട്ട് പങ്കിടാനാകുന്നവയിൽ മാത്രമേ പ്രവർത്തിക്കൂ."
"In stock","സ്റ്റോക്കുണ്ട്"
"Incl. Tax","നികുതി ഉൾപ്പെടെ"
"Invalid download link type.","ഡൌൺലോഡ് ലിങ്ക് ടൈപ്പ് അസാധുവാണ്."
"List","പട്ടിക"
"My Downloadable Products","എന്റെ ഡൗൺലോഡ് ചെയ്യാവുന്ന ഉൽപ്പന്നങ്ങൾ"
"Open Links in New Window","പുതിയ വിൻ‌ഡോയിൽ‌ ലിങ്കുകൾ‌ തുറക്കുക"
"Order Item Status to Enable Downloads","ഡൗൺലോഡുകൾ പ്രവർത്തനക്ഷമമാക്കുന്നതിന് ഐറ്റം നില ക്രമീകരിക്കുക"
"Order id cannot be null","ഓർഡർ ഐഡി അസാധുവാക്കാൻ കഴിയില്ല"
"Order item id cannot be null","ഓർഡർ ഐറ്റം ഐഡി അസാധുവാക്കാൻ കഴിയില്ല"
"Out of stock","ശേഖരം തീർന്നു പോയി"
"Pending","ശേഷിക്കുന്നു"
"Please set resource file and link type.","ഉറവിട ഫയലും ലിങ്ക് ടൈപ്പും സജ്ജമാക്കുക."
"Please specify product link(s).","ഉൽപ്പന്ന ലിങ്ക്(കൾ) വ്യക്തമാക്കുക."
"Price","വില"
"Qty","അളവ്"
"Refunded","റീഫണ്ട് ചെയ്തു"
"Remove","നീക്കം ചെയ്യുക"
"Shipped","അയച്ചു"
"Sorry, there was an error getting requested content. Please contact the store owner.","ക്ഷമിക്കണം, അഭ്യർത്ഥിച്ച ഉള്ളടക്കം ലഭിക്കുന്നതിൽ ഒരു പിശക് ഉണ്ടായിരുന്നു. സ്റ്റോർ ഉടമയുമായി ബന്ധപ്പെടുക."
"Sort Order","ക്രമം"
"Status","സ്റ്റാറ്റസ്"
"Subtotal","ആകെത്തുക"
"The link has expired.","ലിങ്ക് കാലഹരണപ്പെട്ടു."
"The link is not available.","ലിങ്ക് ലഭ്യമല്ല."
"Title","ശീർഷകം"
"Unlimited","പരിധിയില്ലാത്തത്"
"Update","പുതുക്കുക"
"Use Default Value","സ്ഥിര മൂല്യം ഉപയോഗിക്കുക"
