"Advanced Search","വിപുലമായ തിരയൽ"
"All","എല്ലാം"
"Catalog Advanced Search","കാറ്റലോഗ് വിപുലമായ തിരയൽ"
"Catalog Search","കാറ്റലോഗ് തിരയൽ"
"Don't see what you're looking for?","നിങ്ങൾ തിരയുന്നത് കാണുന്നില്ലേ?"
"Go to Home Page","ഹോം പേജിലേയ്ക്ക് പോകുക"
"Grid","ഗ്രിഡ്"
"Home","ഹോം"
"List","പട്ടിക"
"Maximum Query Length","പരമാവധി അന്വേഷണ ദൈർഘ്യം"
"Minimal Query Length","കുറഞ്ഞ അന്വേഷണ ദൈർഘ്യം"
"No","ഇല്ല"
"Popular Search Terms","ജനപ്രിയ തിരയൽ നിബന്ധനകൾ"
"Rebuild Catalog product fulltext search index","കാറ്റലോഗ് ഉൽപ്പന്ന ഫുൾടെക്സ്റ്റ് തിരയൽ സൂചിക പുനർനിർമ്മിക്കുക"
"Relevance","പ്രസക്തി"
"Results","ഫലം"
"Search","തിരയുക"
"Search Settings","ക്രമീകരണങ്ങൾ തിരയുക"
"Yes","അതെ"
